platform,is_ranking,rank,brand,brand_likes,main_category,category,gender,product_detail_url,product_name,color,color_chip,thumbnail,likes,views,details,material,current_price,regular_price,discount_rate,rating,reviews,sales,manufacture_date,crawled_at,reorder
29cm,false,,파르티멘토 우먼,,여성의류,바지,,https://product.29cm.co.kr/catalog/3334217?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,PWC EVERYDAY BALLOON JOGGER PANTS_18COLOR,,,https://img.29cm.co.kr/item/202602/11f1065e8d9969e2a540b78b5577ef66.jpg,,,,,"₩42,930","₩42,930",19.0,,,,,260622,
29cm,false,,티세르,,여성의류,홈웨어,,https://product.29cm.co.kr/catalog/3871386?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,[uni] 마리나 시어서커 커플 반팔 잠옷 세트,,,https://img.29cm.co.kr/item/202603/11f12823467820919454097d63ef2c6d.jpg,,,,,"₩13,500","₩13,500",77.0,,,,,260622,
29cm,false,,프리버07,,여성의류,상의,,https://product.29cm.co.kr/catalog/3904667?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,[플로우윤PICK][예약배송] Ruffle off tie blouse [FRSP07BL05]_Navy,,,https://img.29cm.co.kr/item/202606/11f15d01b90838619f7fb19c49bda21f.jpg,,,,,"₩64,160","₩64,160",29.0,,,,,260622,
29cm,false,,루에브르,,여성의류,상의,,https://product.29cm.co.kr/catalog/3911359?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,Sheer Belted U-Neck Blouse SW6MB723_2color,,,https://img.29cm.co.kr/item/202605/11f14d9390dc16a683a4ab9e393f83e1.jpg,,,,,"₩93,210","₩93,210",28.0,,,,,260622,
29cm,false,,컴포트랩,,여성의류,언더웨어,,https://product.29cm.co.kr/catalog/2739238?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,[화사PICK] 듀얼 쿨 튜브탑 6Color / 8Size,,,https://img.29cm.co.kr/item/202605/11f153eea1e818198e7d9309b1c058ad.jpg,,,,,"₩24,640","₩24,640",57.0,,,,,260622,
29cm,false,,비터셀즈,,여성의류,상의,,https://product.29cm.co.kr/catalog/3853196?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,Rose Petal Tee-Olive,,,https://img.29cm.co.kr/item/202603/11f1242bc584e2adb4938bcefcc9d9c7.jpg,,,,,"₩36,880","₩36,880",25.0,,,,,260622,
29cm,false,,반원 아틀리에,,여성의류,상의,,https://product.29cm.co.kr/catalog/3053156?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,A3510 Nature heritage 티셔츠_Melange gray,,,https://img.29cm.co.kr/item/202603/11f12bd40291da079454e72a142f976c.jpg,,,,,"₩27,590","₩27,590",36.0,,,,,260622,
29cm,false,,커스텀어클락,,여성의류,니트웨어,,https://product.29cm.co.kr/catalog/3963431?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,린넨 시스루 골지 라운드 가디건 5 COLOR COWCD008,,,https://img.29cm.co.kr/item/202605/11f15a66fa865ee59090edc8e8301f38.jpg,,,,,"₩37,500","₩37,500",40.0,,,,,260622,
29cm,false,,비터셀즈,,여성의류,상의,,https://product.29cm.co.kr/catalog/3853210?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,Ruby Berry Tee-Lavender,,,https://img.29cm.co.kr/item/202605/11f14ccfae7ec2078e7df5e2668c2f31.jpg,,,,,"₩33,110","₩33,110",25.0,,,,,260622,
29cm,false,,포에트서울,,여성의류,단독,,https://product.29cm.co.kr/catalog/3322447?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,[인플루언서 착용/30th]checked puff sleeve blouse_lime green,,,https://img.29cm.co.kr/item/202507/11f058719de5ffc78909a13f313cfb67.jpg,,,,,"₩62,020","₩62,020",29.0,,,,,260622,
29cm,false,,아틀리에 나인,,여성의류,상의,,https://product.29cm.co.kr/catalog/2605280?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,[장다연 PICK] LOND WAIST TUCK  BLOUSE (Z-BL-4225),,,https://img.29cm.co.kr/item/202604/11f1443e2ae7a0a9bc9203b7952e90f1.jpg,,,,,"₩41,650","₩41,650",15.0,,,,,260622,
29cm,false,,포에토,,여성의류,상의,,https://product.29cm.co.kr/catalog/3974766?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,[23th] ETO logo patch off tee - ivory,ivory,,https://img.29cm.co.kr/item/202605/11f14f5df113b7ba83a4cfc0ecdfc137.jpg,,,,,"₩35,530","₩35,530",19.0,,,,,260622,
29cm,false,,링서울,,여성의류,상의,,https://product.29cm.co.kr/catalog/3239225?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,pintuck frill blouse-black,,,https://img.29cm.co.kr/item/202504/11f02017fbfd185cb1318fdeac358d4b.jpg,,,,,"₩85,500","₩85,500",,,,,,260622,
29cm,false,,시야쥬,,여성의류,바지,,https://product.29cm.co.kr/catalog/3948666?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,SIPT7153 컴포트 라인 카프리 팬츠 (여름 ver)_Black,,,https://img.29cm.co.kr/item/202605/11f149aaf3951ede85eea10077029b37.jpg,,,,,"₩63,330","₩63,330",29.0,,,,,260622,
29cm,false,,포 유어 아이즈 온리,,여성의류,상의,,https://product.29cm.co.kr/catalog/4025628?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,[2차] Sunday Loose T-shirt (Ivory),,,https://img.29cm.co.kr/item/202606/11f1685b569601fd909031c573423938.jpg,,,,,"₩62,910","₩62,910",23.0,,,,,260622,
29cm,false,,제너럴아이디어,,여성의류,상의,,https://product.29cm.co.kr/catalog/3866102?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,[여울 PICK] WOMAN 썸머 루즈핏 래글런 핀턱 블라우스 [IVORY] / GF2LBL514,,,https://img.29cm.co.kr/item/202604/11f141dafbe01a4fbc9223fafa55db99.jpg,,,,,"₩38,020","₩38,020",30.0,,,,,260622,
29cm,false,,몽돌,,여성의류,상의,,https://product.29cm.co.kr/catalog/3185392?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,"[오제, 묵화 PICK] 에센셜 라운드넥 반팔 티셔츠 MDTS073_10 Colors",,,https://img.29cm.co.kr/item/202603/11f128cfe3e36d419454f55a8a0462c2.jpg,,,,,"₩26,380","₩26,380",29.0,,,,,260622,
29cm,false,,유라고,,여성의류,바지,,https://product.29cm.co.kr/catalog/1991048?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,[30차 리오더][with 다희][기장선택] Comfort string pants_2colors,,,https://img.29cm.co.kr/item/202606/11f15d7e7eb4b3d99f7f6734a15425b4.jpg,,,,,"₩78,410","₩78,410",21.0,,,,,260622,
29cm,false,,비터셀즈,,여성의류,상의,,https://product.29cm.co.kr/catalog/3869907?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,[쁨이 PICK]Rose Petal Tee-Pigment Charcoal,,,https://img.29cm.co.kr/item/202604/11f12d9e34e436f5b49355ec25a782c9.jpg,,,,,"₩36,880","₩36,880",25.0,,,,,260622,
29cm,false,,씨타,,여성의류,니트웨어,,https://product.29cm.co.kr/catalog/3929541?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,[예빈 Pick]Essential Linen Round Knit Cardigan_CTK231(16color),,,https://img.29cm.co.kr/item/202604/11f13884aa84bc5885ee8f3ef778f613.jpg,,,,,"₩36,780","₩36,780",47.0,,,,,260622,
29cm,false,,제너럴아이디어,,여성의류,상의,,https://product.29cm.co.kr/catalog/3944007?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,[예약발송] WOMAN 드레이프 셔링 저지 블라우스 [CHARCOAL] / GF2LTS527,,,https://img.29cm.co.kr/item/202605/11f159a560eb38299f7fbd7c048ee972.jpg,,,,,"₩25,200","₩25,200",49.0,,,,,260622,
29cm,false,,히어리,,여성의류,상의,,https://product.29cm.co.kr/catalog/3988792?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,플라워 프린팅 오버사이즈 티셔츠_핑크플라워,,,https://img.29cm.co.kr/item/202605/11f15024c4fb632d8e7da3a3023c53e0.jpg,,,,,"₩41,300","₩41,300",30.0,,,,,260622,
29cm,false,,코어드,,여성의류,바지,,https://product.29cm.co.kr/catalog/4013315?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,[3차/예약배송] [기장선택] Fatigue pocket pants (light khaki),,,https://img.29cm.co.kr/item/202606/11f163ab0a67d45db357978a52960f73.jpg,,,,,"₩120,700","₩120,700",15.0,,,,,260622,
29cm,false,,레이브,,여성의류,상의,,https://product.29cm.co.kr/catalog/3936881?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,RAIVE X HELLO KITTY Dot Graphic T-shirts VW6ME003_2color,,,https://img.29cm.co.kr/item/202605/11f1531ceac2559a83a46d938894e37b.jpg,,,,,"₩78,000","₩78,000",,,,,,260622,
29cm,false,,파르티멘토 우먼,,여성의류,상의,,https://product.29cm.co.kr/catalog/3751730?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,PWC RIBBED EVERYDAY SHORT SLEEVE TEE_8COLOR,,,https://img.29cm.co.kr/item/202602/11f107e298265bd8a540edf76538b259.jpg,,,,,"₩23,490","₩23,490",19.0,,,,,260622,
29cm,false,,몽돌,,여성의류,상의,,https://product.29cm.co.kr/catalog/3259431?categoryLargeCode=268100100&categoryMediumCode=&categorySmallCode=,[2PACK] 에센셜 라운드넥 반팔 티셔츠,,,https://img.29cm.co.kr/item/202603/11f1268e5352c27794549b83a369c5fb.jpg,,,,,"₩41,030","₩41,030",45.0,,,,,260622,
