front_images_url,product_name,brand,category,gender,regular_price,current_price,discount_rate,color_text,material,details,sizes_available,fit,length,sleeve_length,style,lining,thickness,season,transparency,elasticity,rating,reviews,product_detail_url,crawled_at
,le city pouch on strap,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,biker balenciaga charm/keychain,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,le city bag nano,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,le city long coin and card holder,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,le city zipped pouch charm,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,le city mini wallet,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,le city vertical phone holder,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,le city charm eiffel,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,cropped workwear jacket,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,mini cotton skirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,draped top,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,tulipe pants,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,techwear cropped jacket,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,techwear tracksuit shorts,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,techwear cropped jacket,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,techwear tracksuit shorts,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,cropped curved jacket,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,twisted seam jeans,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,monogram shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,monogram pyjama pants,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,techwear tracksuit jacket,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,techwear seamless cycling shorts,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,techwear fitted long sleeve top,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,techwear leggings,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,sleeveless blouson,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,bermuda shorts,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,oversized carcoat,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,relaxed cargo pants,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,bodies high collar tracksuit jacket,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,bodies balloon tracksuit skirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,long sack coat,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,techwear short long sleeve bodysuit,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,wings classic boxy jacket,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,jackie capri,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,hybrid jumper,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,mini shorts,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,double-breasted trenchcoat,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,double-breasted tailored jacket,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,cropped bomber jacket,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,high-waist pants,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
