platform,is_ranking,rank,brand,main_category,category,gender,product_name,product_detail_url,thumbnail,regular_price,current_price,discount_rate,crawled_at,color,material,details,rating,reviews
,false,,,,여성 신상품,여성,le city pouch on strap,,,"₩1,495,000",,,260629,framboise,,,,
,false,,,,여성 신상품,여성,biker balenciaga charm/keychain,,,"₩605,000",,,260629,green/black,,,,
,false,,,,여성 신상품,여성,le city bag nano,,,"₩1,950,000",,,260629,volcanic rock,,,,
,false,,,,여성 신상품,여성,le city long coin and card holder,,,"₩605,000",,,260629,volcanic rock,,,,
,false,,,,여성 신상품,여성,le city zipped pouch charm,,,"₩605,000",,,260629,pistache,,,,
,false,,,,여성 신상품,여성,le city mini wallet,,,"₩820,000",,,260629,pistache,,,,
,false,,,,여성 신상품,여성,le city vertical phone holder,,,"₩1,255,000",,,260629,black,,,,
,false,,,,여성 신상품,여성,le city charm eiffel,,,"₩605,000",,,260629,black,,,,
,false,,,,여성 신상품,여성,bodies high collar tracksuit jacket,,,"₩3,050,000",,,260629,elephant grey,,,,
,false,,,,여성 신상품,여성,bodies balloon tracksuit skirt,,,"₩3,250,000",,,260629,elephant grey,,,,
,false,,,,여성 신상품,여성,long sack coat,,,"₩6,500,000",,,260629,violet,,,,
,false,,,,여성 신상품,여성,techwear short long sleeve bodysuit,,,"₩1,790,000",,,260629,violet/orange,,,,
,false,,,,여성 신상품,여성,draped top,,,"₩1,070,000",,,260629,black,,,,
,false,,,,여성 신상품,여성,tulipe pants,,,"₩2,700,000",,,260629,dark ocean,,,,
,false,,,,여성 신상품,여성,hybrid jumper,,,"₩2,900,000",,,260629,navy/white,,,,
,false,,,,여성 신상품,여성,twisted seam jeans,,,"₩1,790,000",,,260629,bleach light bleu,,,,
,false,,,,여성 신상품,여성,techwear tracksuit jacket,,,"₩1,970,000",,,260629,moka,,,,
,false,,,,여성 신상품,여성,techwear seamless cycling shorts,,,"₩515,000",,,260629,moka,,,,
,false,,,,여성 신상품,여성,techwear fitted long sleeve top,,,"₩1,070,000",,,260629,khaki/brown/neon pink,,,,
,false,,,,여성 신상품,여성,techwear leggings,,,"₩1,430,000",,,260629,khaki/brown/neon pink,,,,
,false,,,,여성 신상품,여성,wings classic boxy jacket,,,"₩2,380,000",,,260629,white,,,,
,false,,,,여성 신상품,여성,jackie capri,,,"₩1,620,000",,,260629,white,,,,
,false,,,,여성 신상품,여성,top,,,"₩1,170,000",,,260629,black,,,,
,false,,,,여성 신상품,여성,relaxed fit jeans,,,"₩1,990,000",,,260629,black,,,,
,false,,,,여성 신상품,여성,techwear cropped jacket,,,"₩3,970,000",,,260629,camel,,,,
,false,,,,여성 신상품,여성,techwear tracksuit shorts,,,"₩1,415,000",,,260629,camel,,,,
,false,,,,여성 신상품,여성,techwear cropped jacket,,,"₩3,970,000",,,260629,black,,,,
,false,,,,여성 신상품,여성,techwear tracksuit shorts,,,"₩1,415,000",,,260629,black,,,,
,false,,,,여성 신상품,여성,single-breasted cocoon jacket,,,"₩5,800,000",,,260629,black,,,,
,false,,,,여성 신상품,여성,slim tailored pants,,,"₩1,990,000",,,260629,black,,,,
,false,,,,여성 신상품,여성,cropped bomber jacket,,,"₩3,430,000",,,260629,ivory,,,,
,false,,,,여성 신상품,여성,high-waist pants,,,"₩1,790,000",,,260629,dune,,,,
,false,,,,여성 신상품,여성,techwear fitted zip-up top,,,"₩1,790,000",,,260629,khaki/lime,,,,
,false,,,,여성 신상품,여성,techwear flared leggings,,,"₩1,430,000",,,260629,khaki/lime,,,,
,false,,,,여성 신상품,여성,techwear cropped zip-up hoodie,,,"₩3,250,000",,,260629,black,,,,
,false,,,,여성 신상품,여성,techwear leggings,,,"₩1,355,000",,,260629,black,,,,
,false,,,,여성 신상품,여성,techwear seamless bra,,,"₩630,000",,,260629,nude,,,,
,false,,,,여성 신상품,여성,techwear seamless cycling shorts,,,"₩515,000",,,260629,nude,,,,
,false,,,,여성 신상품,여성,techwear cut-out bodysuit,,,"₩1,550,000",,,260629,burgundy/aqua,,,,
