platform,is_ranking,rank,brand,brand_likes,main_category,category,gender,product_detail_url,product_name,color,color_chip,thumbnail,likes,views,details,material,current_price,regular_price,discount_rate,rating,reviews,sales,manufacture_date,crawled_at,reorder
,false,,ZARA,,치마,스커트,women,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-%E1%84%91%E1%85%B3%E1%86%AF%E1%84%85%E1%85%AE%E1%84%8B%E1%85%B5%E1%84%83%E1%85%B3-%E1%84%8F%E1%85%A9%E1%86%B7%E1%84%87%E1%85%B5-%E1%84%89%E1%85%B3%E1%84%8F%E1%85%A5%E1%84%90%E1%85%B3-p02560209.html,ZW 컬렉션 플루이드 콤비 스커트,"브라운,토프",,https://static.zara.net/assets/public/e162/8ced/17ec416ab755/de5ad5c3c8d2/02566393737-p/02566393737-p.jpg?ts=1780057889078,,,,,"₩89,900","₩89,900",,,,,,260618,
,false,,ZARA,,상의,셔츠/블라우스,women,https://www.zara.com/kr/ko/%E1%84%8C%E1%85%A1%E1%84%89%E1%85%AE-%E1%84%80%E1%85%A5%E1%84%8C%E1%85%B3-%E1%84%92%E1%85%A9%E1%86%AF%E1%84%90%E1%85%A5%E1%84%82%E1%85%A6%E1%86%A8-%E1%84%90%E1%85%A1%E1%86%B8-p00881035.html,자수 거즈 홀터넥 탑,화이트,,https://static.zara.net/assets/public/0e16/2c50/2da348408a45/d9a7727c4e1a/00881035250-p/00881035250-p.jpg?ts=1781622787295,,,,,"₩45,900","₩45,900",,,,,,260618,
,false,,ZARA,,상의,셔츠/블라우스,women,https://www.zara.com/kr/ko/cttn-shrt-16-p02489204.html,CTTN SHRT 16,노랑,,https://static.zara.net/assets/public/6870/1e3c/7cc04b038a58/3010aad3bfe4/02489204300-60-p/02489204300-60-p.jpg?ts=1781534382560,,,,,"₩109,900","₩109,900",,,,,,260618,
,false,,ZARA,,상의,니트,women,https://www.zara.com/kr/ko/%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3%E1%84%85%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%91%E1%85%B3-%E1%84%82%E1%85%B5%E1%84%90%E1%85%B3-%E1%84%87%E1%85%A1%E1%86%AB%E1%84%89%E1%85%A9%E1%84%86%E1%85%A2-%E1%84%91%E1%85%A9%E1%86%AF%E1%84%85%E1%85%A9%E1%84%89%E1%85%A7%E1%84%8E%E1%85%B3-p05755053.html,스트라이프 니트 반소매 폴로셔츠,레드,,https://static.zara.net/assets/public/666a/f02c/50c34941b437/7cf9c5ff23ca/05755053600-p/05755053600-p.jpg?ts=1776957594269,,,,,"₩45,900","₩45,900",,,,,,260618,
,false,,ZARA,,치마,스커트,women,https://www.zara.com/kr/ko/%E1%84%8B%E1%85%B1%E1%86%AF%E1%84%85%E1%85%B5-%E1%84%8E%E1%85%A1%E1%84%87%E1%85%A1%E1%84%85%E1%85%B5%E1%84%8B%E1%85%A1-x-%E1%84%8C%E1%85%A1%E1%84%85%E1%85%A1-%E1%84%85%E1%85%B5%E1%86%BC%E1%84%8F%E1%85%B3%E1%86%AF-%E1%84%86%E1%85%B5%E1%84%83%E1%85%B5-%E1%84%89%E1%85%B3%E1%84%8F%E1%85%A5%E1%84%90%E1%85%B3-p02367132.html,윌리 차바리아 X 자라 링클 미디 스커트,네이비,,https://static.zara.net/assets/public/0be5/2656/68674a3790fc/a58c32d35713/02367132401-60-p/02367132401-60-p.jpg?ts=1781534380490,,,,,"₩129,900","₩129,900",,,,,,260618,
,false,,ZARA,,바지,슬랙스,women,https://www.zara.com/kr/ko/blln-pnt-16-p08106215.html,BLLN PNT 16,레드,,https://static.zara.net/assets/public/253d/6634/a99c4f6eb2a1/809c2f7e9a6b/08106215600-60-p/08106215600-60-p.jpg?ts=1781534380703,,,,,"₩149,900","₩149,900",,,,,,260618,
,false,,ZARA,,바지,슬랙스,women,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-%E1%84%89%E1%85%B3%E1%86%AF%E1%84%85%E1%85%B5%E1%86%BA-%E1%84%91%E1%85%A2%E1%86%AB%E1%84%8E%E1%85%B3-p05247241.html,ZW 컬렉션 슬릿 팬츠,블랙,,https://static.zara.net/assets/public/bef6/a228/792949b09ff5/a4fdba2afd06/05247241800-p/05247241800-p.jpg?ts=1781682347959,,,,,"₩89,900","₩89,900",,,,,,260618,
,false,,ZARA,,상의,탑,women,https://www.zara.com/kr/ko/%E1%84%8B%E1%85%A5%E1%86%AB%E1%84%87%E1%85%A2%E1%86%AF%E1%84%85%E1%85%A5%E1%86%AB%E1%84%89%E1%85%B3-%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3%E1%84%85%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%91%E1%85%B3-%E1%84%82%E1%85%B5%E1%84%90%E1%85%B3-%E1%84%90%E1%85%A1%E1%86%B8---the-item-zara-woman-p02142214.html,언밸런스 스트라이프 니트 탑 - THE ITEM ZARA WOMAN,"화이트,레드",,https://static.zara.net/assets/public/e650/f2a5/a98e42388df9/069756bec03f/02142214061-60-p/02142214061-60-p.jpg?ts=1781534382342,,,,,"₩89,900","₩89,900",,,,,,260618,
,false,,ZARA,,아우터,블레이저,women,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-%E1%84%90%E1%85%A9%E1%84%80%E1%85%B3%E1%86%AF-%E1%84%87%E1%85%A5%E1%84%90%E1%85%B3%E1%86%AB-%E1%84%8C%E1%85%A2%E1%84%8F%E1%85%B5%E1%86%BA-p05247050.html,ZW 컬렉션 토글 버튼 재킷,블랙,,https://static.zara.net/assets/public/e499/c8dd/44194c81861f/64bf97352506/01905041422-p/01905041422-p.jpg?ts=1781681579228,,,,,"₩169,900","₩169,900",,,,,,260618,
,false,,ZARA,,원피스,원피스,women,https://www.zara.com/kr/ko/%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3%E1%84%85%E1%85%A2%E1%86%B8-%E1%84%8F%E1%85%A9%E1%86%B7%E1%84%87%E1%85%B5-%E1%84%8B%E1%85%AF%E1%86%AB%E1%84%91%E1%85%B5%E1%84%89%E1%85%B3-p08741060.html,스트랩 콤비 원피스,블랙,,https://static.zara.net/assets/public/1018/de02/3f7f49c88c49/25c831475241/08741060800-p/08741060800-p.jpg?ts=1773414607111,,,,,"₩59,900","₩59,900",,,,,,260618,
