platform,is_ranking,rank,brand,main_category,category,gender,product_name,product_detail_url,thumbnail,regular_price,current_price,discount_rate,crawled_at,color,material,details,rating,reviews
,false,,EENK,,여성,여성,Layered Collar Trench Coat - Ivory,https://eenkshop.com/shop/?idx=12384,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/82280b161bed0.jpg?w=800,₩713,₩606,15,260626,,,,,
,false,,EENK,,여성,여성,Layered Collar Trench Coat - Navy,https://eenkshop.com/shop/?idx=12383,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/71891e8593c5d.jpg?w=800,₩713,₩606,15,260626,,,,,
,false,,EENK,,여성,여성,Scarf Neck Blouse - Ivory,https://eenkshop.com/shop/?idx=12375,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/4b9a81f7c1020.jpg?w=800,₩334,₩284,15,260626,,,,,
,false,,EENK,,여성,여성,Scarf Neck Blouse - Black,https://eenkshop.com/shop/?idx=12374,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/127759f117a1c.jpg?w=800,₩334,₩284,15,260626,,,,,
,false,,EENK,,여성,여성,Drawstring Waist Patterned Pants - Black*,https://eenkshop.com/shop/?idx=12360,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/0b8b6b7a9ed80.jpg?w=800,₩306,₩260,15,260626,,,,,
,false,,EENK,,여성,여성,Lace Detail Origami Shirt - White,https://eenkshop.com/shop/?idx=12381,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/014dc48153f28.jpg?w=800,₩427,₩363,15,260626,,,,,
,false,,EENK,,여성,여성,Lace Detail Origami Shirt - Sky Blue,https://eenkshop.com/shop/?idx=12380,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/cb7223241c761.jpg?w=800,₩427,₩363,15,260626,,,,,
,false,,EENK,,여성,여성,Lace Detail Origami Skirt - White,https://eenkshop.com/shop/?idx=12359,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/4fc929c1dbf04.jpg?w=800,₩499,₩424,15,260626,,,,,
,false,,EENK,,여성,여성,Lace Detail Origami Skirt - Sky Blue,https://eenkshop.com/shop/?idx=12358,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/a5a46d62c920a.jpg?w=800,₩499,₩424,15,260626,,,,,
,false,,EENK,,여성,여성,Classic Embroidered Shirt - Light Pink,https://eenkshop.com/shop/?idx=12378,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/9ec125996645c.jpg?w=800,₩284,₩241,15,260626,,,,,
,false,,EENK,,여성,여성,Classic Embroidered Shirt - Black,https://eenkshop.com/shop/?idx=12376,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/afb9f8a466a04.jpg?w=800,₩284,₩241,15,260626,,,,,
,false,,EENK,,여성,여성,Classic Embroidered Shirt - Blue,https://eenkshop.com/shop/?idx=12377,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/bae1b9ab592e0.jpg?w=800,₩284,₩241,15,260626,,,,,
,false,,EENK,,여성,여성,Classic Embroidered Shirt - Green,https://eenkshop.com/shop/?idx=12379,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/967944ce161f6.jpg?w=800,₩284,₩241,15,260626,,,,,
,false,,EENK,,여성,여성,Convertible Collar Jacket - Black,https://eenkshop.com/shop/?idx=12382,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/9df5e52b67b79.jpg?w=800,₩641,₩545,15,260626,,,,,
,false,,EENK,,여성,여성,Front Rose Graphic T-shirt - White,https://eenkshop.com/shop/?idx=12373,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/1f42935e901db.jpg?w=800,₩120,₩102,15,260626,,,,,
,false,,EENK,,여성,여성,Front Rose Graphic T-shirt - Purple,https://eenkshop.com/shop/?idx=12372,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/3f0568f7dc998.jpg?w=800,₩120,₩102,15,260626,,,,,
,false,,EENK,,여성,여성,Front Rose Graphic T-shirt - Black,https://eenkshop.com/shop/?idx=12371,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/593a447322346.jpg?w=800,₩120,₩102,15,260626,,,,,
,false,,EENK,,여성,여성,Rose Point T-Shirt - Light Pink,https://eenkshop.com/shop/?idx=12370,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/a9e2361a3428e.jpg?w=800,₩120,₩102,15,260626,,,,,
,false,,EENK,,여성,여성,Rose Point T-Shirt - Navy,https://eenkshop.com/shop/?idx=12369,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/57e6f593dfbf7.jpg?w=800,₩120,₩102,15,260626,,,,,
,false,,EENK,,여성,여성,Double V-Neckline Cami - Black,https://eenkshop.com/shop/?idx=12366,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/0da9bd83300e3.jpg?w=800,₩106,₩90,15,260626,,,,,
,false,,EENK,,여성,여성,Double V-Neckline Cami - Navy*,https://eenkshop.com/shop/?idx=12368,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/4060fdd215b0f.jpg?w=800,₩177,₩150,15,260626,,,,,
,false,,EENK,,여성,여성,Double V-Neckline Cami - Sky Blue,https://eenkshop.com/shop/?idx=12367,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/00a01e2847de1.jpg?w=800,₩106,₩90,15,260626,,,,,
,false,,EENK,,여성,여성,Transformable Single-Breasted Jacket - Khaki,https://eenkshop.com/shop/?idx=12299,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/f8236f05a48d4.jpg?w=800,₩713,₩606,15,260626,,,,,
,false,,EENK,,여성,여성,Transformable Single-Breasted Jacket - Navy,https://eenkshop.com/shop/?idx=12298,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/0e128236a78b4.jpg?w=800,₩713,₩606,15,260626,,,,,
,false,,EENK,,여성,여성,Front Pleated Convertible Shorts - Khaki,https://eenkshop.com/shop/?idx=12365,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/165b281a92b7c.jpg?w=800,₩427,₩363,15,260626,,,,,
,false,,EENK,,여성,여성,Front Pleated Convertible Shorts - Navy,https://eenkshop.com/shop/?idx=12364,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/1d78b59b75b8a.jpg?w=800,₩427,₩363,15,260626,,,,,
,false,,EENK,,여성,여성,Embroidered Pocket Pants - Black,https://eenkshop.com/shop/?idx=12363,https://cdn-optimized.imweb.me/upload/S201802055a77d9e2e4797/4014a67e496db.jpg?w=800,₩284,₩241,15,260626,,,,,
