platform,is_ranking,rank,brand,brand_likes,main_category,category,gender,product_detail_url,product_name,color,color_chip,thumbnail,likes,views,details,material,current_price,regular_price,discount_rate,rating,reviews,sales,manufacture_date,crawled_at,reorder
,false,,에잇세컨즈,,,여성 > 팬츠 > 슬림,여성,https://www.ssfshop.com/8-seconds/GM0026031314429/good?dspCtgryNo=SFMA41&brandShopNo=BDMA07A01&brndShopId=8SBSS,슬림핏 레이어드 저지 팬츠 - 애쉬,,,https://img.ssfshop.com/cmd/LB_500x660/src/https://img.ssfshop.com/goods/8SBR/26/03/13/GM0026031314429_0_THNAIL_ORGINL_20260331150216321.jpg,,,,"겉감: 면 57%, 폴리에스터 38%, 폴리우레탄 5%.","₩29,900","₩49,900",40,5.0,1,,,260625,
,false,,에잇세컨즈,,,여성 > 티셔츠 > 반소매 티셔츠,여성,https://www.ssfshop.com/8-seconds/GM0026040143641/good?dspCtgryNo=SFMA41&brandShopNo=BDMA07A01&brndShopId=8SBSS,버튼업 반팔 저지탑 - 아이보리,,,https://img.ssfshop.com/cmd/LB_500x660/src/https://img.ssfshop.com/goods/8SBR/26/04/01/GM0026040143641_0_THNAIL_ORGINL_20260420153246554.jpg,,,,"겉감: 레이온 39%, 아크릴 29%, 면 27%, 폴리우레탄 5%.","₩29,900","₩44,900",33,4.5,6,,,260625,
,false,,에잇세컨즈,,,여성 > 아우터 > 점퍼 > 바람막이,여성,https://www.ssfshop.com/8-seconds/GM0026040143631/good?dspCtgryNo=SFMA41&brandShopNo=BDMA07A01&brndShopId=8SBSS,컬러 배색 윈드브레이커 - 스카이블루,,,https://img.ssfshop.com/cmd/LB_500x660/src/https://img.ssfshop.com/goods/8SBR/26/04/01/GM0026040143631_0_THNAIL_ORGINL_20260414184407030.jpg,,,,겉감: 나일론 100%. | 배색: 나일론 100%.,"₩39,900","₩69,900",43,5.0,1,,,260625,
,false,,에잇세컨즈,,,여성 > 팬츠 > 와이드,여성,https://www.ssfshop.com/8-seconds/GM0026020958557/good?dspCtgryNo=SFMA41&brandShopNo=BDMA07A01&brndShopId=8SBSS,카고 포켓 팬츠 - 네이비,,,https://img.ssfshop.com/cmd/LB_500x660/src/https://img.ssfshop.com/goods/8SBR/26/02/09/GM0026020958557_0_THNAIL_ORGINL_20260309112518484.jpg,,,,겉감: 면 100%.,"₩39,900","₩59,900",33,5.0,1,,,260625,
,false,,에잇세컨즈,,,여성 > 패션잡화 > 스카프/머플러,여성,https://www.ssfshop.com/8-seconds/GM0026021164051/good?dspCtgryNo=SFMA41&brandShopNo=BDMA07A01&brndShopId=8SBSS,페이즐리 마름모 스카프 - 네이비,,,https://img.ssfshop.com/cmd/LB_500x660/src/https://img.ssfshop.com/goods/8SBR/26/02/11/GM0026021164051_0_THNAIL_ORGINL_20260219123815106.jpg,,,,겉감 : 면 100%.,,"₩19,900",,4.5,6,,,260625,
,false,,에잇세컨즈,,,여성 > 아우터 > 점퍼 > 바람막이,여성,https://www.ssfshop.com/8-seconds/GM0026040349111/good?dspCtgryNo=SFMA41&brandShopNo=BDMA07A01&brndShopId=8SBSS,아웃포켓 윈드브레이커 - 라이트 그레이,,,https://img.ssfshop.com/cmd/LB_500x660/src/https://img.ssfshop.com/goods/8SBR/26/04/03/GM0026040349111_0_THNAIL_ORGINL_20260420151922596.jpg,,,,겉감: 나일론 100%.,"₩39,900","₩69,900",43,4.5,17,,,260625,
,false,,에잇세컨즈,,,여성 > 아우터 > 점퍼 > 바람막이,여성,https://www.ssfshop.com/8-seconds/GM0026022379167/good?dspCtgryNo=SFMA41&brandShopNo=BDMA07A01&brndShopId=8SBSS,패커블 하이넥 윈드브레이커 - 애쉬,,,https://img.ssfshop.com/cmd/LB_500x660/src/https://img.ssfshop.com/goods/8SBR/26/02/23/GM0026022379167_0_THNAIL_ORGINL_20260330185631875.jpg,,,,겉감 : 나일론 100%.,"₩29,900","₩39,900",25,4.5,64,,,260625,
,false,,에잇세컨즈,,,여성 > 니트 > 풀오버,여성,https://www.ssfshop.com/8-seconds/GM0026041771326/good?dspCtgryNo=SFMA41&brandShopNo=BDMA07A01&brndShopId=8SBSS,[리오더] 헨리넥 풀오버 - 베이지,,,https://img.ssfshop.com/cmd/LB_500x660/src/https://img.ssfshop.com/goods/8SBR/26/04/17/GM0026041771326_0_THNAIL_ORGINL_20260506180941276.jpg,,,,"겉감 : 폴리에스터 73%, 나일론 12%, 아크릴 12%, 모 3%.","₩29,900","₩39,900",25,4.5,27,,,260625,
,false,,에잇세컨즈,,,여성 > 팬츠 > 와이드,여성,https://www.ssfshop.com/8-seconds/GM0025123105927/good?dspCtgryNo=SFMA41&brandShopNo=BDMA07A01&brndShopId=8SBSS,사이드 턱 벌룬 스웨트 팬츠 - 그레이,,,https://img.ssfshop.com/cmd/LB_500x660/src/https://img.ssfshop.com/goods/8SBR/25/12/31/GM0025123105927_0_THNAIL_ORGINL_20260126113137946.jpg,,,,"겉감: 면 60%, 폴리에스터 40%.","₩29,900","₩39,900",25,4.5,66,,,260625,
,false,,에잇세컨즈,,,여성 > 셔츠/블라우스 > 셔츠 > 긴소매 셔츠,여성,https://www.ssfshop.com/8-seconds/GM0026020958565/good?dspCtgryNo=SFMA41&brandShopNo=BDMA07A01&brndShopId=8SBSS,레이어드 블루종 셔츠 - 라이트 그레이,,,https://img.ssfshop.com/cmd/LB_500x660/src/https://img.ssfshop.com/goods/8SBR/26/02/09/GM0026020958565_0_THNAIL_ORGINL_20260309112512268.jpg,,,,"겉감: 면 100%. | 배색: 레이온 49%, 면 45%, 폴리우레탄 6%.","₩39,900","₩59,900",33,,,,,260625,
