platform,is_ranking,rank,brand,main_category,category,gender,product_name,product_detail_url,thumbnail,regular_price,current_price,discount_rate,crawled_at,color,material,details,rating,reviews
,false,,프렌치오브,,카테고리,,[란제리코어]릴리즈 레이스 나시 슬리브리스 (5color),https://frenchaube.com/product/detail.html?product_no=6202,https://frenchaube.com/web/product/medium/202606/56537b10f5cdb9fcb229b1a67031f60d.gif,"₩37,900",,,260622,,,,,
,false,,프렌치오브,,카테고리,,[💓핀터무드]센프 플라워 펀칭 미디 스커트 (2color),https://frenchaube.com/product/detail.html?product_no=6203,https://frenchaube.com/web/product/medium/202606/0de59575a7cfd896a880e033be05e385.gif,"₩33,900",,,260622,,,,,
,false,,프렌치오브,,카테고리,,[🧊살안타템]레버 시스루 텐셀 브이넥 살안타 티셔츠 (13color),https://frenchaube.com/product/detail.html?product_no=6204,https://frenchaube.com/web/product/medium/202606/8d5b1f0b8ab09eba61d34baefccd2097.gif,"₩26,900",,,260622,,,,,
,false,,프렌치오브,,카테고리,,[🧊바스락/안감O]에폰 맥시 셔링 나일론 롱 스커트 (4color),https://frenchaube.com/product/detail.html?product_no=6205,https://frenchaube.com/web/product/medium/202606/4aa523c60407150ba701294a2276f976.gif,"₩38,900",,,260622,,,,,
,false,,프렌치오브,,카테고리,,[🧊살안타템]로하 보트넥 나그랑 시스루 티셔츠 (5color),https://frenchaube.com/product/detail.html?product_no=6206,https://frenchaube.com/web/product/medium/202606/4e76700d12945d0f4d2afe622e84abb2.gif,"₩25,900",,,260622,,,,,
,false,,프렌치오브,,카테고리,,[🧊바스락/안감O]러블 코튼 캉캉 미디 스커트 (2color),https://frenchaube.com/product/detail.html?product_no=6207,https://frenchaube.com/web/product/medium/202606/0d14b6aa182da4849e1165dbdc677cad.gif,"₩38,900",,,260622,,,,,
,false,,프렌치오브,,카테고리,,[🧊살안타템]멘드 브이넥 살안타 시스루 니트 (5color),https://frenchaube.com/product/detail.html?product_no=6208,https://frenchaube.com/web/product/medium/202606/676d23462f73ceda35e4f128775e58db.gif,"₩35,900",,,260622,,,,,
,false,,프렌치오브,,카테고리,,[출근룩/부분안감O]앤티 밴딩 나일론 와이드 팬츠 (숏/롱ver)(3color),https://frenchaube.com/product/detail.html?product_no=6194,https://frenchaube.com/web/product/medium/202606/419aef10520232d45b4f30718b3a2d9e.gif,"₩30,900",,,260622,,,,,
,false,,프렌치오브,,카테고리,,[끈조절O/뷰유방커버]비아 뷔스티에 레이스 나시 블라우스 (2color),https://frenchaube.com/product/detail.html?product_no=6195,https://frenchaube.com/web/product/medium/202606/2d6fb0526eb4f2ad43ce4ecabaaa9592.gif,"₩35,900",,,260622,,,,,
,false,,프렌치오브,,카테고리,,[set]커티 홀터 뷔스티에 하객룩 반팔 블라우스 (3color),https://frenchaube.com/product/detail.html?product_no=6196,https://frenchaube.com/web/product/medium/202606/f2e3ccac48a9c057367e59fef48ed383.gif,"₩38,900",,,260622,,,,,
,false,,프렌치오브,,카테고리,,[하객룩/히든밴딩]잔느 h라인 밴딩 맥시 롱 스커트 (2color),https://frenchaube.com/product/detail.html?product_no=6197,https://frenchaube.com/web/product/medium/202606/ea831c83bb124e4037c6948511b1d274.gif,"₩40,900",,,260622,,,,,
,false,,프렌치오브,,카테고리,,[🧊쿨소재/여리핏]유즈 타이 원숄더 루즈핏 반팔 니트 (3color),https://frenchaube.com/product/detail.html?product_no=6198,https://frenchaube.com/web/product/medium/202606/f8968e851265ad12ae36b19413a3c668.gif,"₩38,900",,,260622,,,,,
,false,,프렌치오브,,카테고리,,[💗여행룩/팔뚝커버]드모어 버튼 핀턱 레이스 반팔 블라우스 (2color),https://frenchaube.com/product/detail.html?product_no=6199,https://frenchaube.com/web/product/medium/202606/1df6db481358c9791a23c482e02a004b.gif,"₩38,500",,,260622,,,,,
,false,,프렌치오브,,카테고리,,잰더 스터드 코튼 커브드 와이드 팬츠 (3color),https://frenchaube.com/product/detail.html?product_no=6200,https://frenchaube.com/web/product/medium/202606/47713695ab88ece055bb8b786f35c32d.gif,"₩44,900",,,260622,,,,,
,false,,프렌치오브,,카테고리,,[하객룩/부유방커버]슈르 홀터 타이 나시 블라우스 (2color),https://frenchaube.com/product/detail.html?product_no=6201,https://frenchaube.com/web/product/medium/202606/43c6e1d6ea9933be4b8667f510519dff.gif,"₩47,900",,,260622,,,,,
,false,,프렌치오브,,카테고리,,[🧊체형커버/허리밴딩]비쥬 레이어드 치마바지 부츠컷 팬츠,https://frenchaube.com/product/detail.html?product_no=6188,https://frenchaube.com/web/product/medium/202606/89d14c051b9649416060df48a7674e5e.gif,"₩38,900",,,260622,,,,,
,false,,프렌치오브,,카테고리,,[🧊여름바지/골반뽕탈부착/~2XL]콤브 로우라이즈 부츠컷 데님 팬츠 (숏/베이직/롱ver)(4color),https://frenchaube.com/product/detail.html?product_no=6190,https://frenchaube.com/web/product/medium/202606/d21ee10246ee4a93812af56c5ec79b48.gif,"₩41,900",,,260622,,,,,
,false,,프렌치오브,,카테고리,,포지 캡소매 셔링 레이스 반팔 티셔츠 (3color),https://frenchaube.com/product/detail.html?product_no=6191,https://frenchaube.com/web/product/medium/202606/1a29075133b13733872a9fce7dc34adf.gif,"₩30,900",,,260622,,,,,
,false,,프렌치오브,,카테고리,,[하객룩/출근룩]언더슨 히든밴딩 핀턱 와이드 슬랙스 팬츠 (2color),https://frenchaube.com/product/detail.html?product_no=6192,https://frenchaube.com/web/product/medium/202606/aa037e02e70d36f292c2dce1846e8bf0.gif,"₩43,800",,,260622,,,,,
,false,,프렌치오브,,카테고리,,이본 버튼 브이넥 레이어드 반팔 니트 (6color),https://frenchaube.com/product/detail.html?product_no=6193,https://frenchaube.com/web/product/medium/202606/4b1ba32a4f4a907da3206d8bb5bf2150.gif,"₩31,100",,,260622,,,,,
