platform,is_ranking,rank,brand,main_category,category,gender,product_name,product_detail_url,thumbnail,regular_price,current_price,discount_rate,crawled_at,color,material,details,rating,reviews
,false,,제너럴아이디어,,여성 전체,여성,WOMAN 링클 볼륨 체인 버킷백 [WHITE],https://generalidea.co.kr/product/detail.html?product_no=10937,https://generalidea.co.kr/web/product/medium/202606/906f167569e2a3aebc92574e3c34f588.jpg,"₩69,000",,,260623,,,,,
,false,,제너럴아이디어,,여성 전체,여성,WOMAN 링클 볼륨 체인 버킷백 [PINK],https://generalidea.co.kr/product/detail.html?product_no=10936,https://generalidea.co.kr/web/product/medium/202606/7f32c5257222f71be587dae7586c5003.jpg,"₩69,000",,,260623,,,,,
,false,,제너럴아이디어,,여성 전체,여성,WOMAN 링클 볼륨 체인 버킷백 [BLACK],https://generalidea.co.kr/product/detail.html?product_no=10935,https://generalidea.co.kr/web/product/medium/202606/43932d36d1301129135f77c3960a15d0.jpg,"₩69,000",,,260623,,,,,
,false,,제너럴아이디어,,여성 전체,여성,[단독] WOMAN 아세테이트 라운드넥 티셔츠 [LIGHT BLUE],https://generalidea.co.kr/product/detail.html?product_no=10913,https://generalidea.co.kr/web/product/medium/202606/e3bcedc57a04fb360d6b6c6aa2d4484d.jpg,"₩37,000",,,260623,,,,,
,false,,제너럴아이디어,,여성 전체,여성,[단독] WOMAN 펀칭 리브드 헨리넥 티셔츠 [LIGHT GREY],https://generalidea.co.kr/product/detail.html?product_no=10912,https://generalidea.co.kr/web/product/medium/202606/6d5daeaaa4bcbc0a423b7b687d7395c7.jpg,"₩37,000",,,260623,,,,,
,false,,제너럴아이디어,,여성 전체,여성,[단독] WOMAN 데일리 숏슬리브 티셔츠 [MINT],https://generalidea.co.kr/product/detail.html?product_no=10911,https://generalidea.co.kr/web/product/medium/202606/3579dde608455f30314608a115fe249a.jpg,"₩33,000",,,260623,,,,,
,false,,제너럴아이디어,,여성 전체,여성,[단독] WOMAN 데일리 숏슬리브 티셔츠 [NAVY],https://generalidea.co.kr/product/detail.html?product_no=10910,https://generalidea.co.kr/web/product/medium/202606/df6b0bb63c7093d2552efd3b50ed4a5e.jpg,"₩33,000",,,260623,,,,,
,false,,제너럴아이디어,,여성 전체,여성,[단독] WOMAN 메쉬 트리밍 원 숄더 티셔츠 [CHARCOAL],https://generalidea.co.kr/product/detail.html?product_no=10909,https://generalidea.co.kr/web/product/medium/202606/7d58198d5543fa2506cdf79624031ba2.jpg,"₩47,000",,,260623,,,,,
,false,,제너럴아이디어,,여성 전체,여성,WOMAN 라이브 스트리밍 캣 반팔티 [2COL],https://generalidea.co.kr/product/detail.html?product_no=10671,https://generalidea.co.kr/web/product/medium/202605/a8efa4a0c74a0bc8b2a47a6e7e1e4df1.jpg,"₩42,000",,,260623,,,,,
,false,,제너럴아이디어,,여성 전체,여성,WOMAN 스퀘어넥 퍼프 미니 원피스 [WHITE],https://generalidea.co.kr/product/detail.html?product_no=10905,https://generalidea.co.kr/web/product/medium/202606/9770f63989a2f041f951b16654a5fcde.jpg,"₩79,000",,,260623,,,,,
,false,,제너럴아이디어,,여성 전체,여성,WOMAN 스퀘어넥 퍼프 미니 원피스 [BLACK],https://generalidea.co.kr/product/detail.html?product_no=10904,https://generalidea.co.kr/web/product/medium/202606/c84642a2c71bb4be9e40aad2b53e1d63.jpg,"₩79,000",,,260623,,,,,
,false,,제너럴아이디어,,여성 전체,여성,[무료배송/교환] [단독] WOMAN 셔츠 카라 피케 하프 니트 [IVORY],https://generalidea.co.kr/product/detail.html?product_no=10903,https://generalidea.co.kr/web/product/medium/202606/383e7584274c4e7b8ee208683081708b.jpg,"₩73,000",,,260623,,,,,
,false,,제너럴아이디어,,여성 전체,여성,[무료배송/교환] [단독] WOMAN 셔츠 카라 피케 하프 니트 [LIGHT BLUE],https://generalidea.co.kr/product/detail.html?product_no=10902,https://generalidea.co.kr/web/product/medium/202606/545baec74f1c20870fde1fcfb3709261.jpg,"₩73,000",,,260623,,,,,
,false,,제너럴아이디어,,여성 전체,여성,[1+1] UNISEX 온도컷 쿨링 로고 반팔 티셔츠 [2COL],https://generalidea.co.kr/product/detail.html?product_no=10613,https://generalidea.co.kr/web/product/medium/202605/37c9da427be56f0245b978fc3954be56.jpg,"₩34,000",,,260623,,,,,
