platform,is_ranking,rank,brand,brand_likes,main_category,category,gender,product_detail_url,product_name,color,color_chip,thumbnail,likes,views,details,material,current_price,regular_price,discount_rate,rating,reviews,sales,manufacture_date,crawled_at,reorder
,false,,그로브,,,전체,,https://en.grovestore.com/product/detail.html?product_no=5957,VARA HALTER WRAP SET,,,https://en.grovestore.com/web/product/medium/202606/1c44181c6c17a31b083e4528f731bd45.jpg,,,,,,₩72,,,,,,260626,
,false,,그로브,,,전체,,https://en.grovestore.com/product/detail.html?product_no=5956,VAIN CAPRI PANTS,,,https://en.grovestore.com/web/product/medium/202606/c64eca606823b165d764be53c63ccb29.jpg,,,,,,₩109,,,,,,260626,
,false,,그로브,,,전체,,https://en.grovestore.com/product/detail.html?product_no=5955,SERIN LAYERED ONE-PIECE,,,https://en.grovestore.com/web/product/medium/202606/f9d336c0c659587b69b87e102a1d9ac9.jpg,,,,,,₩131,,,,,,260626,
,false,,그로브,,,전체,,https://en.grovestore.com/product/detail.html?product_no=5954,ROEN BUTTON PK T-SHIRT,,,https://en.grovestore.com/web/product/medium/202606/5fbe28999c899c02afdcb2e784af8bc7.jpg,,,,,,₩58,,,,,,260626,
,false,,그로브,,,전체,,https://en.grovestore.com/product/detail.html?product_no=5953,REYA H/S KNIT CARDIGAN,,,https://en.grovestore.com/web/product/medium/202606/3acee4cef2a42a25b91631d691f826fc.jpg,,,,,,₩79,,,,,,260626,
,false,,그로브,,,전체,,https://en.grovestore.com/product/detail.html?product_no=5952,POET DENIM POCKET PANTS,,,https://en.grovestore.com/web/product/medium/202606/488e9750888669bf0e3cf3c02518cc77.jpg,,,,,,₩116,,,,,,260626,
,false,,그로브,,,전체,,https://en.grovestore.com/product/detail.html?product_no=5951,ODETTE H/S KNIT,,,https://en.grovestore.com/web/product/medium/202606/669a7625745915d2762982699dfdac9b.jpg,,,,,,₩61,,,,,,260626,
,false,,그로브,,,전체,,https://en.grovestore.com/product/detail.html?product_no=5950,NOMA PINTUCK SHORTS,,,https://en.grovestore.com/web/product/medium/202606/3e10107eca4e770cabe7aed9b0163b5e.jpg,,,,,,₩109,,,,,,260626,
,false,,그로브,,,전체,,https://en.grovestore.com/product/detail.html?product_no=5949,MELROSE SATIN MIDI SKIRT,,,https://en.grovestore.com/web/product/medium/202606/f1339651fa09643372a1edbb24ec25b8.jpg,,,,,,₩109,,,,,,260626,
,false,,그로브,,,전체,,https://en.grovestore.com/product/detail.html?product_no=5948,LIOR MIDI SKIRT,,,https://en.grovestore.com/web/product/medium/202606/42aaaed4e7d12d4a2407bf0bcc7b958c.jpg,,,,,,₩116,,,,,,260626,
,false,,그로브,,,전체,,https://en.grovestore.com/product/detail.html?product_no=5947,LIOR HALTER VEST,,,https://en.grovestore.com/web/product/medium/202606/b1928cc70c130ac3be7c7dcaaca3a83a.jpg,,,,,,₩94,,,,,,260626,
,false,,그로브,,,전체,,https://en.grovestore.com/product/detail.html?product_no=5946,GLIM LACE SLEEVELESS,,,https://en.grovestore.com/web/product/medium/202606/cc9b0979e286b980d285563f81b7080d.jpg,,,,,,₩36,,,,,,260626,
,false,,그로브,,,전체,,https://en.grovestore.com/product/detail.html?product_no=5945,GEMMA SLEEVELESS MUFFLER SET,,,https://en.grovestore.com/web/product/medium/202606/c68101e783ac7defecbf9661a5b9799a.jpg,,,,,,₩109,,,,,,260626,
,false,,그로브,,,전체,,https://en.grovestore.com/product/detail.html?product_no=5944,FLOW LAYERED ONE-PIECE,,,https://en.grovestore.com/web/product/medium/202606/4a9b18774fb9ae4f036f4183af4b6550.jpg,,,,,,₩79,,,,,,260626,
,false,,그로브,,,전체,,https://en.grovestore.com/product/detail.html?product_no=5943,ECHO DENIM PANTS,,,https://en.grovestore.com/web/product/medium/202606/0b84ed37a7d71f83cc0906c326c442e7.jpg,,,,,,₩124,,,,,,260626,
,false,,그로브,,,전체,,https://en.grovestore.com/product/detail.html?product_no=5942,DORY STRIPE KNIT SLEEVELESS,,,https://en.grovestore.com/web/product/medium/202606/a8506bd25eb040d2172058da88bad1dd.jpg,,,,,,₩46,,,,,,260626,
,false,,그로브,,,전체,,https://en.grovestore.com/product/detail.html?product_no=5941,DEW U-NECK T-SHIRT,,,https://en.grovestore.com/web/product/medium/202606/2b645fe426b30fd3a6c72d72e9d11fac.jpg,,,,,,₩34,,,,,,260626,
,false,,그로브,,,전체,,https://en.grovestore.com/product/detail.html?product_no=5940,BRISE ONE-PIECE,,,https://en.grovestore.com/web/product/medium/202606/68857153e983773d8956139fbc9b1bad.jpg,,,,,,₩124,,,,,,260626,
,false,,그로브,,,전체,,https://en.grovestore.com/product/detail.html?product_no=5939,BIANCA ONE-PIECE,,,https://en.grovestore.com/web/product/medium/202606/061180e1c5eed944fb5a0c56ec4036eb.jpg,,,,,,₩124,,,,,,260626,
,false,,그로브,,,전체,,https://en.grovestore.com/product/detail.html?product_no=5938,WENDY 3/4 T-SHIRT,,,https://en.grovestore.com/web/product/medium/202606/a5de29b28bfb0b29415ad379719e80cd.jpg,,,,,,₩42,,,,,,260626,
,false,,그로브,,,전체,,https://en.grovestore.com/product/detail.html?product_no=5937,RUDO U-NECK T-SHIRT,,,https://en.grovestore.com/web/product/medium/202606/a498f32d5a6a304d06ba0903f403caf5.jpg,,,,,,₩31,,,,,,260626,
