platform,is_ranking,rank,brand,brand_likes,main_category,category,gender,product_detail_url,product_name,color,color_chip,thumbnail,likes,views,details,material,current_price,regular_price,discount_rate,rating,reviews,sales,manufacture_date,crawled_at,reorder
,false,,호와스,,,하의,,https://howus.kr/products/silk-easy-pnats,Silk Easy Pnats,"Black / S, Black / M",,https://cdn.shopify.com/s/files/1/0602/2322/5903/files/1_27f4e544-fb41-48e6-86ad-a8d6e20111b1.jpg?v=1779784851,,,,,,"₩129,000",,,,,,260626,
,false,,호와스,,,하의,,https://howus.kr/products/summer-note-long-skirt,Summer Note Long Skirt,"Cream / S, Cream / M, Melange / S, Melange / M, Black / S, Black / M",,https://cdn.shopify.com/s/files/1/0602/2322/5903/files/1_5ae2820d-a399-4059-8c18-8200b2e91e96.jpg?v=1779784518,,,,,,"₩119,000",,,,,,260626,
,false,,호와스,,,하의,,https://howus.kr/products/rivet-cargo-mini-skirt,Rivet Cargo Mini Skirt,"Khaki / S, Khaki / M",,https://cdn.shopify.com/s/files/1/0602/2322/5903/files/1_copy_adcf803d-0346-4595-9af4-301a2dce1144.jpg?v=1781690317,,,,,,"₩119,000",,,,,,260626,
,false,,호와스,,,하의,,https://howus.kr/products/summer-layer-pants,Summer Layer Pants,"Ivory / S, Ivory / M, Black / S, Black / M",,https://cdn.shopify.com/s/files/1/0602/2322/5903/files/1_3c98a2e2-b92d-4a94-a71a-f0db77115266.jpg?v=1776735670,,,,,,"₩119,000",,,,,,260626,
,false,,호와스,,,하의,,https://howus.kr/products/fade-cotton-short-pants,Fade Cotton Short Pants,"White / S, White / M",,https://cdn.shopify.com/s/files/1/0602/2322/5903/files/1_e3852399-3bf4-4c6e-af36-63774a1936fc.jpg?v=1776324939,,,,,,"₩135,000",,,,,,260626,
,false,,호와스,,,하의,,https://howus.kr/products/howus-cafri-pants,Howus Cafri Pants,"Khaki / XS, Khaki / S, Khaki / M, Khaki / L, Black / XS, Black / S, Black / M, Black / L",,https://cdn.shopify.com/s/files/1/0602/2322/5903/files/1_a6b56aee-ba1a-4691-8784-acad6eb3ca62.jpg?v=1776324753,,,,,,"₩126,000",,,,,,260626,
,false,,호와스,,,하의,,https://howus.kr/products/signal-cotton-pants,Signal Cotton Pants,"Cobalt Blue / XS, Cobalt Blue / S, Cobalt Blue / M, Summer Red / XS, Summer Red / S, Summer Red / M",,https://cdn.shopify.com/s/files/1/0602/2322/5903/files/1_b315af7f-4a3b-4f1b-a425-ef0efeaff792.jpg?v=1776324369,,,,,,"₩149,000",,,,,,260626,
,false,,호와스,,,하의,,https://howus.kr/products/26-low-rise-denim,26 Low-Rise Denim,"Light Blue / XS, Light Blue / S, Light Blue / M, Light Blue / L",,https://cdn.shopify.com/s/files/1/0602/2322/5903/files/1_fc053298-c1da-4737-8cea-c5fc61134bcd.jpg?v=1776323958,,,,,,"₩139,000",,,,,,260626,
,false,,호와스,,,하의,,https://howus.kr/products/hatch-work-denim-pants,Hatch Work Denim Pants,"Brush Blue / XS, Brush Blue / S, Brush Blue / M, Brush Blue / L",,https://cdn.shopify.com/s/files/1/0602/2322/5903/files/1_3ec417aa-0f96-4d52-bbf0-d4f7bf8f8042.jpg?v=1776323705,,,,,,"₩159,000",,,,,,260626,
,false,,호와스,,,하의,,https://howus.kr/products/soft-summer-sweat-pants,Soft Summer Sweat Pants,"Melange / ONE SIZE, Dark Navy / ONE SIZE",,https://cdn.shopify.com/s/files/1/0602/2322/5903/files/1_8c6ba8e6-f374-43ec-bf51-609704ba8775.jpg?v=1776323304,,,,,,"₩129,000",,,,,,260626,
