platform,is_ranking,rank,brand,main_category,category,gender,product_name,product_detail_url,thumbnail,regular_price,current_price,discount_rate,crawled_at,color,material,details,rating,reviews
,false,,호와스,,상의,,Hot Summer Hood Zip-Up,https://howus.kr/products/hot-summer-hood-zip-up,https://cdn.shopify.com/s/files/1/0602/2322/5903/files/1_2c905e63-60c4-448f-a8f9-cc5262694d37.jpg?v=1779848113,"₩159,000",,,260626,"Sora / ONE SIZE, Navy / ONE SIZE",,,,
,false,,호와스,,상의,,Summer Cardigan,https://howus.kr/products/summer-cardigan,https://cdn.shopify.com/s/files/1/0602/2322/5903/files/1_088f1121-2e89-452d-8125-42831e5947e3.jpg?v=1779848208,"₩125,000",,,260626,"Black / ONE SIZE, Ivory / ONE SIZE, Olive / ONE SIZE",,,,
,false,,호와스,,상의,,Slim Linen Top,https://howus.kr/products/slim-linen-top,https://cdn.shopify.com/s/files/1/0602/2322/5903/files/1_1e7f8802-4573-446c-8b3e-12d5370b815a.jpg?v=1779849395,"₩89,000",,,260626,"Black / ONE SIZE, Ivory / ONE SIZE, Olive / ONE SIZE",,,,
,false,,호와스,,상의,,Crepe Dot Top,https://howus.kr/products/crepe-dot-top,https://cdn.shopify.com/s/files/1/0602/2322/5903/files/1_38a80985-ad5b-4909-a58b-cfa62a8649dd.jpg?v=1779849646,"₩139,000",,,260626,"Pale Sora / S, Pale Sora / M, Black / S, Black / M",,,,
,false,,호와스,,상의,,Panama Button Top,https://howus.kr/products/panama-button-top,https://cdn.shopify.com/s/files/1/0602/2322/5903/files/1_97cdb362-718f-456e-8a19-234f133dbdb3.jpg?v=1779849964,"₩89,000",,,260626,"Olive / ONE SIZE, Navy / ONE SIZE",,,,
,false,,호와스,,상의,,Layer Bustier,https://howus.kr/products/layer-bustier,https://cdn.shopify.com/s/files/1/0602/2322/5903/files/1_2e14c75d-36f3-485b-9f8c-13f746b6c284.jpg?v=1776736921,"₩127,000",,,260626,"Ivory / ONE SIZE, Black / ONE SIZE, Deep Red / ONE SIZE",,,,
,false,,호와스,,상의,,Sheer Cardigan,https://howus.kr/products/sheer-cardigan,https://cdn.shopify.com/s/files/1/0602/2322/5903/files/1_5f021a03-80a6-4a16-878a-42e7b9b2557b.jpg?v=1776646838,"₩157,000",,,260626,"Butter / ONE SIZE, Lime / ONE SIZE, Charcoal / ONE SIZE",,,,
,false,,호와스,,상의,,Half Shirt Jacket,https://howus.kr/products/half-shirt-jacket,https://cdn.shopify.com/s/files/1/0602/2322/5903/files/1_3c141371-f8bd-474f-8a83-25a1a5a85ae4.jpg?v=1776645403,"₩175,000",,,260626,"White / ONE SIZE, Summer Navy / ONE SIZE",,,,
,false,,호와스,,상의,,Paper Over Shirt,https://howus.kr/products/paper-over-shirt,https://cdn.shopify.com/s/files/1/0602/2322/5903/files/1_b0538e76-a3d8-4252-8744-cb42255d953f.jpg?v=1776390918,"₩139,000",,,260626,"Off White / ONE SIZE, Lavender / ONE SIZE, Stripe / ONE SIZE",,,,
,false,,호와스,,상의,,Plain Denim Shirt,https://howus.kr/products/plain-denim-shirt,https://cdn.shopify.com/s/files/1/0602/2322/5903/files/1_429887af-0562-456c-b4df-1fed279ff33d.jpg?v=1776390458,"₩179,000",,,260626,Light Blue / ONE SIZE,,,,
