platform,is_ranking,rank,brand,brand_likes,main_category,category,gender,product_detail_url,product_name,color,color_chip,thumbnail,likes,views,details,material,current_price,regular_price,discount_rate,rating,reviews,sales,manufacture_date,crawled_at,reorder
merryaround.co.kr,false,,메리어라운드,,,,,https://merryaround.co.kr/product/detail.html?product_no=32407,[휴양지룩][여행룩][l.m.w] 로지 절개 레이어드 나시 블라우스 (bl),,,https://merryaround.co.kr/web/product/medium/202606/183332b8a9e34fff1d65541f329d2ec3.gif,,,,,"₩43,000","₩43,000",,,,,,260622,
merryaround.co.kr,false,,메리어라운드,,,,,https://merryaround.co.kr/product/detail.html?product_no=32405,[여름블라우스][ofm] 제니 핀턱 데님 반팔 블라우스 (bl),,,https://merryaround.co.kr/web/product/medium/202606/f888b6357e7f6d4c9afd83eefadc0850.gif,,,,,"₩45,000","₩45,000",,,,,,260622,
merryaround.co.kr,false,,메리어라운드,,,,,https://merryaround.co.kr/product/detail.html?product_no=32411,[여름가디건][살안타템][ofm] 러플 골지 린넨 가디건 (cd)(린넨13%),,,https://merryaround.co.kr/web/product/medium/202606/7d5ac374d63574bbfd1bbb7a78c54a9c.gif,,,,,"₩45,000","₩45,000",,,,,,260622,
merryaround.co.kr,false,,메리어라운드,,,,,https://merryaround.co.kr/product/detail.html?product_no=32403,[ofm] 헤일리 카프리 팬츠 (pants),,,https://merryaround.co.kr/web/product/medium/202606/5db0753f9c78c81f65d10122262ab0d8.gif,,,,,"₩42,500","₩42,500",,,,,,260622,
merryaround.co.kr,false,,메리어라운드,,,,,https://merryaround.co.kr/product/detail.html?product_no=32409,[메리단독] 모링 프릴 리본 블라우스 (bl),,,https://merryaround.co.kr/web/product/medium/202606/82b48d7fceef52cb2d13290e9965f8f8.gif,,,,,"₩23,000","₩23,000",,,,,,260622,
merryaround.co.kr,false,,메리어라운드,,,,,https://merryaround.co.kr/product/detail.html?product_no=32402,[메리단독] 주디 프릴 카라 반팔 (bl),,,https://merryaround.co.kr/web/product/medium/202606/6d26a9b3e0d9f57a092ae02e06df0d5f.gif,,,,,"₩21,500","₩21,500",,,,,,260622,
merryaround.co.kr,false,,메리어라운드,,,,,https://merryaround.co.kr/product/detail.html?product_no=32410,[메리단독] 벨로 프릴 핀턱 블라우스 (bl),,,https://merryaround.co.kr/web/product/medium/202606/5364dda801f0002c5e60b18fd7aa26c2.gif,,,,,"₩26,500","₩26,500",,,,,,260622,
merryaround.co.kr,false,,메리어라운드,,,,,https://merryaround.co.kr/product/detail.html?product_no=32404,[여름니트][살안타템] 아멜 루즈핏 라운드 (knit),,,https://merryaround.co.kr/web/product/medium/202606/3ec4a07a8d5bb9a8e222ef636e72a9fe.gif,,,,,"₩19,000","₩19,000",,,,,,260622,
merryaround.co.kr,false,,메리어라운드,,,,,https://merryaround.co.kr/product/detail.html?product_no=32406,[레이어드나시] 로손 레이스 브이 나시 (sleeveless),,,https://merryaround.co.kr/web/product/medium/202606/5e872dc9e09eede450d24e38913a24da.gif,,,,,"₩21,000","₩21,000",,,,,,260622,
merryaround.co.kr,false,,메리어라운드,,,,,https://merryaround.co.kr/product/detail.html?product_no=32408,[하객룩][메리단독] 룬 새틴 플레어 미디 (sk),,,https://merryaround.co.kr/web/product/medium/202606/6bdcd2b64852d040ecf7b66f7893b300.gif,,,,,"₩24,500","₩24,500",,,,,,260622,
merryaround.co.kr,false,,메리어라운드,,,,,https://merryaround.co.kr/product/detail.html?product_no=32413,칸피 조리 앵클부츠 (shoes)(1.5cm),,,https://merryaround.co.kr/web/product/medium/202606/cc2a9cc1440dc89cb83661f764f7ee0e.gif,,,,,"₩69,800","₩69,800",,,,,,260622,
