platform,is_ranking,rank,brand,brand_likes,main_category,category,gender,product_detail_url,product_name,color,color_chip,thumbnail,likes,views,details,material,current_price,regular_price,discount_rate,rating,reviews,sales,manufacture_date,crawled_at,reorder
,false,,MONCLER,,명품,여성 RTW,여성,https://www.moncler.com/ko-kr/women/ready-to-wear/sweaters-and-cardigans/cotton-padded-cardigan-black-L20939B00004M1113999.html,코튼 패딩 카디건,블랙,,https://moncler-cdn.thron.com/delivery/public/image/moncler/L20939B00004M1113999_F/dpx6uv/std/0x0/L20939B00004M1113999_F.jpg,,,,,"₩2,080,000","₩2,080,000",,,,,,260625,
,false,,MONCLER,,명품,여성 RTW,여성,https://www.moncler.com/ko-kr/women/outerwear/lightweight-down-jackets/fouine-down-shirt-jacket-black-L20931A00023597YG999.html,Fouine 다운 셔츠 재킷,블랙,,https://moncler-cdn.thron.com/delivery/public/image/moncler/L20931A00023597YG999_F/dpx6uv/std/0x0/L20931A00023597YG999_F.jpg,,,,,"₩2,430,000","₩2,430,000",,,,,,260625,
,false,,MONCLER,,명품,여성 RTW,여성,https://www.moncler.com/ko-kr/women/outerwear/lightweight-down-jackets/serin-hooded-cotton-blend-parka-olive-green-L20931A00028599MD836.html,Serin 후드 코튼 혼방 파카,올리브 그린,,https://moncler-cdn.thron.com/delivery/public/image/moncler/L20931A00028599MD836_F/dpx6uv/std/0x0/L20931A00028599MD836_F.jpg,,,,,"₩2,630,000","₩2,630,000",,,,,,260625,
,false,,MONCLER,,명품,여성 RTW,여성,https://www.moncler.com/ko-kr/women/ready-to-wear/dresses/cotton-blend-knee-length-dress-beige-L20932G00018599MW20U.html,코튼 혼방 무릎 길이 드레스,베이지,,https://moncler-cdn.thron.com/delivery/public/image/moncler/L20932G00018599MW20U_F/dpx6uv/std/0x0/L20932G00018599MW20U_F.jpg,,,,,"₩2,020,000","₩2,020,000",,,,,,260625,
,false,,MONCLER,,명품,여성 RTW,여성,https://www.moncler.com/ko-kr/women/outerwear/short-down-jackets/chocard-3-in-1-short-down-jacket-beige-L20931A00003599FN26G.html,Chocard 3-in-1 쇼트 다운 재킷,베이지,,https://moncler-cdn.thron.com/delivery/public/image/moncler/L20931A00003599FN26G_F/dpx6uv/std/0x0/L20931A00003599FN26G_F.jpg,,,,,"₩4,320,000","₩4,320,000",,,,,,260625,
,false,,MONCLER,,명품,여성 RTW,여성,https://www.moncler.com/ko-kr/women/outerwear/lightweight-down-jackets/teddy-trim-denim-shirt-denim-blue-L20932F00002597LG715.html,테디 트리밍 데님 셔츠,데님 블루,,https://moncler-cdn.thron.com/delivery/public/image/moncler/L20932F00002597LG715_F/dpx6uv/std/0x0/L20932F00002597LG715_F.jpg,,,,,"₩1,890,000","₩1,890,000",,,,,,260625,
,false,,MONCLER,,명품,여성 RTW,여성,https://www.moncler.com/ko-kr/women/outerwear/lightweight-down-jackets/cygnes-belted-short-down-jacket-brown-L20931A00065597YW263.html,Cygnes 벨트 쇼트 다운 재킷,브라운,,https://moncler-cdn.thron.com/delivery/public/image/moncler/L20931A00065597YW263_F/dpx6uv/std/0x0/L20931A00065597YW263_F.jpg,,,,,"₩3,520,000","₩3,520,000",,,,,,260625,
,false,,MONCLER,,명품,여성 RTW,여성,https://www.moncler.com/ko-kr/women/outerwear/lightweight-down-jackets/circaete-braided-trim-short-down-jacket-white-ivory-L20931A00066597YF10W.html,Circaete 브레이드 트리밍 쇼트 다운 재킷,화이트 아이보리,,https://moncler-cdn.thron.com/delivery/public/image/moncler/L20931A00066597YF10W_F/dpx6uv/std/0x0/L20931A00066597YF10W_F.jpg,,,,,"₩2,770,000","₩2,770,000",,,,,,260625,
,false,,MONCLER,,명품,여성 RTW,여성,https://www.moncler.com/ko-kr/women/outerwear/vests/cygnette-square-quilted-long-down-vest-brown-L20931A00149597YW263.html,Cygnette 스퀘어 퀼팅 롱 다운 베스트,브라운,,https://moncler-cdn.thron.com/delivery/public/image/moncler/L20931A00149597YW263_F/dpx6uv/std/0x0/L20931A00149597YW263_F.jpg,,,,,"₩3,070,000","₩3,070,000",,,,,,260625,
,false,,MONCLER,,명품,여성 RTW,여성,https://www.moncler.com/ko-kr/women/ready-to-wear/tops-and-t-shirts/grosgrain-logo-cotton-polo-shirt-white-L20938A0000389BFV050.html,그로그랭 로고 코튼 폴로 셔츠,화이트,,https://moncler-cdn.thron.com/delivery/public/image/moncler/L20938A0000389BFV050_F/dpx6uv/std/0x0/L20938A0000389BFV050_F.jpg,,,,,"₩870,000","₩870,000",,,,,,260625,
,false,,MONCLER,,명품,여성 RTW,여성,https://www.moncler.com/ko-kr/women/outerwear/lightweight-down-jackets/fouine-down-shirt-jacket-white-L20931A00023597YG034.html,Fouine 다운 셔츠 재킷,화이트,,https://moncler-cdn.thron.com/delivery/public/image/moncler/L20931A00023597YG034_F/dpx6uv/std/0x0/L20931A00023597YG034_F.jpg,,,,,"₩2,430,000","₩2,430,000",,,,,,260625,
,false,,MONCLER,,명품,여성 RTW,여성,https://www.moncler.com/ko-kr/women/ready-to-wear/sweaters-and-cardigans/wool-padded-zip-up-cardigan-black-L20939B00040M1131999.html,울 패딩 집업 카디건,블랙,,https://moncler-cdn.thron.com/delivery/public/image/moncler/L20939B00040M1131999_F/dpx6uv/std/0x0/L20939B00040M1131999_F.jpg,,,,,"₩1,800,000","₩1,800,000",,,,,,260625,
,false,,MONCLER,,명품,여성 RTW,여성,https://www.moncler.com/ko-kr/women/outerwear/lightweight-down-jackets/carex-hooded-cotton-blend-poplin-jacket-beige-L10931A00134599CU23Q.html,Carex 후드 코튼 혼방 포플린 재킷,베이지,,https://moncler-cdn.thron.com/delivery/public/image/moncler/L10931A00134599CU23Q_F/dpx6uv/std/0x0/L10931A00134599CU23Q_F.jpg,,,,,"₩2,540,000","₩2,540,000",,,,,,260625,
,false,,MONCLER,,명품,여성 RTW,여성,https://www.moncler.com/ko-kr/women/ready-to-wear/tops-and-t-shirts/crochet-trimmed-cotton-logo-t-shirt-white-ivory-L10938C0000489AUO052.html,크로셰 트리밍 코튼 로고 티셔츠,화이트 아이보리,,https://moncler-cdn.thron.com/delivery/public/image/moncler/L10938C0000489AUO052_F/dpx6uv/std/0x0/L10938C0000489AUO052_F.jpg,,,,,"₩760,000","₩760,000",,,,,,260625,
,false,,MONCLER,,명품,여성 RTW,여성,https://www.moncler.com/ko-kr/women/outerwear/windbreakers-and-raincoats/weteau-hooded-jacket-black-L10931A00135539ZD999.html,Weteau 후드 재킷,블랙,,https://moncler-cdn.thron.com/delivery/public/image/moncler/L10931A00135539ZD999_F/dpx6uv/std/0x0/L10931A00135539ZD999_F.jpg,,,,,"₩2,090,000","₩2,090,000",,,,,,260625,
,false,,MONCLER,,명품,여성 RTW,여성,https://www.moncler.com/ko-kr/women/outerwear/long-jackets-and-parka/rhododendron-hooded-parka-coat-beige-L10931C00016599BA209.html,Rhododendron 후드 롱 파카,베이지,,https://moncler-cdn.thron.com/delivery/public/image/moncler/L10931C00016599BA209_F/dpx6uv/std/0x0/L10931C00016599BA209_F.jpg,,,,,"₩3,090,000","₩3,090,000",,,,,,260625,
,false,,MONCLER,,명품,여성 RTW,여성,https://www.moncler.com/ko-kr/women/ready-to-wear/tops-and-t-shirts/logo-cotton-piquet-polo-shirt-black-L10938A0000484720999.html,로고 코튼 피케 폴로 셔츠,블랙,,https://moncler-cdn.thron.com/delivery/public/image/moncler/L10938A0000484720999_F/dpx6uv/std/0x0/L10938A0000484720999_F.jpg,,,,,"₩690,000","₩690,000",,,,,,260625,
,false,,MONCLER,,명품,여성 RTW,여성,https://www.moncler.com/ko-kr/women/outerwear/vests/liane-down-gilet-black-L10931A1020053048999.html,Liane 다운 베스트,블랙,,https://moncler-cdn.thron.com/delivery/public/image/moncler/L10931A1020053048999_F/dpx6uv/std/0x0/L10931A1020053048999_F.jpg,,,,,"₩1,520,000","₩1,520,000",,,,,,260625,
,false,,MONCLER,,명품,여성 RTW,여성,https://www.moncler.com/ko-kr/women/outerwear/windbreakers-and-raincoats/sarracenia-hooded-jacket-light-pink-L10931A00136549P350X.html,Sarracenia 후드 재킷,라이트 핑크,,https://moncler-cdn.thron.com/delivery/public/image/moncler/L10931A00136549P350X_F/dpx6uv/std/0x0/L10931A00136549P350X_F.jpg,,,,,"₩1,890,000","₩1,890,000",,,,,,260625,
,false,,MONCLER,,명품,여성 RTW,여성,https://www.moncler.com/ko-kr/women/outerwear/windbreakers-and-raincoats/rochebonne-hooded-jacket-white-ivory-L10931A00181539ZD04A.html,Rochebonne 후드 재킷,화이트 아이보리,,https://moncler-cdn.thron.com/delivery/public/image/moncler/L10931A00181539ZD04A_F/dpx6uv/std/0x0/L10931A00181539ZD04A_F.jpg,,,,,"₩2,010,000","₩2,010,000",,,,,,260625,
