platform,is_ranking,rank,brand,main_category,category,gender,product_name,product_detail_url,thumbnail,regular_price,current_price,discount_rate,crawled_at,color,material,details,rating,reviews
,false,,사파리스팟,,카테고리290,,1/2 Contrast Waist Straight Pants (Beige),https://safarispot.kr/product/detail.html?product_no=1349,https://safarispot.kr/web/product/medium/202603/0f38b65b5cee25694f9673c12ae6682a.jpg,"₩98,000",,,260626,,,,,
,false,,사파리스팟,,카테고리290,,1/2 Cuff Cropped Pants (Ivory),https://safarispot.kr/product/detail.html?product_no=1347,https://safarispot.kr/web/product/medium/202603/8fa53428291039b145cbe955d30c1caa.jpg,"₩108,000",,,260626,,,,,
,false,,사파리스팟,,카테고리290,,1/2 Cuff Cropped Pants (Charcoal),https://safarispot.kr/product/detail.html?product_no=1346,https://safarispot.kr/web/product/medium/202603/5c6652ece1c87becb15322a8bec3cab2.jpg,"₩108,000",,,260626,,,,,
,false,,사파리스팟,,카테고리290,,1/2 Cropped Barrel Sarouel Pants (Gray),https://safarispot.kr/product/detail.html?product_no=1345,https://safarispot.kr/web/product/medium/202603/f0a57c9a846915b84d9897d0dd60b3a3.jpg,"₩108,000",,,260626,,,,,
,false,,사파리스팟,,카테고리290,,1/2 Washed Cotton Baggy Shorts (Gray),https://safarispot.kr/product/detail.html?product_no=1344,https://safarispot.kr/web/product/medium/202603/488e3bb795bede8256d58af0b315d240.jpg,"₩108,000",,,260626,,,,,
,false,,사파리스팟,,카테고리290,,1/2 Washed Linen Slub Shorts (Brown),https://safarispot.kr/product/detail.html?product_no=1342,https://safarispot.kr/web/product/medium/202603/40b7978043d507efb74a46845a3e0bb3.jpg,"₩98,000",,,260626,,,,,
,false,,사파리스팟,,카테고리290,,Washed Linen Slub Shorts (Brown),https://safarispot.kr/product/detail.html?product_no=1341,https://safarispot.kr/web/product/medium/202603/e776b41179de7608b4835064f7684226.jpg,"₩98,000",,,260626,,,,,
,false,,사파리스팟,,카테고리290,,1/2 Comportable Cropped Pants (Brown),https://safarispot.kr/product/detail.html?product_no=1340,https://safarispot.kr/web/product/medium/202603/9525aed6714f5ff9987d94bee3bae43c.jpg,"₩108,000",,,260626,,,,,
,false,,사파리스팟,,카테고리290,,1/2 Comportable Cropped Pants (Navy),https://safarispot.kr/product/detail.html?product_no=1339,https://safarispot.kr/web/product/medium/202603/42951895a99da37e0b3f537bacb99553.jpg,"₩108,000",,,260626,,,,,
,false,,사파리스팟,,카테고리290,,1/2 Denim Baggy Shorts (Indigo),https://safarispot.kr/product/detail.html?product_no=1338,https://safarispot.kr/web/product/medium/202604/ea145a3e9fdf3cfa57aaa9df2a0607bc.jpg,"₩108,000",,,260626,,,,,
,false,,사파리스팟,,카테고리290,,Denim Baggy Shorts (Indigo),https://safarispot.kr/product/detail.html?product_no=1337,https://safarispot.kr/web/product/medium/202604/89fc0453b71e9fa861f3e698cdbf3c02.jpg,"₩108,000",,,260626,,,,,
,false,,사파리스팟,,카테고리290,,Two Denim Long Skirts (Indigo),https://safarispot.kr/product/detail.html?product_no=1294,https://safarispot.kr/web/product/medium/202603/e149dd42238aa0682614057652d5c166.jpg,"₩113,000",,,260626,,,,,
,false,,사파리스팟,,카테고리290,,Rover Raw Pleats Skirt (Charcoal),https://safarispot.kr/product/detail.html?product_no=1267,https://safarispot.kr/web/product/medium/202602/177fe3fe31fb1f3bd319ea0e043a3b55.jpg,"₩108,000",,,260626,,,,,
,false,,사파리스팟,,카테고리290,,Rover Raw Sweat Long Skirt (Black),https://safarispot.kr/product/detail.html?product_no=1266,https://safarispot.kr/web/product/medium/202601/df27ce62f48a35d70a6cc905681525f7.jpg,"₩108,000",,,260626,,,,,
