platform,is_ranking,rank,brand,brand_likes,main_category,category,gender,product_detail_url,product_name,color,color_chip,thumbnail,likes,views,details,material,current_price,regular_price,discount_rate,rating,reviews,sales,manufacture_date,crawled_at,reorder
,false,,스파오,,,우먼 > 티셔츠 > 반팔,여성,https://www.spao.com/i/item?itemNo=2605000770&lowerVendNo=LV26000003,넘버링 오프숄더 반팔티_SPRPG37GY0,"화이트, 네이비",,https://static.elandrs.com/spao/r/image/item/2026-05-13/51ccacea-8229-48e7-bd12-45486eb0efa6.jpg,,,,"면 : 95%, 폴리우레탄 : 5%",,"₩25,900",,,,,2026년 04월,260625,
,false,,스파오,,,우먼 > 티셔츠 > 반팔,여성,https://www.spao.com/i/item?itemNo=2605001464&lowerVendNo=LV26000003,모크넥 셔링 반팔티_SPRWG24G03,"화이트, 블랙, 베이지",,https://static.elandrs.com/spao/r/image/item/2026-05-14/eaf03234-8093-4684-a1be-218689484c6f.jpg,,,,"레이온 : 92%, 폴리우레탄 : 8%",,"₩25,900",,,,,2026년 02월,260625,
,false,,스파오,,,우먼 > 티셔츠 > 나시,여성,https://www.spao.com/i/item?itemNo=2606009939&lowerVendNo=LV26000002,(QR) [BRA-IN] 캡내장 레이스 브이넥 나시_SPRNG37G98,"화이트, 그레이, 블랙",,https://static.elandrs.com/spao/r/image/item/2026-06-23/b60b7558-e595-4ac0-9d41-9b9912c9c355.jpg,,,,"레이온 : 94%, 폴리우레탄 : 6%",,"₩19,900",,,,,2026년03월,260625,
,false,,스파오,,,우먼 > 티셔츠 > 반팔,여성,https://www.spao.com/i/item?itemNo=2605005659&lowerVendNo=LV26000002,슬럽 래글런 반팔티_SPRWG37G92,"그레이, 옐로우",,https://static.elandrs.com/spao/r/image/item/2026-05-27/c30206a8-0aab-4883-8f85-692d2acc9014.jpg,,,,면66% 폴리에스터34%,,"₩29,900",,,,,2026년04월,260625,
,false,,스파오,,,우먼 > 티셔츠 > 나시,여성,https://www.spao.com/i/item?itemNo=2606009887&lowerVendNo=LV26000002,[COMFORT] [BRA-IN] 캡내장 코튼 포인텔 나시_SPRNG37A99,"화이트, 그레이",,https://static.elandrs.com/spao/r/image/item/2026-06-23/08d538cb-a4de-4677-aa26-236f3592c46c.jpg,,,,"면 : 92%, 폴리우레탄 : 8%",,"₩19,900",,,,,2026년05월,260625,
,false,,스파오,,,우먼 > 이너웨어 > 브라,여성,https://www.spao.com/i/item?itemNo=2605000768&lowerVendNo=LV26000002,(QR) [BRA-IN] 캡내장 레이서백 홀터넥 나시_SPRNG37G95,"화이트, 그레이, 블랙, 블루",,https://static.elandrs.com/spao/r/image/item/2026-06-01/ff05f5da-ebfd-435d-85a6-77b46f1c6a9c.jpg,,,,"레이온 : 94%, 폴리우레탄 : 6%",,"₩19,900",,,,,2026년 03월,260625,
,false,,스파오,,,우먼 > 티셔츠 > 반팔,여성,https://www.spao.com/i/item?itemNo=2606009878&lowerVendNo=LV26000002,스트라이프 레이어드 반팔티 (RE)_SPRWG37G32,"화이트, 블랙",,https://static.elandrs.com/spao/r/image/item/2026-06-23/e48bf1a5-a26b-4b61-8330-25127df60e00.jpg,,,,"겉감1 비스코스51% 면46% 폴리우레탄3% 
겉감2 폴리에스터82% 비스코스14% 폴리우레탄4%",,"₩25,900",,,,,2026년06월,260625,
,false,,스파오,,,맨 > 티셔츠 > 반팔,여성,https://www.spao.com/i/item?itemNo=2605002188&lowerVendNo=LV26000002,[2PACK] 코튼 레귤러핏 반팔티_SPRWGA9A01,"화이트, 블랙, 믹스/패턴",,https://static.elandrs.com/spao/r/image/item/2026-05-21/9b1df34c-b5d7-4751-b69e-c23cd67e03a9.jpg,,,,면 : 100%,,"₩15,900",,,,,2025년 12월,260625,
,false,,스파오,,,맨 > 티셔츠 > 반팔,여성,https://www.spao.com/i/item?itemNo=2605000815&lowerVendNo=LV26000002,[COOL코튼] 루즈핏 반팔티_SPRWGA9C01,"화이트, 그레이, 블랙, 핑크, 그린, 카키, 블루, 네이비",,https://static.elandrs.com/spao/r/image/item/2026-06-08/724de1ce-bbe3-4ea0-ba51-7b8bd2fb74d8.jpg,,,,"면 : 53%, 폴리에스터 : 47%",,"₩19,900",,,,,2025년 11월,260625,
,false,,스파오,,,맨 > 티셔츠 > 반팔,여성,https://www.spao.com/i/item?itemNo=2605000416&lowerVendNo=LV26000002,[2PACK] COOL 루즈핏 반팔티_SPRWGA9A02,"화이트, 블랙, 믹스/패턴",,https://static.elandrs.com/spao/r/image/item/2026-05-21/0192db80-52b1-48ae-8961-f7c961f7bd6a.jpg,,,,"면 : 65%, 폴리에스터 : 35%",,"₩19,900",,,,,2025년 12월,260625,
,false,,스파오,,,우먼 > 이너웨어 > 브라,여성,https://www.spao.com/i/item?itemNo=2605001699&lowerVendNo=LV26000002,[BRA-IN] 골지 끈 나시_SPRNG37G01,"화이트, 블랙, 베이지, 옐로우, 브라운, 그린, 블루",,https://static.elandrs.com/spao/r/image/item/2026-06-02/f26226d3-e603-4b16-9ad6-a038b8571a55.jpg,,,,"면 : 95%, 폴리우레탄 : 5%",,"₩19,900",,,,,2026년 02월,260625,
,false,,스파오,,,우먼 > 티셔츠 > 나시,여성,https://www.spao.com/i/item?itemNo=2606006823&lowerVendNo=LV26000002,[BRA-IN] 골지 민소매 티 (SPRNG24G02 RE)_SPRNG37G22,"화이트, 블랙, 브라운, 네이비, 믹스/패턴",,https://static.elandrs.com/spao/r/image/item/2026-06-02/694bd4af-ba2b-4601-92ce-f3eb786cd05d.jpg,,,,"면 : 95%, 폴리우레탄 : 5%",,"₩19,900",,,,,2026년05월,260625,
,false,,스파오,,,우먼 > 티셔츠 > 나시,여성,https://www.spao.com/i/item?itemNo=2605002097&lowerVendNo=LV26000002,골지 민소매 티_SPRNG37G05,"화이트, 그레이, 블랙, 옐로우, 블루",,https://static.elandrs.com/spao/r/image/item/2026-06-18/effac77c-b02f-4629-90ce-0b3f45aad9ca.jpg,,,,"면 : 97%, 폴리우레탄 : 3%","₩14,900","₩19,900",25,,,,2026년 04월,260625,
