platform,is_ranking,rank,brand,main_category,category,gender,product_name,product_detail_url,thumbnail,regular_price,current_price,discount_rate,crawled_at,color,material,details,rating,reviews
,false,,틸데서울,,카테고리,,피넛 롤업 버튼 밴딩 9부 팬츠 2color,https://tildeseoul.co.kr/product/detail.html?product_no=4096,https://tildeseoul.co.kr/web/product/medium/202606/2d32c11152b6c92872b343287e5df327.gif,"₩49,800",,,260622,,,,,
,false,,틸데서울,,카테고리,,카와 단가라 버튼 카프리 레깅스 3color,https://tildeseoul.co.kr/product/detail.html?product_no=4095,https://tildeseoul.co.kr/web/product/medium/202606/d67210d41e1f40affdd36443e733190a.gif,"₩31,300",,,260622,,,,,
,false,,틸데서울,,카테고리,,(퀄리티 안감*) 제니 체크 프릴 홀터 뷔스티에 탑 2color,https://tildeseoul.co.kr/product/detail.html?product_no=4094,https://tildeseoul.co.kr/web/product/medium/202606/4b9cd13fd4c085c0e47de7ab3440c6ff.gif,"₩46,900",,,260622,,,,,
,false,,틸데서울,,카테고리,,무아 와이드 셔링 밴딩 7부 팬츠 2color,https://tildeseoul.co.kr/product/detail.html?product_no=4093,https://tildeseoul.co.kr/web/product/medium/202606/017ab0d46b82194fd615c940a9877d25.gif,"₩48,800",,,260622,,,,,
,false,,틸데서울,,카테고리,,*추천* 램블 레이스 배색 셔링 반팔티 3color,https://tildeseoul.co.kr/product/detail.html?product_no=4092,https://tildeseoul.co.kr/web/product/medium/202606/542fb150efe1035da0c33bcea1f533e8.gif,"₩27,300",,,260622,,,,,
,false,,틸데서울,,카테고리,,요코 체크 배색 미디 스커트 2color,https://tildeseoul.co.kr/product/detail.html?product_no=4091,https://tildeseoul.co.kr/web/product/medium/202606/beb1494c2a5a67d962671becc309618b.gif,"₩46,800",,,260622,,,,,
,false,,틸데서울,,카테고리,,허니 프린팅 레이스 슬림 포인트 나시 3color,https://tildeseoul.co.kr/product/detail.html?product_no=4090,https://tildeseoul.co.kr/web/product/medium/202606/be645f71460c129adba57bb26f2bdf30.gif,"₩31,600",,,260622,,,,,
,false,,틸데서울,,카테고리,,*추천* 모건 백포켓 워싱 부츠컷 데님 2color,https://tildeseoul.co.kr/product/detail.html?product_no=4089,https://tildeseoul.co.kr/web/product/medium/202606/81e160b5797955121eab9faea4c14506.gif,"₩41,800",,,260622,,,,,
,false,,틸데서울,,카테고리,,퓨어 레이스 펀칭 미디 코튼 스커트,https://tildeseoul.co.kr/product/detail.html?product_no=4088,https://tildeseoul.co.kr/web/product/medium/202606/7f1c8848fa425b42b107fb53103c45dc.gif,"₩34,400",,,260622,,,,,
,false,,틸데서울,,카테고리,,"*국내생산,추천* 멜로 브이넥 슬림핏 반팔티 6color",https://tildeseoul.co.kr/product/detail.html?product_no=4087,https://tildeseoul.co.kr/web/product/medium/202606/15a4a682d86a93c1ab992d06e2ac3c29.gif,"₩28,500",,,260622,,,,,
