platform,is_ranking,rank,brand,main_category,category,gender,product_name,product_detail_url,thumbnail,regular_price,current_price,discount_rate,crawled_at,color,material,details,rating,reviews
,false,,UNIQLO,,브라탑,여성,립브라탑,https://www.uniqlo.com/kr/ko/products/E482194-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/482194/item/krgoods_38_482194_3x4.jpg,"₩29,900",,,260622,"DARK BROWN, WHITE, BLACK, BEIGE, LIGHT BLUE",,,"{'average': 4.7, 'count': 97}",
,false,,UNIQLO,,브라탑,여성,립브라탑(링거),https://www.uniqlo.com/kr/ko/products/E482198-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/482198/item/krgoods_03_482198_3x4.jpg,"₩29,900",,,260622,"GRAY, NAVY",,,"{'average': 4.8, 'count': 23}",
,false,,UNIQLO,,브라탑,여성,립브라탑(컬러블록),https://www.uniqlo.com/kr/ko/products/E482202-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/482202/item/krgoods_69_482202_3x4.jpg,"₩29,900",,,260622,NAVY,,,"{'average': 0, 'count': 0}",
,false,,UNIQLO,,브라탑,여성,립브라탑(컬러블록),https://www.uniqlo.com/kr/ko/products/E482204-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/482204/item/krgoods_00_482204_3x4.jpg,"₩29,900",,,260622,WHITE,,,"{'average': 0, 'count': 0}",
,false,,UNIQLO,,브라탑,여성,스퀘어넥브라캐미솔,https://www.uniqlo.com/kr/ko/products/E485558-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/485558/item/krgoods_14_485558_3x4.jpg,"₩29,900",,,260622,"RED, OFF WHITE, BLACK, BEIGE, BLUE",,,"{'average': 4.6, 'count': 48}",
,false,,UNIQLO,,브라탑,여성,레이서백브라탑,https://www.uniqlo.com/kr/ko/products/E482329-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/482329/item/krgoods_10_482329_3x4.jpg,"₩29,900",,,260622,"PINK, WHITE, LIGHT GRAY, BLACK, OLIVE",,,"{'average': 4.6, 'count': 40}",
,false,,UNIQLO,,브라탑,여성,레이서백브라탑(스트라이프),https://www.uniqlo.com/kr/ko/products/E484830-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/484830/item/krgoods_00_484830_3x4.jpg,"₩29,900",,,260622,"WHITE, BROWN",,,"{'average': 4.6, 'count': 28}",
,false,,UNIQLO,,브라탑,여성,V넥브라탑,https://www.uniqlo.com/kr/ko/products/E482330-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/482330/item/krgoods_62_482330_3x4.jpg,"₩19,900",,,260622,"BLUE, WHITE",,,"{'average': 4.6, 'count': 19}",
,false,,UNIQLO,,브라탑,여성,립크롭브라탑,https://www.uniqlo.com/kr/ko/products/E482197-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/482197/item/krgoods_31_482197_3x4.jpg,"₩29,900",,,260622,"BEIGE, WHITE, BLACK, WINE, LIGHT BLUE",,,"{'average': 4.7, 'count': 17}",
,false,,UNIQLO,,브라탑,여성,립크롭브라탑(링거),https://www.uniqlo.com/kr/ko/products/E482201-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/482201/item/krgoods_58_482201_3x4.jpg,"₩29,900",,,260622,"DARK GREEN, GRAY, NAVY",,,"{'average': 4.5, 'count': 2}",
,false,,UNIQLO,,브라탑,여성,AIRism브라캐미솔,https://www.uniqlo.com/kr/ko/products/E465707-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/465707/item/krgoods_34_465707_3x4.jpg,"₩29,900",,,260622,"BROWN, WHITE, BLACK, PINK, NATURAL",,,"{'average': 4.7, 'count': 586}",
,false,,UNIQLO,,브라탑,여성,AIRism코튼브라탱크탑,https://www.uniqlo.com/kr/ko/products/E482189-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/482189/item/krgoods_00_482189_3x4.jpg,"₩29,900",,,260622,"WHITE, GRAY, BLACK, LIGHT GREEN, NAVY",,,"{'average': 4.7, 'count': 102}",
