platform,is_ranking,rank,brand,main_category,category,gender,product_name,product_detail_url,thumbnail,regular_price,current_price,discount_rate,crawled_at,color,material,details,rating,reviews
,false,,UNIQLO,,반팔,여성,AIRism코튼T,https://www.uniqlo.com/kr/ko/products/E465755-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/465755/item/krgoods_00_465755_3x4.jpg,"₩14,900",,,260625,"WHITE, LIGHT GRAY, BLACK, RED, BEIGE, DARK BROWN, GREEN, NAVY","70% 면, 30% 폴리에스터",- 비침: 없음(00 WHITE・02 LIGHT GRAY・40 CREAM만 약간 비침 있음) | - 핏: 약간 여유있는 핏(릴랙스) | - 포켓(주머니): 없음,4.7,482
,false,,UNIQLO,,반팔,여성,AIRism코튼T(스트라이프),https://www.uniqlo.com/kr/ko/products/E480054-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/480054/item/krgoods_01_480054_3x4.jpg,"₩14,900",,,260625,"OFF WHITE, BLACK","70% 면, 30% 폴리에스터",- 비침: 없음(01 OFF WHITE만 약간 비침 있음) | - 핏: 약간 여유있는 핏(릴랙스) | - 포켓(주머니): 없음,4.7,125
,false,,UNIQLO,,반팔,여성,AIRism코튼T(스트라이프),https://www.uniqlo.com/kr/ko/products/E483537-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/483537/item/krgoods_59_483537_3x4.jpg,"₩14,900",,,260625,"DARK GREEN, DARK BROWN","70% 면, 30% 폴리에스터",,5,3
,false,,UNIQLO,,반팔,여성,크루넥T,https://www.uniqlo.com/kr/ko/products/E424873-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/424873/item/krgoods_10_424873_3x4.jpg,"₩19,900",,,260625,"PINK, WHITE, BLACK, RED, BROWN, CREAM, GREEN, BLUE, NAVY, LIGHT PURPLE",100% 면,,4.7,1244
,false,,UNIQLO,,반팔,여성,SUPIMA COTTON T,https://www.uniqlo.com/kr/ko/products/E483461-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/483461/item/krgoods_00_483461_3x4.jpg,"₩19,900",,,260625,"WHITE, GRAY, BLACK, PINK, KHAKI, NAVY, PURPLE",100% 면,- 비침: 없음(00 WHITE만 약간 비침 있음) | - 핏: 보통 핏(레귤러) | - 포켓(주머니): 없음,4.6,97
,false,,UNIQLO,,반팔,여성,슬러브저지V넥T,https://www.uniqlo.com/kr/ko/products/E483576-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/483576/item/krgoods_40_483576_3x4.jpg,"₩19,900",,,260625,"CREAM, WHITE, GRAY, BLACK, PINK, DARK GREEN, LIGHT BLUE, NAVY",100% 면,- 비침: 없음(00 WHITE만 약간 비침 있음) | - 핏: 보통 핏(레귤러) | - 포켓(주머니): 없음,4.8,28
,false,,UNIQLO,,반팔,여성,프릴T,https://www.uniqlo.com/kr/ko/products/E488087-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/488087/item/krgoods_00_488087_3x4.jpg,"₩29,900",,,260625,"WHITE, GRAY, BLACK",100% 면,- 비침: 없음(00 WHITE만 약간 비침 있음) | - 핏: 여유있는 핏(오버사이즈),4.1,22
,false,,UNIQLO,,반팔,여성,그래픽T B,https://www.uniqlo.com/kr/ko/products/E484421-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/484421/item/krgoods_00_484421_3x4.jpg,"₩29,900",,,260625,"WHITE, GRAY, PINK",100% 면,- 비침: 없음(00 WHITE・10 PINK만 약간 비침 있음) | - 핏: 보통 핏(레귤러),4.7,13
,false,,UNIQLO,,반팔,여성,셔링볼륨슬리브T,https://www.uniqlo.com/kr/ko/products/E484418-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/484418/item/krgoods_00_484418_3x4.jpg,"₩29,900",,,260625,WHITE,"몸판: 50% 폴리에스터, 27% 면, 22% 폴리에스터 ( 재생섬유 ), 1% 폴리우레탄/ 셔링실: 59% 폴리에스터, 41% 폴리우레탄",- 비침: 없음(00 WHITE만 약간 비침 있음) | - 핏: 슬림 핏,4.8,28
,false,,UNIQLO,,반팔,여성,셔링볼륨슬리브T,https://www.uniqlo.com/kr/ko/products/E484418-001/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/484418001/item/krgoods_01_484418001_3x4.jpg,"₩29,900",,,260625,OFF WHITE,"몸판: 50% 폴리에스터, 27% 면, 22% 폴리에스터 ( 재생섬유 ), 1% 폴리우레탄/ 셔링실: 59% 폴리에스터, 41% 폴리우레탄",,4.5,17
