platform,is_ranking,rank,brand,main_category,category,gender,product_name,product_detail_url,thumbnail,regular_price,current_price,discount_rate,crawled_at,color,material,details,rating,reviews
,false,,UNIQLO,,반팔,여성,크루넥T,https://www.uniqlo.com/kr/ko/products/E424873-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/424873/item/krgoods_10_424873_3x4.jpg,"₩14,900",,,260629,"PINK, WHITE, BLACK, RED, BROWN, CREAM, GREEN, BLUE, NAVY, LIGHT PURPLE",100% 면,,4.7,1246
,false,,UNIQLO,,반팔,여성,SUPIMA COTTON T,https://www.uniqlo.com/kr/ko/products/E483461-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/483461/item/krgoods_00_483461_3x4.jpg,"₩19,900",,,260629,"WHITE, GRAY, BLACK, PINK, KHAKI, NAVY, PURPLE",100% 면,- 비침: 없음(00 WHITE만 약간 비침 있음) | - 핏: 보통 핏(레귤러) | - 포켓(주머니): 없음,4.6,99
,false,,UNIQLO,,반팔,여성,슬러브저지V넥T,https://www.uniqlo.com/kr/ko/products/E483576-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/483576/item/krgoods_40_483576_3x4.jpg,"₩19,900",,,260629,"CREAM, WHITE, GRAY, BLACK, PINK, DARK GREEN, LIGHT BLUE, NAVY",100% 면,- 비침: 없음(00 WHITE만 약간 비침 있음) | - 핏: 보통 핏(레귤러) | - 포켓(주머니): 없음,4.8,30
,false,,UNIQLO,,티셔츠,여성,리넨크루넥T(반팔),https://www.uniqlo.com/kr/ko/products/E465761-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/465761/item/krgoods_16_465761_3x4.jpg,"₩29,900",,,260629,RED,100% 마,- 비침: 있음 | - 핏: 약간 여유있는 핏(릴랙스) | - 포켓(주머니): 없음,4.4,42
,false,,UNIQLO,,반팔,여성,미니T,https://www.uniqlo.com/kr/ko/products/E465760-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/465760/item/krgoods_18_465760_3x4.jpg,"₩14,900",,,260629,"WINE, WHITE, GRAY, BLACK, BROWN, BROWN, YELLOW, NAVY","96% 면, 4% 폴리우레탄",- 비침 : 없음(00 WHITE만 약간 비침 있음) | - 핏 : 슬림 핏 | - 포켓(주머니) : 없음,4.7,556
,false,,UNIQLO,,반팔,여성,포인텔라운드넥미니T,https://www.uniqlo.com/kr/ko/products/E485025-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/485025/item/krgoods_00_485025_3x4.jpg,"₩12,900",,,260629,"WHITE, BLACK, WINE, CREAM","98% 면, 2% 폴리우레탄",- 비침: 없음(00 WHITE만 약간 비침 있음) | - 핏: 슬림 핏 | - 포켓(주머니): 없음,4.7,34
,false,,UNIQLO,,반팔,여성,립미니T,https://www.uniqlo.com/kr/ko/products/E484457-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/484457/item/krgoods_09_484457_3x4.jpg,"₩14,900",,,260629,"BLACK, OFF WHITE, LIGHT GREEN","96% 면, 4% 폴리우레탄",- 비침: 없음 | - 핏: 슬림 핏 | - 포켓(주머니): 없음,4.7,35
,false,,UNIQLO,,반팔,여성,미니T(스트라이프)A,https://www.uniqlo.com/kr/ko/products/E483535-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/483535/item/krgoods_01_483535_3x4.jpg,"₩14,900",,,260629,OFF WHITE,"96% 면, 4% 폴리우레탄",- 비침: 없음(01 OFF WHITE만 약간 비침 있음) | - 핏: 슬림 핏 | - 포켓(주머니): 없음,4.8,40
,false,,UNIQLO,,반팔,여성,미니T(스트라이프)B,https://www.uniqlo.com/kr/ko/products/E487277-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/487277/item/krgoods_55_487277_3x4.jpg,"₩14,900",,,260629,"GREEN, RED","96% 면, 4% 폴리우레탄",- 비침: 없음(14 RED만 약간 비침 있음) | - 핏: 슬림 핏 | - 포켓(주머니): 없음,4.7,23
,false,,UNIQLO,,반팔,여성,보트넥T,https://www.uniqlo.com/kr/ko/products/E487819-000/00,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/487819/item/krgoods_30_487819_3x4.jpg,"₩29,900",,,260629,"NATURAL, BLACK, YELLOW, BLUE","몸판: 100% 면/ 옷깃 부분: 88% 폴리에스터, 10% 나일론, 2% 폴리우레탄",,5,1
