platform,is_ranking,rank,brand,brand_likes,main_category,category,gender,product_detail_url,product_name,color,color_chip,thumbnail,likes,views,details,material,current_price,regular_price,discount_rate,rating,reviews,sales,manufacture_date,crawled_at,reorder
display.wconcept.co.kr,false,,망고매니플리즈,,,,여성,https://www.wconcept.co.kr/Product/305914779,[단독][NEW컬러 추가]NEFF LINEN KNIT (5colors),,,https://product-image.wconcept.co.kr/productimg/image/img9/79/305914779_DW51619.jpg,40295,,,,"₩74,137","₩98,000",24,4.9185,2443,,,260623,
display.wconcept.co.kr,false,,레테라,,,,여성,https://www.wconcept.co.kr/Product/306085072,[W컨셉 단독][14color(컬러추가)] Basic Round Linen Cardigan,,,https://product-image.wconcept.co.kr/productimg/image/img9/72/306085072_VY10529.jpg,79619,,,,"₩54,648","₩69,000",21,4.8891,6213,,,260623,
display.wconcept.co.kr,false,,안젤로 비안코,,,,여성,https://www.wconcept.co.kr/Product/306908505,[오늘 출발][단독] Natti Half Sleeve Top,,,https://product-image.wconcept.co.kr/productimg/image/img9/05/306908505_SJ42715.jpg,31882,,,,"₩34,760","₩79,000",56,4.9376,2019,,,260623,
display.wconcept.co.kr,false,,프렌치시크,,,,여성,https://www.wconcept.co.kr/Product/308355180,노벨리 팬던트 카라 니트 가디건_F6S254CA,,,https://product-image.wconcept.co.kr/productimg/image/img9/80/308355180_GG32809.jpg,7773,,,,"₩29,770","₩39,800",25,4.8893,244,,,260623,
display.wconcept.co.kr,false,,망고매니플리즈,,,,여성,https://www.wconcept.co.kr/Product/306801591,[NEW컬러추가]NEFF LINEN CROP KNIT_5COLORS,,,https://product-image.wconcept.co.kr/productimg/image/img9/91/306801591_ME93765.jpg,20621,,,,"₩71,867","₩95,000",24,4.9438,1619,,,260623,
display.wconcept.co.kr,false,,프론트로우,,,,여성,https://www.wconcept.co.kr/Product/308343794,Palette Sheer Linen Cardigan Set_7color,,,https://product-image.wconcept.co.kr/productimg/image/img9/94/308343794_BY71820.jpg,8027,,,,"₩72,267","₩109,000",34,4.9027,226,,,260623,
display.wconcept.co.kr,false,,씨타,,,,여성,https://www.wconcept.co.kr/Product/306871985,[예빈 Pick]Essential Linen Round Knit Cardigan_CTK231(16color),,,https://product-image.wconcept.co.kr/productimg/image/img9/85/306871985_XF14482.jpg,22409,,,,"₩44,132","₩69,000",36,4.9405,2153,,,260623,
display.wconcept.co.kr,false,,브아빗포우먼,,,,여성,https://www.wconcept.co.kr/Product/306931367,[NEW컬러추가]펀칭 스트라이프 하프 슬리브 니트 4컬러 VW514,,,https://product-image.wconcept.co.kr/productimg/image/img9/67/306931367_HN83601.jpg,18365,,,,"₩46,049","₩79,000",42,4.9117,725,,,260623,
display.wconcept.co.kr,false,,오디에르,,,,여성,https://www.wconcept.co.kr/Product/306933198,linen skashi cardigan-3colors,,,https://product-image.wconcept.co.kr/productimg/image/img9/98/306933198_UN57217.jpg,4300,,,,"₩35,306","₩59,000",40,4.9174,230,,,260623,
display.wconcept.co.kr,false,,라운드트리코,,,,여성,https://www.wconcept.co.kr/Product/308543658,[연우pick]4G Volume Wholegarment Half Knit _ 3Color,,,https://product-image.wconcept.co.kr/productimg/image/img9/58/308543658_XO51036.jpg,2503,,,,"₩47,570","₩71,000",33,4.8971,68,,,260623,
display.wconcept.co.kr,false,,프렌치시크,,,,여성,https://www.wconcept.co.kr/Product/308529093,테너리프 반팔 니트_F6H298KN,,,https://product-image.wconcept.co.kr/productimg/image/img9/93/308529093_HV66335.jpg,1466,,,,"₩28,424","₩38,000",25,4.9811,53,,,260623,
display.wconcept.co.kr,false,,루에브르,,,,여성,https://www.wconcept.co.kr/Product/308506768,Sheer Jersey Drape Cardigan SW6ME789_2color,,,https://product-image.wconcept.co.kr/productimg/image/img9/68/308506768_GO20281.jpg,1223,,,,"₩78,320","₩89,000",12,4.84,25,,,260623,
display.wconcept.co.kr,false,,레테라,,,,여성,https://www.wconcept.co.kr/Product/308519883,[단독] Ribbed Slim Cardigan_3color,,,https://product-image.wconcept.co.kr/productimg/image/img9/83/308519883_KE26567.jpg,2126,,,,"₩63,580","₩85,000",25,5.0,24,,,260623,
display.wconcept.co.kr,false,,슬로우롤리,,,,여성,https://www.wconcept.co.kr/Product/308583108,[3차][서윤 PICK] Mellow linen cardigan_5 Colors,,,https://product-image.wconcept.co.kr/productimg/image/img9/08/308583108_XM21376.jpg,1865,,,,"₩50,049","₩83,000",40,4.9907,216,,,260623,
display.wconcept.co.kr,false,,시티브리즈,,,,여성,https://www.wconcept.co.kr/Product/308481213,루즈핏 린넨 브이넥 풀오버 니트_4COLORS,,,https://product-image.wconcept.co.kr/productimg/image/img9/13/308481213_MQ55276.jpg,4290,,,,"₩63,586","₩99,900",36,4.8909,55,,,260623,
display.wconcept.co.kr,false,,룩캐스트,,,,여성,https://www.wconcept.co.kr/Product/305814273,[5차 리오더]클로에 스퀘어 넥 슬리브리스 니트 / CHLOE SQUARE NECK SLEEVELESS KNIT_3colors,,,https://product-image.wconcept.co.kr/productimg/image/img9/73/305814273_GM15587.jpg,6591,,,,"₩28,810","₩43,000",33,4.9455,550,,,260623,
display.wconcept.co.kr,false,,시티브리즈,,,,여성,https://www.wconcept.co.kr/Product/308481216,린넨 라운드넥 니트 가디건_4COLORS,,,https://product-image.wconcept.co.kr/productimg/image/img9/16/308481216_NJ54597.jpg,2093,,,,"₩69,951","₩109,900",36,4.7917,48,,,260623,
display.wconcept.co.kr,false,,아티드,,,,여성,https://www.wconcept.co.kr/Product/308444210,썸머 코튼 슬림 가디건_4COLORS,,,https://product-image.wconcept.co.kr/productimg/image/img9/10/308444210_EB44287.jpg,3620,,,,"₩87,033","₩129,900",33,4.8868,53,,,260623,
display.wconcept.co.kr,false,,라운드트리코,,,,여성,https://www.wconcept.co.kr/Product/308526626,[진주언니pick] FROST LINEN V-neck Cardigan _ 6Color,,,https://product-image.wconcept.co.kr/productimg/image/img9/26/308526626_TU99300.jpg,1817,,,,"₩38,190","₩57,000",33,4.9733,75,,,260623,
display.wconcept.co.kr,false,,뮈르뮈르,,,,여성,https://www.wconcept.co.kr/Product/306947137,"[채원,유하PICK][35차]유센 글로시 시어 니트 가디건_Yusen Cardigan_2colors",,,https://product-image.wconcept.co.kr/productimg/image/img9/37/306947137_JR81788.jpg,8406,,,,"₩82,080","₩114,000",28,4.8507,268,,,260623,
display.wconcept.co.kr,false,,아티드,,,,여성,https://www.wconcept.co.kr/Product/308616522,린넨 루즈핏 시어 니트_6COLORS,,,https://product-image.wconcept.co.kr/productimg/image/img9/22/308616522_VB84956.jpg,785,,,,"₩60,233","₩89,900",33,4.9615,26,,,260623,
display.wconcept.co.kr,false,,룩캐스트,,,,여성,https://www.wconcept.co.kr/Product/308442087,[단독][3차 리오더]루아 숄 니트 셋업  / LUA SHAWL KNIT SET UP_3colors,,,https://product-image.wconcept.co.kr/productimg/image/img9/87/308442087_SK52088.jpg,2818,,,,"₩54,226","₩78,000",30,4.9706,34,,,260623,
display.wconcept.co.kr,false,,망고매니플리즈,,,,여성,https://www.wconcept.co.kr/Product/308611725,[단독]NEFF GLITTER CROP KNIT_CHAMPAGNE,,,https://product-image.wconcept.co.kr/productimg/image/img9/25/308611725_YJ22386.jpg,641,,,,"₩99,875","₩125,000",20,4.9615,26,,,260623,
display.wconcept.co.kr,false,,잇미샤,,,,여성,https://www.wconcept.co.kr/Product/308447235,잇미샤 레이어드 카라 셔츠 니트탑 ITQ5ZPO850 (BLACK),,,https://product-image.wconcept.co.kr/productimg/image/img9/35/308447235_GI18992.jpg,1490,,,,"₩139,920","₩159,000",12,5.0,26,,,260623,
display.wconcept.co.kr,false,,메무아,,,,여성,https://www.wconcept.co.kr/Product/308549418,묜 브이넥 캡소매니트(브라운),,,https://product-image.wconcept.co.kr/productimg/image/img9/18/308549418_OG21129.jpg,1680,,,,"₩23,919","₩42,000",43,4.8706,286,,,260623,
display.wconcept.co.kr,false,,언에디트,,,,여성,https://www.wconcept.co.kr/Product/308562897,E Linen Feminine Drape Knit_2colors,,,https://product-image.wconcept.co.kr/productimg/image/img9/97/308562897_WH61322.jpg,1596,,,,"₩60,192","₩72,000",16,4.9167,24,,,260623,
display.wconcept.co.kr,false,,르와,,,,여성,https://www.wconcept.co.kr/Product/306815167,래글런 코튼 니트 3컬러 L193,,,https://product-image.wconcept.co.kr/productimg/image/img9/67/306815167_YW43912.jpg,23143,,,,"₩53,071","₩89,000",40,4.9301,286,,,260623,
display.wconcept.co.kr,false,,레더리,,,,여성,https://www.wconcept.co.kr/Product/306545445,[NEW 컬러추가] 어블룸 린넨 니트 가디건 [9COLOR],,,https://product-image.wconcept.co.kr/productimg/image/img9/45/306545445_YU23910.jpg,21677,,,,"₩46,728","₩59,000",21,4.9167,1068,,,260623,
display.wconcept.co.kr,false,,안젤로 비안코,,,,여성,https://www.wconcept.co.kr/Product/308303667,Nora Draped Knit Top (3col),,,https://product-image.wconcept.co.kr/productimg/image/img9/67/308303667_QV44944.jpg,2585,,,,"₩42,900","₩65,000",34,4.9714,70,,,260623,
display.wconcept.co.kr,false,,드로우핏 우먼,,,,여성,https://www.wconcept.co.kr/Product/306836056,썸머 컬러 라인 린넨 가디건 [4COLORS],,,https://product-image.wconcept.co.kr/productimg/image/img9/56/306836056_PC81310.jpg,7136,,,,"₩52,272","₩66,000",21,4.8691,298,,,260623,
display.wconcept.co.kr,false,,레이지지,,,,여성,https://www.wconcept.co.kr/Product/308376821,Summer Breeze Cardigan (4color),,,https://product-image.wconcept.co.kr/productimg/image/img9/21/308376821_SX13473.jpg,6113,,,,"₩55,811","₩119,000",53,4.9155,71,,,260623,
display.wconcept.co.kr,false,,프론트로우,,,,여성,https://www.wconcept.co.kr/Product/308369605,Pleats Knit Top_4color,,,https://product-image.wconcept.co.kr/productimg/image/img9/05/308369605_NW89262.jpg,3214,,,,"₩62,075","₩109,000",43,4.9487,39,,,260623,
display.wconcept.co.kr,false,,프론트로우,,,,여성,https://www.wconcept.co.kr/Product/306690200,V-neck Cardigan & Sleeveless Top Set_9color,,,https://product-image.wconcept.co.kr/productimg/image/img9/00/306690200_XO93848.jpg,16355,,,,"₩64,822","₩129,000",50,4.9118,601,,,260623,
display.wconcept.co.kr,false,,레테라,,,,여성,https://www.wconcept.co.kr/Product/308519460,Linen Halter Neck Knit_3color,,,https://product-image.wconcept.co.kr/productimg/image/img9/60/308519460_HJ19484.jpg,1278,,,,"₩60,192","₩72,000",16,5.0,16,,,260623,
display.wconcept.co.kr,false,,우이,,,,여성,https://www.wconcept.co.kr/Product/308571157,에센셜 썸머 하프 니트 베이지 OU1976,,,https://product-image.wconcept.co.kr/productimg/image/img9/57/308571157_OD97825.jpg,1060,,,,"₩35,034","₩63,000",44,5.0,13,,,260623,
display.wconcept.co.kr,false,,브아빗포우먼,,,,여성,https://www.wconcept.co.kr/Product/306726652,[NEW컬러추가] [세트] 에센셜 숄+하프 니트 4컬러 VW432,,,https://product-image.wconcept.co.kr/productimg/image/img9/52/306726652_SY68660.jpg,10559,,,,"₩40,522","₩72,000",44,4.8728,456,,,260623,
display.wconcept.co.kr,false,,로브로브,,,,여성,https://www.wconcept.co.kr/Product/307352298,써머베일 가디건_(3color),,,https://product-image.wconcept.co.kr/productimg/image/img9/98/307352298_AV84063.jpg,849,,,,"₩49,770","₩79,000",37,4.9385,65,,,260623,
display.wconcept.co.kr,false,,망고매니플리즈,,,,여성,https://www.wconcept.co.kr/Product/308573609,NEFF KNIT SLEEVELESS_3COLORS,,,https://product-image.wconcept.co.kr/productimg/image/img9/09/308573609_GQ12158.jpg,1095,,,,"₩76,712","₩95,000",19,4.9048,42,,,260623,
display.wconcept.co.kr,false,,라운드트리코,,,,여성,https://www.wconcept.co.kr/Product/308522461,[진주언니pick] SHEER LINEN R-neck Cardigan _ 7Color,,,https://product-image.wconcept.co.kr/productimg/image/img9/61/308522461_RP92006.jpg,2388,,,,"₩38,190","₩57,000",33,4.8039,51,,,260623,
display.wconcept.co.kr,false,,에브모우,,,,여성,https://www.wconcept.co.kr/Product/308639785,WAVE SHEER TEXTURE CARDIGAN (4COLOR),,,https://product-image.wconcept.co.kr/productimg/image/img9/85/308639785_XA37593.jpg,1046,,,,"₩89,746","₩141,000",36,4.875,8,,,260623,
display.wconcept.co.kr,false,,르누이,,,,여성,https://www.wconcept.co.kr/Product/308499470,[단독]Claude Cotton Knit Top (Charcoal),,,https://product-image.wconcept.co.kr/productimg/image/img9/70/308499470_FE40983.jpg,170,,,,"₩69,420","₩89,000",22,,,,,260623,
display.wconcept.co.kr,false,,프렌치시크,,,,여성,https://www.wconcept.co.kr/Product/308521686,리즈모어 카라니트_F6H441KN,,,https://product-image.wconcept.co.kr/productimg/image/img9/86/308521686_NG16662.jpg,1133,,,,"₩33,660","₩45,000",25,5.0,7,,,260623,
display.wconcept.co.kr,false,,이바나헬싱키,,,,여성,https://www.wconcept.co.kr/Product/308607886,Silky breeze cardigan (5colors),,,https://product-image.wconcept.co.kr/productimg/image/img9/86/308607886_SU76966.jpg,952,,,,"₩62,568","₩79,000",21,5.0,18,,,260623,
display.wconcept.co.kr,false,,쎄씨,,,,여성,https://www.wconcept.co.kr/Product/308472686,브이넥 버튼 니트 5컬러 C083,,,https://product-image.wconcept.co.kr/productimg/image/img9/86/308472686_VG11774.jpg,3617,,,,"₩37,158","₩59,000",37,4.7973,74,,,260623,
display.wconcept.co.kr,false,,우이,,,,여성,https://www.wconcept.co.kr/Product/308571145,썸머 울 캡 슬리브 하프 가디건 그레이 OU1972,,,https://product-image.wconcept.co.kr/productimg/image/img9/45/308571145_JI96471.jpg,1433,,,,"₩49,493","₩89,000",44,5.0,13,,,260623,
display.wconcept.co.kr,false,,우이,,,,여성,https://www.wconcept.co.kr/Product/308557839,시어 썸머 가디건 린넨 OU1966,,,https://product-image.wconcept.co.kr/productimg/image/img9/39/308557839_JQ81697.jpg,1446,,,,"₩32,810","₩59,000",44,4.8519,27,,,260623,
display.wconcept.co.kr,false,,드팜므,,,,여성,https://www.wconcept.co.kr/Product/308441252,[단독] SILK SHEER COLLAR KNIT IVORY,,,https://product-image.wconcept.co.kr/productimg/image/img9/52/308441252_YP29256.jpg,3798,,,,"₩107,406","₩153,000",30,4.8537,41,,,260623,
display.wconcept.co.kr,false,,에브모우,,,,여성,https://www.wconcept.co.kr/Product/306817247,[오늘출발]SLIM SUMMER BOUCLE POLO KNIT TEE (5COLOR),,,https://product-image.wconcept.co.kr/productimg/image/img9/47/306817247_GV30909.jpg,7558,,,,"₩65,534","₩133,000",51,4.855,131,,,260623,
display.wconcept.co.kr,false,,마인드브릿지 우먼,,,,여성,https://www.wconcept.co.kr/Product/308282087,"[알로하 PICK]베이직 골지 린넨 썸머 가디건_4colors / 라이트 그레이,올리브,화이트,레드",,,https://product-image.wconcept.co.kr/productimg/image/img9/87/308282087_HC60641.jpg,1537,,,,"₩54,522","₩69,900",22,4.9714,35,,,260623,
display.wconcept.co.kr,false,,마스 언 에브릴,,,,여성,https://www.wconcept.co.kr/Product/308596351,SHEER LINEN SCALLOP CARDIGAN_LILAC,,,https://product-image.wconcept.co.kr/productimg/image/img9/51/308596351_YX82748.jpg,1359,,,,"₩59,630","₩89,000",33,4.875,16,,,260623,
display.wconcept.co.kr,false,,오디에르,,,,여성,https://www.wconcept.co.kr/Product/308524815,viscose lace cardigan-8colors,,,https://product-image.wconcept.co.kr/productimg/image/img9/15/308524815_UR45744.jpg,822,,,,"₩35,644","₩56,000",36,4.963,27,,,260623,
display.wconcept.co.kr,false,,그레이스유,,,,여성,https://www.wconcept.co.kr/Product/305735254,Joy Cardigan (9 Color),,,https://product-image.wconcept.co.kr/productimg/image/img9/54/305735254_CD47214.jpg,15711,,,,"₩54,560","₩62,000",12,4.9346,1025,,,260623,
display.wconcept.co.kr,false,,주르티,,,,여성,https://www.wconcept.co.kr/Product/306674727,써머 린넨 니트 가디건 레드 j1718,,,https://product-image.wconcept.co.kr/productimg/image/img9/27/306674727_NM48895.jpg,5084,,,,"₩40,522","₩72,000",44,4.8548,186,,,260623,
display.wconcept.co.kr,false,,레테라,,,,여성,https://www.wconcept.co.kr/Product/308519579,2-Button Knit Cardigan_3color,,,https://product-image.wconcept.co.kr/productimg/image/img9/79/308519579_BA38015.jpg,1714,,,,"₩66,044","₩79,000",16,5.0,13,,,260623,
display.wconcept.co.kr,false,,우이,,,,여성,https://www.wconcept.co.kr/Product/308542832,시어 썸머 가디건 그레이 OU1965,,,https://product-image.wconcept.co.kr/productimg/image/img9/32/308542832_SE52641.jpg,912,,,,"₩32,810","₩59,000",44,4.8333,24,,,260623,
