platform,is_ranking,rank,brand,main_category,category,gender,product_name,product_detail_url,thumbnail,regular_price,current_price,discount_rate,crawled_at,color,material,details,rating,reviews
W컨셉,false,,망고매니플리즈,,,여성,[단독][NEW컬러 추가]NEFF LINEN KNIT (5colors),https://www.wconcept.co.kr/Product/305914779,https://product-image.wconcept.co.kr/productimg/image/img9/79/305914779_DW51619.jpg,"₩98,000","₩74,137",24,260623,,,,4.9185,2443
W컨셉,false,,레테라,,,여성,[W컨셉 단독][14color(컬러추가)] Basic Round Linen Cardigan,https://www.wconcept.co.kr/Product/306085072,https://product-image.wconcept.co.kr/productimg/image/img9/72/306085072_VY10529.jpg,"₩69,000","₩54,648",21,260623,,,,4.8891,6213
W컨셉,false,,안젤로 비안코,,,여성,[오늘 출발][단독] Natti Half Sleeve Top,https://www.wconcept.co.kr/Product/306908505,https://product-image.wconcept.co.kr/productimg/image/img9/05/306908505_SJ42715.jpg,"₩79,000","₩34,760",56,260623,,,,4.9376,2019
W컨셉,false,,프렌치시크,,,여성,노벨리 팬던트 카라 니트 가디건_F6S254CA,https://www.wconcept.co.kr/Product/308355180,https://product-image.wconcept.co.kr/productimg/image/img9/80/308355180_GG32809.jpg,"₩39,800","₩29,770",25,260623,,,,4.8893,244
W컨셉,false,,망고매니플리즈,,,여성,[NEW컬러추가]NEFF LINEN CROP KNIT_5COLORS,https://www.wconcept.co.kr/Product/306801591,https://product-image.wconcept.co.kr/productimg/image/img9/91/306801591_ME93765.jpg,"₩95,000","₩71,867",24,260623,,,,4.9438,1619
W컨셉,false,,프론트로우,,,여성,Palette Sheer Linen Cardigan Set_7color,https://www.wconcept.co.kr/Product/308343794,https://product-image.wconcept.co.kr/productimg/image/img9/94/308343794_BY71820.jpg,"₩109,000","₩72,267",34,260623,,,,4.9027,226
W컨셉,false,,씨타,,,여성,[예빈 Pick]Essential Linen Round Knit Cardigan_CTK231(16color),https://www.wconcept.co.kr/Product/306871985,https://product-image.wconcept.co.kr/productimg/image/img9/85/306871985_XF14482.jpg,"₩69,000","₩44,132",36,260623,,,,4.9405,2153
W컨셉,false,,브아빗포우먼,,,여성,[NEW컬러추가]펀칭 스트라이프 하프 슬리브 니트 4컬러 VW514,https://www.wconcept.co.kr/Product/306931367,https://product-image.wconcept.co.kr/productimg/image/img9/67/306931367_HN83601.jpg,"₩79,000","₩46,049",42,260623,,,,4.9117,725
W컨셉,false,,오디에르,,,여성,linen skashi cardigan-3colors,https://www.wconcept.co.kr/Product/306933198,https://product-image.wconcept.co.kr/productimg/image/img9/98/306933198_UN57217.jpg,"₩59,000","₩35,306",40,260623,,,,4.9174,230
W컨셉,false,,라운드트리코,,,여성,[연우pick]4G Volume Wholegarment Half Knit _ 3Color,https://www.wconcept.co.kr/Product/308543658,https://product-image.wconcept.co.kr/productimg/image/img9/58/308543658_XO51036.jpg,"₩71,000","₩47,570",33,260623,,,,4.8971,68
W컨셉,false,,프렌치시크,,,여성,테너리프 반팔 니트_F6H298KN,https://www.wconcept.co.kr/Product/308529093,https://product-image.wconcept.co.kr/productimg/image/img9/93/308529093_HV66335.jpg,"₩38,000","₩28,424",25,260623,,,,4.9811,53
W컨셉,false,,루에브르,,,여성,Sheer Jersey Drape Cardigan SW6ME789_2color,https://www.wconcept.co.kr/Product/308506768,https://product-image.wconcept.co.kr/productimg/image/img9/68/308506768_GO20281.jpg,"₩89,000","₩78,320",12,260623,,,,4.84,25
W컨셉,false,,레테라,,,여성,[단독] Ribbed Slim Cardigan_3color,https://www.wconcept.co.kr/Product/308519883,https://product-image.wconcept.co.kr/productimg/image/img9/83/308519883_KE26567.jpg,"₩85,000","₩63,580",25,260623,,,,5.0,24
W컨셉,false,,슬로우롤리,,,여성,[3차][서윤 PICK] Mellow linen cardigan_5 Colors,https://www.wconcept.co.kr/Product/308583108,https://product-image.wconcept.co.kr/productimg/image/img9/08/308583108_XM21376.jpg,"₩83,000","₩50,049",40,260623,,,,4.9907,216
W컨셉,false,,시티브리즈,,,여성,루즈핏 린넨 브이넥 풀오버 니트_4COLORS,https://www.wconcept.co.kr/Product/308481213,https://product-image.wconcept.co.kr/productimg/image/img9/13/308481213_MQ55276.jpg,"₩99,900","₩63,586",36,260623,,,,4.8909,55
W컨셉,false,,룩캐스트,,,여성,[5차 리오더]클로에 스퀘어 넥 슬리브리스 니트 / CHLOE SQUARE NECK SLEEVELESS KNIT_3colors,https://www.wconcept.co.kr/Product/305814273,https://product-image.wconcept.co.kr/productimg/image/img9/73/305814273_GM15587.jpg,"₩43,000","₩28,810",33,260623,,,,4.9455,550
W컨셉,false,,시티브리즈,,,여성,린넨 라운드넥 니트 가디건_4COLORS,https://www.wconcept.co.kr/Product/308481216,https://product-image.wconcept.co.kr/productimg/image/img9/16/308481216_NJ54597.jpg,"₩109,900","₩69,951",36,260623,,,,4.7917,48
W컨셉,false,,아티드,,,여성,썸머 코튼 슬림 가디건_4COLORS,https://www.wconcept.co.kr/Product/308444210,https://product-image.wconcept.co.kr/productimg/image/img9/10/308444210_EB44287.jpg,"₩129,900","₩87,033",33,260623,,,,4.8868,53
W컨셉,false,,라운드트리코,,,여성,[진주언니pick] FROST LINEN V-neck Cardigan _ 6Color,https://www.wconcept.co.kr/Product/308526626,https://product-image.wconcept.co.kr/productimg/image/img9/26/308526626_TU99300.jpg,"₩57,000","₩38,190",33,260623,,,,4.9733,75
W컨셉,false,,뮈르뮈르,,,여성,"[채원,유하PICK][35차]유센 글로시 시어 니트 가디건_Yusen Cardigan_2colors",https://www.wconcept.co.kr/Product/306947137,https://product-image.wconcept.co.kr/productimg/image/img9/37/306947137_JR81788.jpg,"₩114,000","₩82,080",28,260623,,,,4.8507,268
W컨셉,false,,아티드,,,여성,린넨 루즈핏 시어 니트_6COLORS,https://www.wconcept.co.kr/Product/308616522,https://product-image.wconcept.co.kr/productimg/image/img9/22/308616522_VB84956.jpg,"₩89,900","₩60,233",33,260623,,,,4.9615,26
W컨셉,false,,룩캐스트,,,여성,[단독][3차 리오더]루아 숄 니트 셋업  / LUA SHAWL KNIT SET UP_3colors,https://www.wconcept.co.kr/Product/308442087,https://product-image.wconcept.co.kr/productimg/image/img9/87/308442087_SK52088.jpg,"₩78,000","₩54,226",30,260623,,,,4.9706,34
W컨셉,false,,망고매니플리즈,,,여성,[단독]NEFF GLITTER CROP KNIT_CHAMPAGNE,https://www.wconcept.co.kr/Product/308611725,https://product-image.wconcept.co.kr/productimg/image/img9/25/308611725_YJ22386.jpg,"₩125,000","₩99,875",20,260623,,,,4.9615,26
W컨셉,false,,잇미샤,,,여성,잇미샤 레이어드 카라 셔츠 니트탑 ITQ5ZPO850 (BLACK),https://www.wconcept.co.kr/Product/308447235,https://product-image.wconcept.co.kr/productimg/image/img9/35/308447235_GI18992.jpg,"₩159,000","₩139,920",12,260623,,,,5.0,26
W컨셉,false,,메무아,,,여성,묜 브이넥 캡소매니트(브라운),https://www.wconcept.co.kr/Product/308549418,https://product-image.wconcept.co.kr/productimg/image/img9/18/308549418_OG21129.jpg,"₩42,000","₩23,919",43,260623,,,,4.8706,286
W컨셉,false,,언에디트,,,여성,E Linen Feminine Drape Knit_2colors,https://www.wconcept.co.kr/Product/308562897,https://product-image.wconcept.co.kr/productimg/image/img9/97/308562897_WH61322.jpg,"₩72,000","₩60,192",16,260623,,,,4.9167,24
W컨셉,false,,르와,,,여성,래글런 코튼 니트 3컬러 L193,https://www.wconcept.co.kr/Product/306815167,https://product-image.wconcept.co.kr/productimg/image/img9/67/306815167_YW43912.jpg,"₩89,000","₩53,071",40,260623,,,,4.9301,286
W컨셉,false,,레더리,,,여성,[NEW 컬러추가] 어블룸 린넨 니트 가디건 [9COLOR],https://www.wconcept.co.kr/Product/306545445,https://product-image.wconcept.co.kr/productimg/image/img9/45/306545445_YU23910.jpg,"₩59,000","₩46,728",21,260623,,,,4.9167,1068
W컨셉,false,,안젤로 비안코,,,여성,Nora Draped Knit Top (3col),https://www.wconcept.co.kr/Product/308303667,https://product-image.wconcept.co.kr/productimg/image/img9/67/308303667_QV44944.jpg,"₩65,000","₩42,900",34,260623,,,,4.9714,70
W컨셉,false,,드로우핏 우먼,,,여성,썸머 컬러 라인 린넨 가디건 [4COLORS],https://www.wconcept.co.kr/Product/306836056,https://product-image.wconcept.co.kr/productimg/image/img9/56/306836056_PC81310.jpg,"₩66,000","₩52,272",21,260623,,,,4.8691,298
W컨셉,false,,레이지지,,,여성,Summer Breeze Cardigan (4color),https://www.wconcept.co.kr/Product/308376821,https://product-image.wconcept.co.kr/productimg/image/img9/21/308376821_SX13473.jpg,"₩119,000","₩55,811",53,260623,,,,4.9155,71
W컨셉,false,,프론트로우,,,여성,Pleats Knit Top_4color,https://www.wconcept.co.kr/Product/308369605,https://product-image.wconcept.co.kr/productimg/image/img9/05/308369605_NW89262.jpg,"₩109,000","₩62,075",43,260623,,,,4.9487,39
W컨셉,false,,프론트로우,,,여성,V-neck Cardigan & Sleeveless Top Set_9color,https://www.wconcept.co.kr/Product/306690200,https://product-image.wconcept.co.kr/productimg/image/img9/00/306690200_XO93848.jpg,"₩129,000","₩64,822",50,260623,,,,4.9118,601
W컨셉,false,,레테라,,,여성,Linen Halter Neck Knit_3color,https://www.wconcept.co.kr/Product/308519460,https://product-image.wconcept.co.kr/productimg/image/img9/60/308519460_HJ19484.jpg,"₩72,000","₩60,192",16,260623,,,,5.0,16
W컨셉,false,,우이,,,여성,에센셜 썸머 하프 니트 베이지 OU1976,https://www.wconcept.co.kr/Product/308571157,https://product-image.wconcept.co.kr/productimg/image/img9/57/308571157_OD97825.jpg,"₩63,000","₩35,034",44,260623,,,,5.0,13
W컨셉,false,,브아빗포우먼,,,여성,[NEW컬러추가] [세트] 에센셜 숄+하프 니트 4컬러 VW432,https://www.wconcept.co.kr/Product/306726652,https://product-image.wconcept.co.kr/productimg/image/img9/52/306726652_SY68660.jpg,"₩72,000","₩40,522",44,260623,,,,4.8728,456
W컨셉,false,,로브로브,,,여성,써머베일 가디건_(3color),https://www.wconcept.co.kr/Product/307352298,https://product-image.wconcept.co.kr/productimg/image/img9/98/307352298_AV84063.jpg,"₩79,000","₩49,770",37,260623,,,,4.9385,65
W컨셉,false,,망고매니플리즈,,,여성,NEFF KNIT SLEEVELESS_3COLORS,https://www.wconcept.co.kr/Product/308573609,https://product-image.wconcept.co.kr/productimg/image/img9/09/308573609_GQ12158.jpg,"₩95,000","₩76,712",19,260623,,,,4.9048,42
W컨셉,false,,라운드트리코,,,여성,[진주언니pick] SHEER LINEN R-neck Cardigan _ 7Color,https://www.wconcept.co.kr/Product/308522461,https://product-image.wconcept.co.kr/productimg/image/img9/61/308522461_RP92006.jpg,"₩57,000","₩38,190",33,260623,,,,4.8039,51
W컨셉,false,,에브모우,,,여성,WAVE SHEER TEXTURE CARDIGAN (4COLOR),https://www.wconcept.co.kr/Product/308639785,https://product-image.wconcept.co.kr/productimg/image/img9/85/308639785_XA37593.jpg,"₩141,000","₩89,746",36,260623,,,,4.875,8
W컨셉,false,,르누이,,,여성,[단독]Claude Cotton Knit Top (Charcoal),https://www.wconcept.co.kr/Product/308499470,https://product-image.wconcept.co.kr/productimg/image/img9/70/308499470_FE40983.jpg,"₩89,000","₩69,420",22,260623,,,,,
