platform,is_ranking,rank,brand,brand_likes,main_category,category,gender,product_detail_url,product_name,color,color_chip,thumbnail,likes,views,details,material,current_price,regular_price,discount_rate,rating,reviews,sales,manufacture_date,crawled_at,reorder
display.wconcept.co.kr,false,,이바나헬싱키,,,,여성,https://www.wconcept.co.kr/Product/306788003,Roosa dress (2colors),,,https://product-image.wconcept.co.kr/productimg/image/img9/03/306788003_SJ70044.jpg,27231,,,,"₩148,808","₩178,000",16,4.9531,320,,,260622,
display.wconcept.co.kr,false,,이바나헬싱키,,,,여성,https://www.wconcept.co.kr/Product/308507203,Asla layered dress,,,https://product-image.wconcept.co.kr/productimg/image/img9/03/308507203_YC59246.jpg,4552,,,,"₩182,248","₩218,000",16,4.9531,64,,,260622,
display.wconcept.co.kr,false,,이바나헬싱키,,,,여성,https://www.wconcept.co.kr/Product/308516450,Lena wrap Dress (3colors),,,https://product-image.wconcept.co.kr/productimg/image/img9/50/308516450_UQ78409.jpg,6327,,,,"₩165,528","₩198,000",16,4.9167,24,,,260622,
display.wconcept.co.kr,false,,올리브데올리브,,,,여성,https://www.wconcept.co.kr/Product/308481713,[령은PICK][W컨셉단독]캡 슬리브 덧장 원피스 OW6MO6080,,,https://product-image.wconcept.co.kr/productimg/image/img9/13/308481713_CA70179.jpg,4142,,,,"₩117,384","₩219,000",46,4.7917,24,,,260622,
display.wconcept.co.kr,false,,폴앤앨리스,,,,여성,https://www.wconcept.co.kr/Product/306948543,STRING SLEEVELESS DRESS/ 6COLOR,,,https://product-image.wconcept.co.kr/productimg/image/img9/43/306948543_EJ58047.jpg,11421,,,,"₩77,184","₩128,000",40,4.9438,249,,,260622,
display.wconcept.co.kr,false,,루에브르,,,,여성,https://www.wconcept.co.kr/Product/308451070,Draped Sleeveless Maxi Dress SW6MO712_2color,,,https://product-image.wconcept.co.kr/productimg/image/img9/70/308451070_HL27486.jpg,1751,,,,"₩122,180","₩149,000",18,4.9231,39,,,260622,
display.wconcept.co.kr,false,,슬로우롤리,,,,여성,https://www.wconcept.co.kr/Product/307242770,[12차][컬러추가] Back slit pleated midi dress_5 Colors,,,https://product-image.wconcept.co.kr/productimg/image/img9/70/307242770_NO82790.jpg,3399,,,,"₩75,375","₩125,000",40,4.9872,391,,,260622,
display.wconcept.co.kr,false,,세이지먼트,,,,여성,https://www.wconcept.co.kr/Product/308388040,[단독]ARIA TWIST STRAP DRESS_GRAY,,,https://product-image.wconcept.co.kr/productimg/image/img9/40/308388040_PL32021.jpg,3125,,,,"₩120,428","₩161,000",25,4.9643,28,,,260622,
display.wconcept.co.kr,false,,잇미샤,,,,여성,https://www.wconcept.co.kr/Product/308421548,[리오더][단독]잇미샤 레이어드 롱 원피스 ITQ5ZOP460 (2COLOR),,,https://product-image.wconcept.co.kr/productimg/image/img9/48/308421548_VQ56592.jpg,11168,,,,"₩205,128","₩259,000",21,4.9841,63,,,260622,
display.wconcept.co.kr,false,,룩캐스트,,,,여성,https://www.wconcept.co.kr/Product/306811054,[단독][3차 리오더]슈 슬리브리스 미니 드레스 / SHU SLEEVELESS MINI DRESS_2colors,,,https://product-image.wconcept.co.kr/productimg/image/img9/54/306811054_YJ76324.jpg,8919,,,,"₩88,252","₩148,000",40,4.9096,166,,,260622,
display.wconcept.co.kr,false,,이바나헬싱키,,,,여성,https://www.wconcept.co.kr/Product/308507090,Heartlie mini Dress (3colors),,,https://product-image.wconcept.co.kr/productimg/image/img9/90/308507090_HI54109.jpg,3402,,,,"₩157,168","₩188,000",16,4.9583,24,,,260622,
display.wconcept.co.kr,false,,안젤로 비안코,,,,여성,https://www.wconcept.co.kr/Product/306908507,[오늘 출발][단독] Fine Dress,,,https://product-image.wconcept.co.kr/productimg/image/img9/07/306908507_TY88737.jpg,18234,,,,"₩93,280","₩212,000",56,4.8723,274,,,260622,
display.wconcept.co.kr,false,,슬로우롤리,,,,여성,https://www.wconcept.co.kr/Product/306974786,[12차][카리나 PICK][컬러추가]Ribbon shirring sleeveless dress_5 Colors,,,https://product-image.wconcept.co.kr/productimg/image/img9/86/306974786_AO20592.jpg,6873,,,,"₩92,078","₩152,700",40,4.9751,724,,,260622,
display.wconcept.co.kr,false,,루에브르,,,,여성,https://www.wconcept.co.kr/Product/308506540,Wrap-Tied Draped Sleeveless Dress SW6MO750_2color,,,https://product-image.wconcept.co.kr/productimg/image/img9/40/308506540_GG17875.jpg,2883,,,,"₩179,580","₩219,000",18,4.8,10,,,260622,
display.wconcept.co.kr,false,,프론트로우,,,,여성,https://www.wconcept.co.kr/Product/308344295,Knot Long Dress_3color,,,https://product-image.wconcept.co.kr/productimg/image/img9/95/308344295_LY58976.jpg,3730,,,,"₩95,877","₩159,000",40,4.9474,38,,,260622,
display.wconcept.co.kr,false,,드로우핏 우먼,,,,여성,https://www.wconcept.co.kr/Product/306837874,핀턱 슬리브리스 롱 원피스 [L.BLUE],,,https://product-image.wconcept.co.kr/productimg/image/img9/74/306837874_OK66520.jpg,9808,,,,"₩77,616","₩98,000",21,4.9541,196,,,260622,
display.wconcept.co.kr,false,,주르티,,,,여성,https://www.wconcept.co.kr/Product/308448860,[세트] 글로시 새틴 시스루 블라우스 + 글로시 새틴 스커트 블랙 J1999,,,https://product-image.wconcept.co.kr/productimg/image/img9/60/308448860_VC57940.jpg,3840,,,,"₩109,183","₩194,000",44,4.9615,26,,,260622,
display.wconcept.co.kr,false,,논앤논,,,,여성,https://www.wconcept.co.kr/Product/308183650,[이환PICK] DRAPE WAIST LONG DRESS_N6SON0418,,,https://product-image.wconcept.co.kr/productimg/image/img9/50/308183650_SD13062.jpg,4539,,,,"₩119,680","₩170,000",30,4.931,29,,,260622,
display.wconcept.co.kr,false,,아워코모스,,,,여성,https://www.wconcept.co.kr/Product/308390031,comos 1727 drape wrap button dress (2color),,,https://product-image.wconcept.co.kr/productimg/image/img9/31/308390031_MX28869.jpg,3669,,,,"₩123,981","₩187,000",34,5.0,20,,,260622,
display.wconcept.co.kr,false,,듀엘,,,,여성,https://www.wconcept.co.kr/Product/308532686,[W단독][2차][리라PICK] 드레이프 하프 슬리브 원피스 CR_D262MSE731,,,https://product-image.wconcept.co.kr/productimg/image/img9/86/308532686_NP29621.jpg,1735,,,,"₩156,784","₩239,000",34,5.0,14,,,260622,
display.wconcept.co.kr,false,,그레이스유,,,,여성,https://www.wconcept.co.kr/Product/305056560,Isabel Halter-Neck One-piece (3 Color),,,https://product-image.wconcept.co.kr/productimg/image/img9/60/305056560_AW52904.jpg,19527,,,,"₩259,000","₩294,000",12,4.88,200,,,260622,
display.wconcept.co.kr,false,,리올그,,,,여성,https://www.wconcept.co.kr/Product/308385134,[단독] CE ONE SHOULDER MERMAID OPS BLACK,,,https://product-image.wconcept.co.kr/productimg/image/img9/34/308385134_KL97372.jpg,1749,,,,"₩149,688","₩189,000",21,5.0,11,,,260622,
display.wconcept.co.kr,false,,라메레이,,,,여성,https://www.wconcept.co.kr/Product/305161080,[사이즈 추가]See-through Boat Neck Dress[LMBFCO24DR802]-Black,,,https://product-image.wconcept.co.kr/productimg/image/img9/80/305161080_FN50390.jpg,17941,,,,"₩146,730","₩219,000",33,4.9339,227,,,260622,
display.wconcept.co.kr,false,,이바나헬싱키,,,,여성,https://www.wconcept.co.kr/Product/308607553,Marigold Layered Long Dress (2colors),,,https://product-image.wconcept.co.kr/productimg/image/img9/53/308607553_CH75916.jpg,1036,,,,"₩209,440","₩238,000",12,4.75,4,,,260622,
display.wconcept.co.kr,false,,이바나헬싱키,,,,여성,https://www.wconcept.co.kr/Product/308516438,Miel Shirring Dress (2colors),,,https://product-image.wconcept.co.kr/productimg/image/img9/38/308516438_LG65213.jpg,2731,,,,"₩157,168","₩188,000",16,5.0,9,,,260622,
display.wconcept.co.kr,false,,시티브리즈,,,,여성,https://www.wconcept.co.kr/Product/305834164,나일론 스트랩 리본 롱 원피스_2COLORS,,,https://product-image.wconcept.co.kr/productimg/image/img9/64/305834164_IL62642.jpg,2428,,,,"₩69,847","₩139,000",50,4.9778,45,,,260622,
display.wconcept.co.kr,false,,드팜므,,,,여성,https://www.wconcept.co.kr/Product/306852969,PLEATED LONG ONE-PIECE BLACK,,,https://product-image.wconcept.co.kr/productimg/image/img9/69/306852969_VG96600.jpg,1335,,,,"₩132,678","₩189,000",30,5.0,7,,,260622,
display.wconcept.co.kr,false,,아무르 무아르,,,,여성,https://www.wconcept.co.kr/Product/306049357,amr1424 belt sleeveless one-piece  (2color),,,https://product-image.wconcept.co.kr/productimg/image/img9/57/306049357_CC14306.jpg,28370,,,,"₩83,294","₩148,000",44,4.9153,1653,,,260622,
display.wconcept.co.kr,false,,지에마르,,,,여성,https://www.wconcept.co.kr/Product/305873240,SUMMER LONG DRESS 3color 섬머 롱 드레스 3color,,,https://product-image.wconcept.co.kr/productimg/image/img9/40/305873240_KL17552.jpg,14719,,,,"₩91,120","₩136,000",33,4.912,216,,,260622,
display.wconcept.co.kr,false,,토와브,,,,여성,https://www.wconcept.co.kr/Product/306879339,[단독] BLOOM DRESS_2COLORS,,,https://product-image.wconcept.co.kr/productimg/image/img9/39/306879339_GI86347.jpg,10233,,,,"₩233,220","₩299,000",22,4.9643,56,,,260622,
display.wconcept.co.kr,false,,이바나헬싱키,,,,여성,https://www.wconcept.co.kr/Product/306787998,Anita dress (2colors),,,https://product-image.wconcept.co.kr/productimg/image/img9/98/306787998_PI64520.jpg,5073,,,,"₩156,816","₩198,000",21,4.9231,26,,,260622,
display.wconcept.co.kr,false,,에트몽,,,,여성,https://www.wconcept.co.kr/Product/308235199,"Side Button Stitch Dress, Sky Blue",,,https://product-image.wconcept.co.kr/productimg/image/img9/99/308235199_II19365.jpg,1393,,,,"₩174,240","₩198,000",12,5.0,7,,,260622,
display.wconcept.co.kr,false,,플로움,,,,여성,https://www.wconcept.co.kr/Product/301630715,Cup Cake Dress (6color),,,https://product-image.wconcept.co.kr/productimg/image/img9/15/301630715_EQ39550.jpg,23133,,,,"₩293,000","₩328,000",11,4.9452,839,,,260622,
display.wconcept.co.kr,false,,아무르 무아르,,,,여성,https://www.wconcept.co.kr/Product/306049197,[세트] 포켓 하프 퍼프 블라우스+셔링 스커트 화이트  amr1606,,,https://product-image.wconcept.co.kr/productimg/image/img9/97/306049197_VM10558.jpg,38593,,,,"₩101,867","₩181,000",44,4.9027,904,,,260622,
display.wconcept.co.kr,false,,플로움,,,,여성,https://www.wconcept.co.kr/Product/303195239,Classic Bud Dress(4color),,,https://product-image.wconcept.co.kr/productimg/image/img9/39/303195239_QL55895.jpg,20749,,,,"₩218,240","₩248,000",12,4.9121,182,,,260622,
display.wconcept.co.kr,false,,세이지먼트,,,,여성,https://www.wconcept.co.kr/Product/307172668,DARME STRAP LONG DRESS_2COLORS,,,https://product-image.wconcept.co.kr/productimg/image/img9/68/307172668_VP84637.jpg,6415,,,,"₩151,844","₩203,000",25,4.9231,91,,,260622,
display.wconcept.co.kr,false,,온앤온,,,,여성,https://www.wconcept.co.kr/Product/308456653,[단독]하프넥 스트랩 롱 원피스 NEW6MO425_2color,,,https://product-image.wconcept.co.kr/productimg/image/img9/53/308456653_CI40310.jpg,1409,,,,"₩142,032","₩269,000",47,5.0,18,,,260622,
display.wconcept.co.kr,false,,이바나헬싱키,,,,여성,https://www.wconcept.co.kr/Product/308473712,Rosel dress (3colors),,,https://product-image.wconcept.co.kr/productimg/image/img9/12/308473712_IN44289.jpg,2006,,,,"₩198,968","₩238,000",16,5.0,10,,,260622,
display.wconcept.co.kr,false,,바시카,,,,여성,https://www.wconcept.co.kr/Product/308469942,웨이스트 타이 셔링 원피스_gray,,,https://product-image.wconcept.co.kr/productimg/image/img9/42/308469942_TN55273.jpg,1934,,,,"₩93,870","₩149,000",37,5.0,11,,,260622,
