platform,is_ranking,rank,brand,main_category,category,gender,product_name,product_detail_url,thumbnail,regular_price,current_price,discount_rate,crawled_at,color,material,details,rating,reviews
W컨셉,false,,프렌치시크,,,여성,[냉감소재] [인생360] [3단기장]폴딩 핀턱 와이드 슬랙스_F6H425SL,https://www.wconcept.co.kr/Product/308629109,https://product-image.wconcept.co.kr/productimg/image/img9/09/308629109_GI22012.jpg,"₩59,800","₩44,730",25,260623,,,,4.9434,53
W컨셉,false,,마롭,,,여성,2160 경량 플레어 와이드 팬츠 (2 COLORS),https://www.wconcept.co.kr/Product/306773246,https://product-image.wconcept.co.kr/productimg/image/img9/46/306773246_NX74041.jpg,"₩99,000","₩72,310",27,260623,,,,4.9476,954
W컨셉,false,,프렌치시크,,,여성,[인생360] [3단기장] 벨에포크 폴딩핀턱 스트라이프 와이드 슬랙스_F6S238SL,https://www.wconcept.co.kr/Product/308529096,https://product-image.wconcept.co.kr/productimg/image/img9/96/308529096_GM63729.jpg,"₩59,800","₩44,730",25,260623,,,,4.9524,42
W컨셉,false,,로브로브,,,여성,[16차 리오더][NEW컬러추가][기장선택가능] 쏘 쿨 밴딩 팬츠_(3color),https://www.wconcept.co.kr/Product/306881618,https://product-image.wconcept.co.kr/productimg/image/img9/18/306881618_EE91444.jpg,"₩89,000","₩59,630",33,260623,,,,4.8788,726
W컨셉,false,,논로컬,,,여성,[21차 리오더] Martin Cotton Shorts - 8Color,https://www.wconcept.co.kr/Product/302327675,https://product-image.wconcept.co.kr/productimg/image/img9/75/302327675_GU51740.jpg,"₩92,000","₩55,476",40,260623,,,,4.9268,724
W컨셉,false,,프론트로우,,,여성,Summer Wide Denim_4color,https://www.wconcept.co.kr/Product/308343897,https://product-image.wconcept.co.kr/productimg/image/img9/97/308343897_XO75085.jpg,"₩99,000","₩65,637",34,260623,,,,4.8377,154
W컨셉,false,,프렌치시크,,,여성,[인생360] [3단기장] 컬틴 린넨라이크 와이드 슬랙스_F6S349SL,https://www.wconcept.co.kr/Product/308550029,https://product-image.wconcept.co.kr/productimg/image/img9/29/308550029_GI72848.jpg,"₩49,000","₩36,652",25,260623,,,,4.7808,73
W컨셉,false,,시야쥬,,,여성,[단독]SIPT7078 투턱 나일론 슬랙스_2PACK,https://www.wconcept.co.kr/Product/305907610,https://product-image.wconcept.co.kr/productimg/image/img9/10/305907610_WT68148.jpg,"₩178,000","₩110,912",38,260623,,,,4.894,1396
W컨셉,false,,마인드브릿지 우먼,,,여성,"[쿨/베이직] 와이드 슬랙스 3종_3colors / 베이지, 블랙, 차콜 (원턱/투턱/스트레이트)",https://www.wconcept.co.kr/Product/308231743,https://product-image.wconcept.co.kr/productimg/image/img9/43/308231743_EA13499.jpg,"₩89,900","₩38,922",57,260623,,,,4.8951,410
W컨셉,false,,마롭,,,여성,9107 경량 와이드 데님팬츠 (3 COLORS),https://www.wconcept.co.kr/Product/301618956,https://product-image.wconcept.co.kr/productimg/image/img9/56/301618956_GT28561.jpg,"₩89,000","₩65,006",27,260623,,,,4.9017,407
W컨셉,false,,시티브리즈,,,여성,[XS 추가]유틸리티 와이드 팬츠_3COLORS,https://www.wconcept.co.kr/Product/307496905,https://product-image.wconcept.co.kr/productimg/image/img9/05/307496905_GS30965.jpg,"₩129,000","₩64,822",50,260623,,,,4.9331,269
W컨셉,false,,공드린,,,여성,[3차]_시드니 밴딩 팬츠 (블루 그레이),https://www.wconcept.co.kr/Product/308651902,https://product-image.wconcept.co.kr/productimg/image/img9/02/308651902_AR18982.jpg,"₩98,000","₩81,928",16,260623,,,,5.0,3
W컨셉,false,,우이,,,여성,썸머 트윌 부츠컷 팬츠 블랙 OU1104,https://www.wconcept.co.kr/Product/302833764,https://product-image.wconcept.co.kr/productimg/image/img9/64/302833764_KN38714.jpg,"₩96,000","₩53,386",44,260623,,,,4.8936,451
W컨셉,false,,시야쥬,,,여성,[XS 사이즈 추가] SIPT7153 컴포트 라인 카프리 팬츠_Black,https://www.wconcept.co.kr/Product/306630847,https://product-image.wconcept.co.kr/productimg/image/img9/47/306630847_FY28170.jpg,"₩89,000","₩67,337",24,260623,,,,4.9474,171
W컨셉,false,,마스 언 에브릴,,,여성,PINTUCK TAPING CARGO PANTS_BEIGE,https://www.wconcept.co.kr/Product/308597270,https://product-image.wconcept.co.kr/productimg/image/img9/70/308597270_VY82297.jpg,"₩153,000","₩102,510",33,260623,,,,4.9744,39
W컨셉,false,,시야쥬,,,여성,SIPT7078 투턱 나일론 슬랙스_Beige,https://www.wconcept.co.kr/Product/302817665,https://product-image.wconcept.co.kr/productimg/image/img9/65/302817665_CO19310.jpg,"₩89,000","₩60,395",32,260623,,,,4.8716,740
W컨셉,false,,안젤로 비안코,,,여성,[기장선택] Atelier Pants (2col),https://www.wconcept.co.kr/Product/307302419,https://product-image.wconcept.co.kr/productimg/image/img9/19/307302419_JL55289.jpg,"₩86,000","₩52,976",38,260623,,,,4.9478,134
W컨셉,false,,어반드레스,,,여성,노아 CN 트랙 팬츠_5Colors,https://www.wconcept.co.kr/Product/308483304,https://product-image.wconcept.co.kr/productimg/image/img9/04/308483304_LE17421.jpg,"₩78,000","₩58,344",25,260623,,,,4.9677,31
W컨셉,false,,마스 언 에브릴,,,여성,PINTUCK TAPING CARGO PANTS_NAVY,https://www.wconcept.co.kr/Product/308466846,https://product-image.wconcept.co.kr/productimg/image/img9/46/308466846_SP87367.jpg,"₩153,000","₩97,384",36,260623,,,,4.9494,79
W컨셉,false,,어스,,,여성,[단독] [10차리오더][기장선택가능] US102 레귤러 플레어진 (연청),https://www.wconcept.co.kr/Product/307187866,https://product-image.wconcept.co.kr/productimg/image/img9/66/307187866_YQ21290.jpg,"₩118,000","₩58,960",50,260623,,,,4.8996,548
W컨셉,false,,프렌치시크,,,여성,[클래식ver.] [인생360] [3단기장]벨에포크 폴딩핀턱 와이드 슬랙스_F6H448SL,https://www.wconcept.co.kr/Product/308631818,https://product-image.wconcept.co.kr/productimg/image/img9/18/308631818_GG13225.jpg,"₩59,800","₩44,730",25,260623,,,,5.0,11
W컨셉,false,,망고매니플리즈,,,여성,SORR BANDING PANTS_2COLORS,https://www.wconcept.co.kr/Product/306934580,https://product-image.wconcept.co.kr/productimg/image/img9/80/306934580_TI72463.jpg,"₩109,000","₩83,385",24,260623,,,,4.8203,345
W컨셉,false,,마롭,,,여성,[단독] 2306 경량 골지 스웨트 팬츠 (2 COLORS),https://www.wconcept.co.kr/Product/308550021,https://product-image.wconcept.co.kr/productimg/image/img9/21/308550021_TJ28239.jpg,"₩89,000","₩62,656",30,260623,,,,4.9184,49
W컨셉,false,,모한,,,여성,TIS CLASSIC COTTON SHORT PANTS_2COLORS,https://www.wconcept.co.kr/Product/308302025,https://product-image.wconcept.co.kr/productimg/image/img9/25/308302025_XW40223.jpg,"₩119,000","₩83,538",30,260623,,,,4.9841,63
W컨셉,false,,시야쥬,,,여성,SIPT7078 투턱 나일론 슬랙스_Black,https://www.wconcept.co.kr/Product/302817713,https://product-image.wconcept.co.kr/productimg/image/img9/13/302817713_UY21848.jpg,"₩89,000","₩60,395",32,260623,,,,4.8919,731
W컨셉,false,,어스,,,여성,[8차리오더][기장선택가능] US305 로우라이즈 와이드진 (아이보리),https://www.wconcept.co.kr/Product/307188205,https://product-image.wconcept.co.kr/productimg/image/img9/05/307188205_EA58599.jpg,"₩118,000","₩58,960",50,260623,,,,4.9172,314
W컨셉,false,,언에디트,,,여성,[수정 PICK]Q Slit Capri pants_Black,https://www.wconcept.co.kr/Product/308209780,https://product-image.wconcept.co.kr/productimg/image/img9/80/308209780_SY65686.jpg,"₩119,000","₩104,720",12,260623,,,,4.9545,44
W컨셉,false,,프론트로우,,,여성,[이태리 울] Summer Wool Wide Trousers_2color,https://www.wconcept.co.kr/Product/308343422,https://product-image.wconcept.co.kr/productimg/image/img9/22/308343422_SE83786.jpg,"₩169,000","₩112,047",34,260623,,,,4.95,40
W컨셉,false,,아우어노스텔지아,,,여성,[6차 리오더]90s capri pants_Black(O25-PT01),https://www.wconcept.co.kr/Product/306568660,https://product-image.wconcept.co.kr/productimg/image/img9/60/306568660_GG56083.jpg,"₩86,000","₩51,858",40,260623,,,,4.9134,277
W컨셉,false,,하우투러브미,,,여성,[5차]카로아 자가드 절개 데님 슬랙스[white],https://www.wconcept.co.kr/Product/308542239,https://product-image.wconcept.co.kr/productimg/image/img9/39/308542239_RL90806.jpg,"₩115,000","₩101,200",12,260623,,,,4.8,15
W컨셉,false,,르와,,,여성,와이드 숏 데님 팬츠 화이트 L187,https://www.wconcept.co.kr/Product/306815074,https://product-image.wconcept.co.kr/productimg/image/img9/74/306815074_TD17200.jpg,"₩96,000","₩57,245",40,260623,,,,4.8788,132
W컨셉,false,,몽돌,,,여성,시그니처 코튼 숏팬츠 MDPT052_6 Colors,https://www.wconcept.co.kr/Product/305744275,https://product-image.wconcept.co.kr/productimg/image/img9/75/305744275_SL97176.jpg,"₩44,000","₩34,320",22,260623,,,,4.9053,824
W컨셉,false,,망고매니플리즈,,,여성,PERU STRIPE PANTS (2colors),https://www.wconcept.co.kr/Product/305962202,https://product-image.wconcept.co.kr/productimg/image/img9/02/305962202_DY72948.jpg,"₩93,000","₩75,097",19,260623,,,,4.9444,180
W컨셉,false,,아흐레,,,여성,SLIM FIT CAPRI PANTS 여름ver[7부/9부 기장선택],https://www.wconcept.co.kr/Product/306948309,https://product-image.wconcept.co.kr/productimg/image/img9/09/306948309_VB63657.jpg,"₩98,000","₩51,744",47,260623,,,,4.8675,83
W컨셉,false,,우이,,,여성,논페이드 썸머 부츠컷 데님팬츠 블랙데님 OU1679,https://www.wconcept.co.kr/Product/306909398,https://product-image.wconcept.co.kr/productimg/image/img9/98/306909398_SP18127.jpg,"₩129,000","₩71,737",44,260623,,,,4.9314,102
W컨셉,false,,시야쥬,,,여성,SIPT7153 컴포트 라인 카프리 팬츠 (여름 ver)_Black,https://www.wconcept.co.kr/Product/308570524,https://product-image.wconcept.co.kr/productimg/image/img9/24/308570524_XT43258.jpg,"₩89,000","₩64,561",27,260623,,,,4.8667,15
W컨셉,false,,시야쥬,,,여성,SIPT7195 라운지 소프트 쇼츠_Black,https://www.wconcept.co.kr/Product/308503683,https://product-image.wconcept.co.kr/productimg/image/img9/83/308503683_JH14044.jpg,"₩73,000","₩49,538",32,260623,,,,5.0,19
W컨셉,false,,드로우핏 우먼,,,여성,트윌 투 턱 숏 팬츠 [3COLORS],https://www.wconcept.co.kr/Product/305990930,https://product-image.wconcept.co.kr/productimg/image/img9/30/305990930_SG96875.jpg,"₩55,000","₩43,560",21,260623,,,,4.9046,388
W컨셉,false,,공드린,,,여성,[2차]_시드니 밴딩 팬츠 (블랙),https://www.wconcept.co.kr/Product/308651999,https://product-image.wconcept.co.kr/productimg/image/img9/99/308651999_XJ88256.jpg,"₩98,000","₩81,928",16,260623,,,,5.0,4
W컨셉,false,,프론트로우,,,여성,Summer Light Bootcut Trousers_3color,https://www.wconcept.co.kr/Product/308435203,https://product-image.wconcept.co.kr/productimg/image/img9/03/308435203_WT35788.jpg,"₩99,000","₩65,637",34,260623,,,,4.9545,44
