platform,is_ranking,rank,brand,main_category,category,gender,product_name,product_detail_url,thumbnail,regular_price,current_price,discount_rate,crawled_at,color,material,details,rating,reviews
W컨셉,true,1,망고매니플리즈,의류,티셔츠 긴팔,여성,[단독][NEW컬러 추가]NEFF LINEN KNIT (5colors),https://www.wconcept.co.kr/Product/305914779,https://product-image.wconcept.co.kr/productimg/image/img1/79/305914779_DW51619.jpg,"₩98,000","₩68,600",30,260706,,,,4.9218,2583
W컨셉,true,2,망고매니플리즈,의류,니트 풀오버,여성,[NEW컬러추가]NEFF LINEN CROP KNIT_5COLORS,https://www.wconcept.co.kr/Product/306801591,https://product-image.wconcept.co.kr/productimg/image/img1/91/306801591_ME93765.jpg,"₩95,000","₩66,500",30,260706,,,,4.9447,1699
W컨셉,true,3,프론트로우,의류,원피스 맥시,여성,Knot Long Dress_3color,https://www.wconcept.co.kr/Product/308344295,https://product-image.wconcept.co.kr/productimg/image/img1/95/308344295_LY58976.jpg,"₩159,000","₩100,170",37,260706,,,,4.9615,52
W컨셉,true,4,프렌치시크,의류,팬츠 슬랙스,여성,[냉감소재] [인생360] [3단기장]폴딩 핀턱 와이드 슬랙스_F6H425SL,https://www.wconcept.co.kr/Product/308629109,https://product-image.wconcept.co.kr/productimg/image/img1/09/308629109_JJ12748.jpg,"₩59,800","₩47,362",21,260706,,,,4.8782,197
W컨셉,true,5,프론트로우,의류,데님 보이프렌드진,여성,Summer Wide Denim_4color,https://www.wconcept.co.kr/Product/308343897,https://product-image.wconcept.co.kr/productimg/image/img1/97/308343897_XO75085.jpg,"₩99,000","₩64,449",35,260706,,,,4.867,188
W컨셉,true,6,레이지지,의류,셔츠 셔츠,여성,Loose Fit Classic Check Shirt (5color),https://www.wconcept.co.kr/Product/306765618,https://product-image.wconcept.co.kr/productimg/image/img1/18/306765618_UN90922.jpg,"₩109,000","₩57,552",47,260706,,,,4.9294,992
W컨셉,true,7,프론트로우,의류,아우터 자켓,여성,[Premium] Verona Summer Jacket_2color,https://www.wconcept.co.kr/Product/308344162,https://product-image.wconcept.co.kr/productimg/image/img1/62/308344162_RB78862.jpg,"₩199,000","₩139,300",30,260706,,,,4.9505,101
W컨셉,true,8,프론트로우,의류,니트 가디건,여성,Palette Sheer Linen Cardigan Set_7color,https://www.wconcept.co.kr/Product/308343794,https://product-image.wconcept.co.kr/productimg/image/img1/94/308343794_BY71820.jpg,"₩109,000","₩70,959",35,260706,,,,4.8918,268
W컨셉,true,9,레테라,의류,니트 가디건,여성,[W컨셉 단독][14color(컬러추가)] Basic Round Linen Cardigan,https://www.wconcept.co.kr/Product/306085072,https://product-image.wconcept.co.kr/productimg/image/img1/72/306085072_VY10529.jpg,"₩69,000","₩45,540",34,260706,,,,4.8895,6344
W컨셉,true,10,프론트로우,의류,블라우스 블라우스,여성,Ruffled Collar Blouse_2color,https://www.wconcept.co.kr/Product/308369180,https://product-image.wconcept.co.kr/productimg/image/img1/80/308369180_YE72570.jpg,"₩129,000","₩83,979",35,260706,,,,4.9012,162
W컨셉,true,11,레이지지,의류,니트 가디건,여성,Summer Breeze Cardigan (4color),https://www.wconcept.co.kr/Product/308376821,https://product-image.wconcept.co.kr/productimg/image/img1/21/308376821_SX13473.jpg,"₩119,000","₩73,304",38,260706,,,,4.8684,76
W컨셉,true,12,이바나헬싱키,의류,블라우스 블라우스,여성,Loimu blouse (2colors),https://www.wconcept.co.kr/Product/307158076,https://product-image.wconcept.co.kr/productimg/image/img1/76/307158076_DL56199.jpg,"₩118,000","₩98,648",16,260706,,,,5.0,11
W컨셉,true,13,닐바이피,의류,원피스 맥시,여성,Summer volume wrap ops Navy [N6MOP01],https://www.wconcept.co.kr/Product/302809896,https://product-image.wconcept.co.kr/productimg/image/img1/96/302809896_WU33304.jpg,"₩179,000",,,260706,,,,4.8925,186
W컨셉,true,14,프론트로우,의류,아우터 자켓,여성,[이태리 울] Summer Wool Belted Half Sleeve Jacket_2color,https://www.wconcept.co.kr/Product/308343407,https://product-image.wconcept.co.kr/productimg/image/img1/07/308343407_DD11560.jpg,"₩199,000","₩129,549",35,260706,,,,4.9302,129
W컨셉,true,15,아틀리에 나인,의류,티셔츠 반팔,여성,[장다연 PICK] LOND WAIST TUCK T-SHIRT (Z-BL-4225),https://www.wconcept.co.kr/Product/305818731,https://product-image.wconcept.co.kr/productimg/image/img1/31/305818731_SS21087.jpg,"₩49,000","₩43,120",12,260706,,,,4.9181,1904
W컨셉,true,16,아르테,의류,티셔츠 반팔,여성,[단독] 시어 글로우 블라우스 [ivory],https://www.wconcept.co.kr/Product/308570621,https://product-image.wconcept.co.kr/productimg/image/img1/21/308570621_SC11545.jpg,"₩93,000","₩81,840",12,260706,,,,5.0,25
W컨셉,true,17,망고매니플리즈,의류,티셔츠 반팔,여성,[단독] AMELIA U NECK TEE_4COLORS,https://www.wconcept.co.kr/Product/308573386,https://product-image.wconcept.co.kr/productimg/image/img1/86/308573386_IM76837.jpg,"₩45,000","₩31,500",30,260706,,,,4.9302,43
W컨셉,true,18,아티드,의류,데님 스트레이트진,여성,[썸머ver 단독] 셀비 포켓 데님 팬츠_5COLORS,https://www.wconcept.co.kr/Product/307817836,https://product-image.wconcept.co.kr/productimg/image/img1/36/307817836_HG48367.jpg,"₩109,900","₩69,230",37,260706,,,,4.9029,1061
W컨셉,true,19,망고매니플리즈,의류,원피스 점프수트,여성,[모찌언니 PICK] MOCO LINEN JUMPSUIT_CHARCOAL,https://www.wconcept.co.kr/Product/308573447,https://product-image.wconcept.co.kr/productimg/image/img1/47/308573447_KP23316.jpg,"₩199,000","₩139,300",30,260706,,,,4.9333,15
W컨셉,true,20,망고매니플리즈,의류,니트 베스트,여성,NEFF KNIT SLEEVELESS_3COLORS,https://www.wconcept.co.kr/Product/308573609,https://product-image.wconcept.co.kr/productimg/image/img1/09/308573609_NP51462.jpg,"₩95,000","₩66,500",30,260706,,,,4.9216,51
W컨셉,true,21,이바나헬싱키,의류,원피스 미디,여성,Roosa dress (2colors),https://www.wconcept.co.kr/Product/306788003,https://product-image.wconcept.co.kr/productimg/image/img1/03/306788003_SJ70044.jpg,"₩178,000","₩148,808",16,260706,,,,4.9467,338
