platform,is_ranking,rank,brand,brand_likes,main_category,category,gender,product_detail_url,product_name,color,color_chip,thumbnail,likes,views,details,material,current_price,regular_price,discount_rate,rating,reviews,sales,manufacture_date,crawled_at,reorder
,false,,ZARA,,상의,블라우스,여성,https://www.zara.com/kr/ko/vrsht-fld-16-p04043902.html,VRSHT FLD 16,미디움 크림,,https://static.zara.net/assets/public/4b36/04ca/8ae64758b0b3/25db2b25d3b8/04043902715-p/04043902715-p.jpg?ts=1781775504598,,,,,"₩149,900","₩149,900",,,,,,260622,
,false,,ZARA,,아우터,코트,여성,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-100-%E1%84%85%E1%85%B5%E1%86%AB%E1%84%82%E1%85%A6%E1%86%AB-%E1%84%87%E1%85%A6%E1%86%AF%E1%84%90%E1%85%B3-%E1%84%8F%E1%85%A9%E1%84%90%E1%85%B3-p02716947.html,ZW 컬렉션 100% 린넨 벨트 코트,블랙,,https://static.zara.net/assets/public/5e9a/586a/b414451db130/23212f937f56/02716947800-p/02716947800-p.jpg?ts=1781775508045,,,,,"₩189,900","₩189,900",,,,,,260622,
,false,,ZARA,,아우터,코트,여성,https://www.zara.com/kr/ko/caramel-london-x-zara-%E1%84%8F%E1%85%A9%E1%86%AF%E1%84%85%E1%85%A1%E1%84%87%E1%85%A9-%E1%84%90%E1%85%B3%E1%84%85%E1%85%A6%E1%86%AB%E1%84%8E%E1%85%B5-%E1%84%8F%E1%85%A9%E1%84%90%E1%85%B3-p00751406.html,카라멜 런던 X 자라 콜라보 트렌치 코트,카키,,https://static.zara.net/assets/public/63da/fb9c/82ea4200a86e/20e1b2cfc5b5/00751406505-a1/00751406505-a1.jpg?ts=1779966937740,,,,,"₩169,900","₩169,900",,,,,,260622,
,false,,ZARA,,아우터,블레이저,여성,https://www.zara.com/kr/ko/%E1%84%87%E1%85%A6%E1%86%AF%E1%84%90%E1%85%B3-%E1%84%85%E1%85%B5%E1%86%AB%E1%84%82%E1%85%A6%E1%86%AB-%E1%84%89%E1%85%A1%E1%84%91%E1%85%A1%E1%84%85%E1%85%B5-%E1%84%8C%E1%85%A2%E1%84%8F%E1%85%B5%E1%86%BA-p03046191.html,벨트 린넨 사파리 재킷,라이트 베이지,,https://static.zara.net/assets/public/2c31/9cd1/bc1043869af2/e0427a2c1391/03046191052-p/03046191052-p.jpg?ts=1776155586469,,,,,"₩59,900","₩59,900",,,,,,260622,
,false,,ZARA,,아우터,블레이저,여성,https://www.zara.com/kr/ko/%E1%84%87%E1%85%A6%E1%86%AF%E1%84%90%E1%85%B3-%E1%84%85%E1%85%B5%E1%86%AB%E1%84%82%E1%85%A6%E1%86%AB-%E1%84%89%E1%85%A1%E1%84%91%E1%85%A1%E1%84%85%E1%85%B5-%E1%84%8C%E1%85%A2%E1%84%8F%E1%85%B5%E1%86%BA-p03046191.html,벨트 린넨 사파리 재킷,네이비,,https://static.zara.net/assets/public/62ea/87a0/82a944c291f1/8e1825f3527b/03046191401-p/03046191401-p.jpg?ts=1776094403442,,,,,"₩59,900","₩59,900",,,,,,260622,
,false,,ZARA,,아우터,블레이저,여성,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-%E1%84%8F%E1%85%B3%E1%84%85%E1%85%A9%E1%86%B8-%E1%84%8C%E1%85%A2%E1%84%8F%E1%85%B5%E1%86%BA-p02706570.html,ZW 컬렉션 크롭 재킷,베이지,,https://static.zara.net/assets/public/640d/ef86/632946f7b02f/d3610a8fca51/02706570710-p/02706570710-p.jpg?ts=1776328647634,,,,,"₩109,900","₩109,900",,,,,,260622,
,false,,ZARA,,기타,WIND-JACKET,여성,https://www.zara.com/kr/ko/%E1%84%83%E1%85%A9%E1%84%90%E1%85%B3-%E1%84%8C%E1%85%A2%E1%84%8F%E1%85%B5%E1%86%BA-p05247730.html,도트 재킷,바닐라-블랙,,https://static.zara.net/assets/public/c611/b6b5/420845b48222/297627228eba/04341784095-a2/04341784095-a2.jpg?ts=1781785600982,,,,,"₩59,900","₩59,900",,,,,,260622,
,false,,ZARA,,기타,WIND-JACKET,여성,https://www.zara.com/kr/ko/%E1%84%91%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%B3-%E1%84%85%E1%85%A6%E1%84%83%E1%85%A5-%E1%84%8C%E1%85%A5%E1%86%B7%E1%84%91%E1%85%A5-p04391892.html,페이크 레더 점퍼,블랙,,https://static.zara.net/assets/public/842e/28cd/0e80476faf8d/055e6f167dbd/04749742800-p/04749742800-p.jpg?ts=1781785603940,,,,,"₩129,900","₩129,900",,,,,,260622,
,false,,ZARA,,기타,WIND-JACKET,여성,https://www.zara.com/kr/ko/%E1%84%83%E1%85%A9%E1%84%90%E1%85%B3-%E1%84%8C%E1%85%A2%E1%84%8F%E1%85%B5%E1%86%BA-p05247730.html,도트 재킷,바닐라-블랙,,https://static.zara.net/assets/public/6315/3d2f/42674fde8a8a/ca461ea2e8a0/05247730095-a1/05247730095-a1.jpg?ts=1781003743064,,,,,"₩59,900","₩59,900",,,,,,260622,
,false,,ZARA,,기타,WIND-JACKET,여성,https://www.zara.com/kr/ko/%E1%84%91%E1%85%B3%E1%86%AF%E1%84%85%E1%85%AE%E1%84%8B%E1%85%B5%E1%84%83%E1%85%B3-%E1%84%8F%E1%85%B3%E1%84%85%E1%85%A9%E1%86%B8-%E1%84%8C%E1%85%A2%E1%84%8F%E1%85%B5%E1%86%BA-p03067834.html,플루이드 크롭 재킷,블루 그레이,,https://static.zara.net/assets/public/af95/c133/c2d149fa901c/25178b7c44f6/03067834819-a2/03067834819-a2.jpg?ts=1778500362199,,,,,"₩59,900","₩59,900",,,,,,260622,
