platform,is_ranking,rank,brand,main_category,category,gender,product_name,product_detail_url,thumbnail,regular_price,current_price,discount_rate,crawled_at,color,material,details,rating,reviews
,false,,ZARA,상의,탑,여성,파인 니트 슬리브리스 탑,https://www.zara.com/kr/ko/%E1%84%91%E1%85%A1%E1%84%8B%E1%85%B5%E1%86%AB-%E1%84%82%E1%85%B5%E1%84%90%E1%85%B3-%E1%84%89%E1%85%B3%E1%86%AF%E1%84%85%E1%85%B5%E1%84%87%E1%85%B3%E1%84%85%E1%85%B5%E1%84%89%E1%85%B3-%E1%84%90%E1%85%A1%E1%86%B8-p02142083.html,https://static.zara.net/assets/public/ed50/8f33/748844418a20/74940bad17a3/02142083600-a1/02142083600-a1.jpg?ts=1781775510419,"₩35,900",,,260622,레드,,,,
,false,,ZARA,상의,탑,여성,니트 튜닉 탑,https://www.zara.com/kr/ko/%E1%84%82%E1%85%B5%E1%84%90%E1%85%B3-%E1%84%90%E1%85%B2%E1%84%82%E1%85%B5%E1%86%A8-%E1%84%90%E1%85%A1%E1%86%B8-p09598018.html,https://static.zara.net/assets/public/7ddb/5e93/35e7472a9a41/cb0dfa36251b/095980184011-a1/095980184011-a1.jpg?ts=1781856346731,"₩59,900",,,260622,네이비,,,,
,false,,ZARA,원피스,원피스,여성,메탈릭 얀 오픈워크 니트 미니 원피스,https://www.zara.com/kr/ko/%E1%84%86%E1%85%A6%E1%84%90%E1%85%A1%E1%86%AF%E1%84%85%E1%85%B5%E1%86%A8-%E1%84%8B%E1%85%A3%E1%86%AB-%E1%84%8B%E1%85%A9%E1%84%91%E1%85%B3%E1%86%AB%E1%84%8B%E1%85%AF%E1%84%8F%E1%85%B3-%E1%84%82%E1%85%B5%E1%84%90%E1%85%B3-%E1%84%86%E1%85%B5%E1%84%82%E1%85%B5-%E1%84%8B%E1%85%AF%E1%86%AB%E1%84%91%E1%85%B5%E1%84%89%E1%85%B3-p08146004.html,https://static.zara.net/assets/public/a276/a0d2/c7f748e8a747/967bf2b9b21c/08146004104-a1/08146004104-a1.jpg?ts=1781860770413,"₩79,900",,,260622,스트라이프,,,,
,false,,ZARA,상의,탑,여성,셔링 니트 탑,https://www.zara.com/kr/ko/%E1%84%89%E1%85%A7%E1%84%85%E1%85%B5%E1%86%BC-%E1%84%82%E1%85%B5%E1%84%90%E1%85%B3-%E1%84%90%E1%85%A1%E1%86%B8-p02142108.html,https://static.zara.net/assets/public/d55a/8484/496f4d9b94f8/711d6d8f4400/02142108250-a1/02142108250-a1.jpg?ts=1781860768017,"₩55,900",,,260622,화이트,,,,
,false,,ZARA,상의,탑,여성,오픈백 니트 탑,https://www.zara.com/kr/ko/%E1%84%8B%E1%85%A9%E1%84%91%E1%85%B3%E1%86%AB%E1%84%87%E1%85%A2%E1%86%A8-%E1%84%82%E1%85%B5%E1%84%90%E1%85%B3-%E1%84%90%E1%85%A1%E1%86%B8-p03920371.html,https://static.zara.net/assets/public/7218/1b7a/cdc34e6e92df/24707fb1701c/03920371250-p/03920371250-p.jpg?ts=1773399184078,"₩55,900",,,260622,화이트,,,,
,false,,ZARA,상의,니트,여성,파인 니트 브이넥 스웨터,https://www.zara.com/kr/ko/%E1%84%91%E1%85%A1%E1%84%8B%E1%85%B5%E1%86%AB-%E1%84%82%E1%85%B5%E1%84%90%E1%85%B3-%E1%84%87%E1%85%B3%E1%84%8B%E1%85%B5%E1%84%82%E1%85%A6%E1%86%A8-%E1%84%89%E1%85%B3%E1%84%8B%E1%85%B0%E1%84%90%E1%85%A5-p08779006.html,https://static.zara.net/assets/public/6b72/abbb/654a4ec89b60/647fcfc5fd4c/04174229712-000-p/04174229712-000-p.jpg?ts=1776875222878,"₩55,900",,,260622,블랙,,,,
,false,,ZARA,상의,니트,여성,쇼트 슬리브 니트 폴로셔츠,https://www.zara.com/kr/ko/%E1%84%89%E1%85%AD%E1%84%90%E1%85%B3-%E1%84%89%E1%85%B3%E1%86%AF%E1%84%85%E1%85%B5%E1%84%87%E1%85%B3-%E1%84%82%E1%85%B5%E1%84%90%E1%85%B3-%E1%84%91%E1%85%A9%E1%86%AF%E1%84%85%E1%85%A9%E1%84%89%E1%85%A7%E1%84%8E%E1%85%B3-p02142519.html,https://static.zara.net/assets/public/5d89/1269/049244948429/571620ac52cd/02142519800-p/02142519800-p.jpg?ts=1779371851488,"₩45,900",,,260622,블랙,,,,
,false,,ZARA,상의,탑,여성,링클 페이크 매듭 하이넥 니트 탑,https://www.zara.com/kr/ko/%E1%84%85%E1%85%B5%E1%86%BC%E1%84%8F%E1%85%B3%E1%86%AF-%E1%84%8B%E1%85%B5%E1%84%91%E1%85%A6%E1%86%A8%E1%84%90%E1%85%B3-%E1%84%86%E1%85%A2%E1%84%83%E1%85%B3%E1%86%B8-%E1%84%82%E1%85%B5%E1%84%90%E1%85%B3-%E1%84%90%E1%85%A1%E1%86%B8-p02893015.html,https://static.zara.net/assets/public/ac60/50e8/647a42b28aff/fe3f29cf7a34/02893015081-a3/02893015081-a3.jpg?ts=1774619598738,"₩55,900",,,260622,"샌드,그레이",,,,
,false,,ZARA,상의,니트,여성,벨트 니트 스웨터,https://www.zara.com/kr/ko/%E1%84%87%E1%85%A6%E1%86%AF%E1%84%90%E1%85%B3-%E1%84%82%E1%85%B5%E1%84%90%E1%85%B3-%E1%84%89%E1%85%B3%E1%84%8B%E1%85%B0%E1%84%90%E1%85%A5-p05536043.html,https://static.zara.net/assets/public/1335/7606/caf04f56b713/af11b846f06f/05536043711-p/05536043711-p.jpg?ts=1778243385823,"₩55,900",,,260622,샌드,,,,
,false,,ZARA,상의,니트,여성,파인 니트 브이넥 스웨터,https://www.zara.com/kr/ko/%E1%84%91%E1%85%A1%E1%84%8B%E1%85%B5%E1%86%AB-%E1%84%82%E1%85%B5%E1%84%90%E1%85%B3-%E1%84%87%E1%85%B3%E1%84%8B%E1%85%B5%E1%84%82%E1%85%A6%E1%86%A8-%E1%84%89%E1%85%B3%E1%84%8B%E1%85%B0%E1%84%90%E1%85%A5-p09598023.html,https://static.zara.net/assets/public/5b3a/976b/ff75481fb947/03c4243ff7f5/09598023072-p/09598023072-p.jpg?ts=1777364103438,"₩55,900",,,260622,아이보리-화이트,,,,
