platform,is_ranking,rank,brand,brand_likes,main_category,category,gender,product_detail_url,product_name,color,color_chip,thumbnail,likes,views,details,material,current_price,regular_price,discount_rate,rating,reviews,sales,manufacture_date,crawled_at,reorder
,false,,ZARA,,아우터,코트,여성,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-100-%E1%84%85%E1%85%B5%E1%86%AB%E1%84%82%E1%85%A6%E1%86%AB-%E1%84%87%E1%85%A6%E1%86%AF%E1%84%90%E1%85%B3-%E1%84%8F%E1%85%A9%E1%84%90%E1%85%B3-p02716947.html,ZW 컬렉션 100% 린넨 벨트 코트,블랙,,https://static.zara.net/assets/public/5e9a/586a/b414451db130/23212f937f56/02716947800-p/02716947800-p.jpg?ts=1781775508045,,,,,"₩189,900","₩189,900",,,,,,260622,
,false,,ZARA,,상의,셔츠/블라우스,여성,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-100-%E1%84%85%E1%85%B5%E1%84%82%E1%85%A6%E1%86%AB-%E1%84%8F%E1%85%A9%E1%84%83%E1%85%B3-%E1%84%90%E1%85%A1%E1%86%B8-p05344016.html,ZW 컬렉션 100% 리넨 코드 탑,코랄,,https://static.zara.net/assets/public/1df1/fdfb/5ed04524b410/47320f4b0831/05344016679-015-h1/05344016679-015-h1.jpg?ts=1781777985342,,,,,"₩59,900","₩59,900",,,,,,260622,
,false,,ZARA,,상의,셔츠/블라우스,여성,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-%E1%84%92%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%82%E1%85%A6%E1%86%A8-%E1%84%89%E1%85%A7%E1%84%8E%E1%85%B3-p04043009.html,ZW 컬렉션 하이넥 셔츠,블랙,,https://static.zara.net/assets/public/c8b6/da9b/4aad4ffa8890/99aea929870f/04043009800-p/04043009800-p.jpg?ts=1781775504582,,,,,"₩79,900","₩79,900",,,,,,260622,
,false,,ZARA,,상의,셔츠/블라우스,여성,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-%E1%84%89%E1%85%A2%E1%84%90%E1%85%B5%E1%86%AB-%E1%84%90%E1%85%A9%E1%84%80%E1%85%B3%E1%86%AF-%E1%84%89%E1%85%A7%E1%84%8E%E1%85%B3-p04786166.html,ZW 컬렉션 새틴 토글 셔츠,파스텔 로즈,,https://static.zara.net/assets/public/50f9/a564/7f8c40948941/97ac8049530e/04786166621-000-a1/04786166621-000-a1.jpg?ts=1781864720625,,,,,"₩59,900","₩59,900",,,,,,260622,
,false,,ZARA,,바지,슬랙스,여성,https://www.zara.com/kr/ko/jeans-zw-collection-%E1%84%86%E1%85%B5%E1%84%83%E1%85%B3%E1%84%85%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%8C%E1%85%B3-%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3%E1%84%85%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%91%E1%85%B3-%E1%84%89%E1%85%B3%E1%86%AF%E1%84%85%E1%85%B5%E1%86%B7-p09632066.html,JEANS ZW COLLECTION 스트라이프 미드라이즈 슬림,코랄,,https://static.zara.net/assets/public/b456/1263/023f42599ef7/75894428441b/09632066679-p/09632066679-p.jpg?ts=1781775512788,,,,,"₩79,900","₩79,900",,,,,,260622,
,false,,ZARA,,상의,셔츠/블라우스,여성,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-%E1%84%85%E1%85%A1%E1%84%86%E1%85%B5-%E1%84%8B%E1%85%A9%E1%84%87%E1%85%A5%E1%84%89%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%8C%E1%85%B3-%E1%84%89%E1%85%A7%E1%84%8E%E1%85%B3-p04786032.html,ZW 컬렉션 라미 오버사이즈 셔츠,블랙,,https://static.zara.net/assets/public/c2e3/d2de/2162439f9d7e/399a5defd639/04786032800-a1/04786032800-a1.jpg?ts=1781779288182,,,,,"₩59,900","₩59,900",,,,,,260622,
,false,,ZARA,,상의,티셔츠,여성,https://www.zara.com/kr/ko/%E1%84%92%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%82%E1%85%A6%E1%86%A8-%E1%84%89%E1%85%B3%E1%86%AF%E1%84%85%E1%85%B5%E1%84%87%E1%85%B3%E1%84%85%E1%85%B5%E1%84%89%E1%85%B3-%E1%84%90%E1%85%A1%E1%86%B8-p04786008.html,하이넥 슬리브리스 탑,크림,,https://static.zara.net/assets/public/78b4/2106/263e4317ac95/ed34910fd3d5/04786008712-h1/04786008712-h1.jpg?ts=1781775513840,,,,,"₩39,900","₩39,900",,,,,,260622,
,false,,ZARA,,상의,셔츠/블라우스,여성,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-%E1%84%85%E1%85%B5%E1%86%AB%E1%84%82%E1%85%A6%E1%86%AB-%E1%84%87%E1%85%B3%E1%86%AF%E1%84%85%E1%85%A1%E1%84%8B%E1%85%AE%E1%84%89%E1%85%B3-p04786036.html,ZW 컬렉션 린넨 블라우스,화이트,,https://static.zara.net/assets/public/2ba4/6ea1/a5d64dc986a0/472f51df764f/04786036250-p/04786036250-p.jpg?ts=1781775507981,,,,,"₩59,900","₩59,900",,,,,,260622,
,false,,ZARA,,바지,슬랙스,여성,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-%E1%84%8C%E1%85%A1%E1%84%89%E1%85%AE-%E1%84%91%E1%85%B3%E1%86%AF%E1%84%85%E1%85%A6%E1%84%8B%E1%85%A5-%E1%84%91%E1%85%A2%E1%86%AB%E1%84%8E%E1%85%B3-p01940006.html,ZW 컬렉션 자수 플레어 팬츠,크림,,https://static.zara.net/assets/public/3e7f/86cb/f331409fa91c/915062a663be/01940006712-p/01940006712-p.jpg?ts=1781861271302,,,,,"₩109,900","₩109,900",,,,,,260622,
,false,,ZARA,,바지,슬랙스,여성,https://www.zara.com/kr/ko/jeans-zw-collection-loose-%E1%84%86%E1%85%B5%E1%84%83%E1%85%B3%E1%84%85%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%8C%E1%85%B3-%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3%E1%84%85%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%91%E1%85%B3-p09632065.html,JEANS ZW COLLECTION LOOSE 미드라이즈 스트라이프,블루,,https://static.zara.net/assets/public/8c87/b503/d00e4747a046/2e8e36144e19/09632065400-017-ult/09632065400-017-ult.jpg?ts=1781781175390,,,,,"₩79,900","₩79,900",,,,,,260622,
