platform,is_ranking,rank,brand,main_category,category,gender,product_name,product_detail_url,thumbnail,regular_price,current_price,discount_rate,crawled_at,color,material,details,rating,reviews
,false,,ZARA,상의,셔츠/블라우스,여성,ZW 컬렉션 란제리 레이스 탑,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-%E1%84%85%E1%85%A1%E1%86%AB%E1%84%8C%E1%85%A6%E1%84%85%E1%85%B5-%E1%84%85%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%89%E1%85%B3-%E1%84%90%E1%85%A1%E1%86%B8-p05919002.html,https://static.zara.net/assets/public/978f/982d/2f504fe9a616/110b59aa25df/05919002942-p/05919002942-p.jpg?ts=1781775502422,"₩89,900",,,260622,베이지 핑크,,,,
,false,,ZARA,상의,셔츠/블라우스,여성,벌룬 드레이프 탑,https://www.zara.com/kr/ko/%E1%84%87%E1%85%A5%E1%86%AF%E1%84%85%E1%85%AE%E1%86%AB-%E1%84%83%E1%85%B3%E1%84%85%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%91%E1%85%B3-%E1%84%90%E1%85%A1%E1%86%B8-p03666151.html,https://static.zara.net/assets/public/f9a4/fc9f/731449c2a23c/496d395f26ed/03666151064-a3/03666151064-a3.jpg?ts=1781860768618,"₩49,900",,,260622,"화이트,블랙",,,,
,false,,ZARA,상의,셔츠/블라우스,여성,새틴 홀터넥 탑,https://www.zara.com/kr/ko/%E1%84%89%E1%85%A2%E1%84%90%E1%85%B5%E1%86%AB-%E1%84%92%E1%85%A9%E1%86%AF%E1%84%90%E1%85%A5%E1%84%82%E1%85%A6%E1%86%A8-%E1%84%90%E1%85%A1%E1%86%B8-p02157221.html,https://static.zara.net/assets/public/7c26/ea2a/2910438394fe/2a297dfcabce/08016399700-a1/08016399700-a1.jpg?ts=1781860767211,"₩45,900",,,260622,브라운,,,,
,false,,ZARA,상의,셔츠/블라우스,여성,새틴 홀터넥 탑,https://www.zara.com/kr/ko/%E1%84%89%E1%85%A2%E1%84%90%E1%85%B5%E1%86%AB-%E1%84%92%E1%85%A9%E1%86%AF%E1%84%90%E1%85%A5%E1%84%82%E1%85%A6%E1%86%A8-%E1%84%90%E1%85%A1%E1%86%B8-p02157221.html,https://static.zara.net/assets/public/8de4/5b8c/d817498b837a/f14033b02d38/07969057506-a2/07969057506-a2.jpg?ts=1781868788288,"₩45,900",,,260622,라이트 카키,,,,
,false,,ZARA,상의,탑,여성,100% 실크 플라워 자수 탑,https://www.zara.com/kr/ko/100-%E1%84%89%E1%85%B5%E1%86%AF%E1%84%8F%E1%85%B3-%E1%84%91%E1%85%B3%E1%86%AF%E1%84%85%E1%85%A1%E1%84%8B%E1%85%AF-%E1%84%8C%E1%85%A1%E1%84%89%E1%85%AE-%E1%84%90%E1%85%A1%E1%86%B8-p02678129.html,https://static.zara.net/assets/public/2fdc/ce53/3e0943ac86f6/d750ef39eb6a/02678129982-p/02678129982-p.jpg?ts=1781769385159,"₩109,900",,,260622,워터 그린,,,,
,false,,ZARA,상의,셔츠/블라우스,여성,ZW 컬렉션 100% 리넨 코드 탑,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-100-%E1%84%85%E1%85%B5%E1%84%82%E1%85%A6%E1%86%AB-%E1%84%8F%E1%85%A9%E1%84%83%E1%85%B3-%E1%84%90%E1%85%A1%E1%86%B8-p05344016.html,https://static.zara.net/assets/public/1df1/fdfb/5ed04524b410/47320f4b0831/05344016679-015-h1/05344016679-015-h1.jpg?ts=1781777985342,"₩59,900",,,260622,코랄,,,,
,false,,ZARA,상의,탑,여성,니트 튜닉 탑,https://www.zara.com/kr/ko/%E1%84%82%E1%85%B5%E1%84%90%E1%85%B3-%E1%84%90%E1%85%B2%E1%84%82%E1%85%B5%E1%86%A8-%E1%84%90%E1%85%A1%E1%86%B8-p09598018.html,https://static.zara.net/assets/public/b662/92e5/53fd49d7ad31/44254ecb4bee/095980184011-a2/095980184011-a2.jpg?ts=1781856346489,"₩59,900",,,260622,네이비,,,,
,false,,ZARA,상의,셔츠/블라우스,여성,ZW 컬렉션 프린지 홀터넥 탑,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-%E1%84%91%E1%85%B3%E1%84%85%E1%85%B5%E1%86%AB%E1%84%8C%E1%85%B5-%E1%84%92%E1%85%A9%E1%86%AF%E1%84%90%E1%85%A5%E1%84%82%E1%85%A6%E1%86%A8-%E1%84%90%E1%85%A1%E1%86%B8-p01106828.html,https://static.zara.net/assets/public/f898/3e23/7e57419fbef9/df615964da79/01106828715-p/01106828715-p.jpg?ts=1781775507784,"₩89,900",,,260622,미디움 크림,,,,
,false,,ZARA,상의,티셔츠,여성,하이넥 슬리브리스 탑,https://www.zara.com/kr/ko/%E1%84%92%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%82%E1%85%A6%E1%86%A8-%E1%84%89%E1%85%B3%E1%86%AF%E1%84%85%E1%85%B5%E1%84%87%E1%85%B3%E1%84%85%E1%85%B5%E1%84%89%E1%85%B3-%E1%84%90%E1%85%A1%E1%86%B8-p04786008.html,https://static.zara.net/assets/public/f8c5/47e1/a7704fb89634/009f4fbd9622/04786008712-p/04786008712-p.jpg?ts=1781775507607,"₩39,900",,,260622,크림,,,,
,false,,ZARA,상의,탑,여성,파인 니트 슬리브리스 탑,https://www.zara.com/kr/ko/%E1%84%91%E1%85%A1%E1%84%8B%E1%85%B5%E1%86%AB-%E1%84%82%E1%85%B5%E1%84%90%E1%85%B3-%E1%84%89%E1%85%B3%E1%86%AF%E1%84%85%E1%85%B5%E1%84%87%E1%85%B3%E1%84%85%E1%85%B5%E1%84%89%E1%85%B3-%E1%84%90%E1%85%A1%E1%86%B8-p02142083.html,https://static.zara.net/assets/public/e64a/82ef/83174ce0b4e5/59967564d676/02142083600-a2/02142083600-a2.jpg?ts=1781775510584,"₩35,900",,,260622,레드,,,,
,false,,ZARA,상의,셔츠/블라우스,여성,ZW 컬렉션 LIMITED EDITION 자수 홀터 탑,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-limited-edition-%E1%84%8C%E1%85%A1%E1%84%89%E1%85%AE-%E1%84%92%E1%85%A9%E1%86%AF%E1%84%90%E1%85%A5-%E1%84%90%E1%85%A1%E1%86%B8-p06895088.html,https://static.zara.net/assets/public/bb19/515e/07894cdcbb1a/44131f92734c/06895088710-a2/06895088710-a2.jpg?ts=1781775509384,"₩149,900",,,260622,베이지,,,,
,false,,ZARA,상의,티셔츠,여성,드레이프 탑,https://www.zara.com/kr/ko/%E1%84%83%E1%85%B3%E1%84%85%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%91%E1%85%B3-%E1%84%90%E1%85%A1%E1%86%B8-p06050308.html,https://static.zara.net/assets/public/edc0/e461/7b224034aa0e/491678a20acc/06050308251-p/06050308251-p.jpg?ts=1770643928053,"₩35,900",,,260622,스크래치 화이트,,,,
,false,,ZARA,상의,니트,여성,골지 니트 탑,https://www.zara.com/kr/ko/%E1%84%80%E1%85%A9%E1%86%AF%E1%84%8C%E1%85%B5-%E1%84%82%E1%85%B5%E1%84%90%E1%85%B3-%E1%84%90%E1%85%A1%E1%86%B8-p03390002.html,https://static.zara.net/assets/public/7112/7d7f/29f84a65826e/2f2b4cc13c3b/03390002321-p/03390002321-p.jpg?ts=1769788022030,"₩45,900",,,260622,파스텔 옐로우,,,,
,false,,ZARA,상의,탑,여성,링클 페이크 매듭 하이넥 니트 탑,https://www.zara.com/kr/ko/%E1%84%85%E1%85%B5%E1%86%BC%E1%84%8F%E1%85%B3%E1%86%AF-%E1%84%8B%E1%85%B5%E1%84%91%E1%85%A6%E1%86%A8%E1%84%90%E1%85%B3-%E1%84%86%E1%85%A2%E1%84%83%E1%85%B3%E1%86%B8-%E1%84%82%E1%85%B5%E1%84%90%E1%85%B3-%E1%84%90%E1%85%A1%E1%86%B8-p02893015.html,https://static.zara.net/assets/public/ac60/50e8/647a42b28aff/fe3f29cf7a34/02893015081-a3/02893015081-a3.jpg?ts=1774619598738,"₩55,900",,,260622,"샌드,그레이",,,,
,false,,ZARA,상의,탑,여성,라운드 밑단 홀터넥 탑,https://www.zara.com/kr/ko/%E1%84%85%E1%85%A1%E1%84%8B%E1%85%AE%E1%86%AB%E1%84%83%E1%85%B3-%E1%84%86%E1%85%B5%E1%87%80%E1%84%83%E1%85%A1%E1%86%AB-%E1%84%92%E1%85%A9%E1%86%AF%E1%84%90%E1%85%A5%E1%84%82%E1%85%A6%E1%86%A8-%E1%84%90%E1%85%A1%E1%86%B8-p04424332.html,https://static.zara.net/assets/public/feeb/6c6b/a75e477494d7/f223a49ac2ec/04424332800-p/04424332800-p.jpg?ts=1780476031728,"₩17,900",,,260622,블랙,,,,
,false,,ZARA,상의,탑,여성,라운드 밑단 홀터넥 탑,https://www.zara.com/kr/ko/%E1%84%85%E1%85%A1%E1%84%8B%E1%85%AE%E1%86%AB%E1%84%83%E1%85%B3-%E1%84%86%E1%85%B5%E1%87%80%E1%84%83%E1%85%A1%E1%86%AB-%E1%84%92%E1%85%A9%E1%86%AF%E1%84%90%E1%85%A5%E1%84%82%E1%85%A6%E1%86%A8-%E1%84%90%E1%85%A1%E1%86%B8-p04424332.html,https://static.zara.net/assets/public/1c00/c3ee/dd7641bf9889/8bc5955b912f/04424332250-p/04424332250-p.jpg?ts=1779978060852,"₩17,900",,,260622,화이트,,,,
,false,,ZARA,상의,셔츠/블라우스,여성,레이스 란제리 탑,https://www.zara.com/kr/ko/%E1%84%85%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%89%E1%85%B3-%E1%84%85%E1%85%A1%E1%86%AB%E1%84%8C%E1%85%A6%E1%84%85%E1%85%B5-%E1%84%90%E1%85%A1%E1%86%B8-p07969037.html,https://static.zara.net/assets/public/f106/fe49/a7b948b6839e/fa9cfd887712/07969037700-p/07969037700-p.jpg?ts=1778491722728,"₩55,900",,,260622,브라운,,,,
,false,,ZARA,상의,탑,여성,니트 콤비 탑,https://www.zara.com/kr/ko/%E1%84%82%E1%85%B5%E1%84%90%E1%85%B3-%E1%84%8F%E1%85%A9%E1%86%B7%E1%84%87%E1%85%B5-%E1%84%90%E1%85%A1%E1%86%B8-p03921011.html,https://static.zara.net/assets/public/c3f2/fd7d/38474859b789/0ae396683655/03921011407-p/03921011407-p.jpg?ts=1780585854561,"₩49,900",,,260622,블루,,,,
