platform,is_ranking,rank,brand,main_category,category,gender,product_name,product_detail_url,thumbnail,regular_price,current_price,discount_rate,crawled_at,color,material,details,rating,reviews
,false,,ZARA,바지,슬랙스,여성,드로스트링 와이드 팬츠,https://www.zara.com/kr/ko/%E1%84%83%E1%85%B3%E1%84%85%E1%85%A9%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%86%BC-%E1%84%8B%E1%85%AA%E1%84%8B%E1%85%B5%E1%84%83%E1%85%B3-%E1%84%91%E1%85%A2%E1%86%AB%E1%84%8E%E1%85%B3-p06136011.html,https://static.zara.net/assets/public/20ad/8fe2/f304431da2fa/b63f04418682/04424999250-p/04424999250-p.jpg?ts=1781785603416,"₩59,900",,,260622,화이트,,,,
,false,,ZARA,바지,슬랙스,여성,도트 카프리 팬츠,https://www.zara.com/kr/ko/%E1%84%83%E1%85%A9%E1%84%90%E1%85%B3-%E1%84%8F%E1%85%A1%E1%84%91%E1%85%B3%E1%84%85%E1%85%B5-%E1%84%91%E1%85%A2%E1%86%AB%E1%84%8E%E1%85%B3-p04661446.html,https://static.zara.net/assets/public/c1b7/5013/de704172adcf/2c86acdb780c/04424332250-a1/04424332250-a1.jpg?ts=1781785604564,"₩55,900",,,260622,라이트 로즈,,,,
,false,,ZARA,바지,슬랙스,여성,카프리 팬츠,https://www.zara.com/kr/ko/%E1%84%83%E1%85%A9%E1%84%90%E1%85%B3-%E1%84%8F%E1%85%A1%E1%84%91%E1%85%B3%E1%84%85%E1%85%B5-%E1%84%91%E1%85%A2%E1%86%AB%E1%84%8E%E1%85%B3-p04661452.html,https://static.zara.net/assets/public/7b96/bb09/07f04ab79093/cd8f83b31f72/03641305800-a2/03641305800-a2.jpg?ts=1781785603813,"₩55,900",,,260622,블랙,,,,
,false,,ZARA,바지,슬랙스,여성,ZW 컬렉션 린넨 혼방 팬츠,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-%E1%84%85%E1%85%B5%E1%86%AB%E1%84%82%E1%85%A6%E1%86%AB-%E1%84%92%E1%85%A9%E1%86%AB%E1%84%87%E1%85%A1%E1%86%BC-%E1%84%91%E1%85%A2%E1%86%AB%E1%84%8E%E1%85%B3-p01923756.html,https://static.zara.net/assets/public/d3e0/397f/33f8473bbc66/05d21174216a/01923119756-p/01923119756-p.jpg?ts=1781775506826,"₩109,900",,,260622,미디움 카멜,,,,
,false,,ZARA,바지,슬랙스,여성,루즈 와이드 팬츠,https://www.zara.com/kr/ko/%E1%84%85%E1%85%AE%E1%84%8C%E1%85%B3-%E1%84%8B%E1%85%AA%E1%84%8B%E1%85%B5%E1%84%83%E1%85%B3-%E1%84%91%E1%85%A2%E1%86%AB%E1%84%8E%E1%85%B3-p09929249.html,https://static.zara.net/assets/public/4664/b68e/ec454080b51a/7a30495d74be/07762888490-p/07762888490-p.jpg?ts=1781775453606,"₩49,900",,,260622,나이트 블루,,,,
,false,,ZARA,바지,슬랙스,여성,골드 버튼 팔라초 팬츠,https://www.zara.com/kr/ko/%E1%84%80%E1%85%A9%E1%86%AF%E1%84%83%E1%85%B3-%E1%84%87%E1%85%A5%E1%84%90%E1%85%B3%E1%86%AB-%E1%84%91%E1%85%A1%E1%86%AF%E1%84%85%E1%85%A1%E1%84%8E%E1%85%A9-%E1%84%91%E1%85%A2%E1%86%AB%E1%84%8E%E1%85%B3-p01608054.html,https://static.zara.net/assets/public/e342/6e87/44da4151ad0d/e0417605635b/01608054401-p/01608054401-p.jpg?ts=1781860768665,"₩57,900",,,260622,네이비,,,,
,false,,ZARA,바지,슬랙스,여성,린넨 벨티드 팬츠,https://www.zara.com/kr/ko/%E1%84%85%E1%85%B5%E1%86%AB%E1%84%82%E1%85%A6%E1%86%AB-%E1%84%87%E1%85%A6%E1%86%AF%E1%84%90%E1%85%B5%E1%84%83%E1%85%B3-%E1%84%91%E1%85%A2%E1%86%AB%E1%84%8E%E1%85%B3-p07801398.html,https://static.zara.net/assets/public/cc5d/ce06/cb62497d97bd/6d68092ce38d/00858026800-p/00858026800-p.jpg?ts=1781865790384,"₩59,900",,,260622,화이트,,,,
,false,,ZARA,바지,슬랙스,여성,골드 버튼 팔라초 팬츠,https://www.zara.com/kr/ko/%E1%84%80%E1%85%A9%E1%86%AF%E1%84%83%E1%85%B3-%E1%84%87%E1%85%A5%E1%84%90%E1%85%B3%E1%86%AB-%E1%84%91%E1%85%A1%E1%86%AF%E1%84%85%E1%85%A1%E1%84%8E%E1%85%A9-%E1%84%91%E1%85%A2%E1%86%AB%E1%84%8E%E1%85%B3-p01608054.html,https://static.zara.net/assets/public/e721/3e56/07094f29b1e3/4ab326e210d5/01608054800-a4/01608054800-a4.jpg?ts=1781860771580,"₩57,900",,,260622,블랙,,,,
,false,,ZARA,바지,슬랙스,여성,엘라스틱 웨이스트 팬츠,https://www.zara.com/kr/ko/%E1%84%8B%E1%85%A6%E1%86%AF%E1%84%85%E1%85%A1%E1%84%89%E1%85%B3%E1%84%90%E1%85%B5%E1%86%A8-%E1%84%8B%E1%85%B0%E1%84%8B%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3-%E1%84%91%E1%85%A2%E1%86%AB%E1%84%8E%E1%85%B3-p08372149.html,https://static.zara.net/assets/public/dfb8/bafa/4856472992f2/2d3fa02b1ea7/08372149401-p/08372149401-p.jpg?ts=1781776146749,"₩55,900",,,260622,네이비,,,,
,false,,ZARA,바지,슬랙스,여성,ZW 컬렉션 와이드 레그 플리츠 팬츠,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-%E1%84%8B%E1%85%AA%E1%84%8B%E1%85%B5%E1%84%83%E1%85%B3-%E1%84%85%E1%85%A6%E1%84%80%E1%85%B3-%E1%84%91%E1%85%B3%E1%86%AF%E1%84%85%E1%85%B5%E1%84%8E%E1%85%B3-%E1%84%91%E1%85%A2%E1%86%AB%E1%84%8E%E1%85%B3-p05247044.html,https://static.zara.net/assets/public/77aa/7ffe/b9464d8cba7e/2108ca9ed89b/05247044485-p/05247044485-p.jpg?ts=1781775509418,"₩89,900",,,260622,"블루,그레이",,,,
,false,,ZARA,바지,슬랙스,여성,ZW 컬렉션 와이드 레그 플리츠 팬츠,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-%E1%84%8B%E1%85%AA%E1%84%8B%E1%85%B5%E1%84%83%E1%85%B3-%E1%84%85%E1%85%A6%E1%84%80%E1%85%B3-%E1%84%91%E1%85%B3%E1%86%AF%E1%84%85%E1%85%B5%E1%84%8E%E1%85%B3-%E1%84%91%E1%85%A2%E1%86%AB%E1%84%8E%E1%85%B3-p05247044.html,https://static.zara.net/assets/public/2b00/41f7/445f4cf6b97a/bd7de5e4b935/05247044710-p/05247044710-p.jpg?ts=1781775511437,"₩89,900",,,260622,베이지,,,,
,false,,ZARA,바지,슬랙스,여성,ZW 컬렉션 스트라이프 벌룬 팬츠,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3%E1%84%85%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%91%E1%85%B3-%E1%84%87%E1%85%A5%E1%86%AF%E1%84%85%E1%85%AE%E1%86%AB-%E1%84%91%E1%85%A2%E1%86%AB%E1%84%8E%E1%85%B3-p04333049.html,https://static.zara.net/assets/public/68d9/a2a4/ecc4457ca724/cb15e648fa3c/04333049049-p/04333049049-p.jpg?ts=1781775505150,"₩59,900",,,260622,브라운-블루,,,,
,false,,ZARA,바지,슬랙스,여성,하운드 투스 파레오 팬츠 ZW 컬렉션,https://www.zara.com/kr/ko/%E1%84%92%E1%85%A1%E1%84%8B%E1%85%AE%E1%86%AB%E1%84%83%E1%85%B3-%E1%84%90%E1%85%AE%E1%84%89%E1%85%B3-%E1%84%91%E1%85%A1%E1%84%85%E1%85%A6%E1%84%8B%E1%85%A9-%E1%84%91%E1%85%A2%E1%86%AB%E1%84%8E%E1%85%B3-zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-p01904033.html,https://static.zara.net/assets/public/5012/688e/5370483d8118/6feed1d71b09/01904033044-p/01904033044-p.jpg?ts=1781775507833,"₩99,900",,,260622,"블루 ,화이트",,,,
,false,,ZARA,바지,슬랙스,여성,ZW 컬렉션 카고 팬츠,https://www.zara.com/kr/ko/-p08246044.html,https://static.zara.net/assets/public/36f6/e1a3/e23141b49c5f/b6d830ba584e/08246047506-p/08246047506-p.jpg?ts=1781775502350,"₩89,900",,,260622,라이트 카키,,,,
,false,,ZARA,바지,슬랙스,여성,ZW 컬렉션 100% 리넨 플레어 팬츠,https://www.zara.com/kr/ko/zw-%E1%84%8F%E1%85%A5%E1%86%AF%E1%84%85%E1%85%A6%E1%86%A8%E1%84%89%E1%85%A7%E1%86%AB-100-%E1%84%85%E1%85%B5%E1%86%AB%E1%84%82%E1%85%A6%E1%86%AB-%E1%84%91%E1%85%B3%E1%86%AF%E1%84%85%E1%85%A6%E1%84%8B%E1%85%A5-%E1%84%91%E1%85%A2%E1%86%AB%E1%84%8E%E1%85%B3-p04786066.html,https://static.zara.net/assets/public/7979/b110/503a48c78532/029c02bef909/04786066706-p/04786066706-p.jpg?ts=1781775514698,"₩89,900",,,260622,밍크,,,,
