이미지,상품명,가격,컬러
https://static.zara.net/assets/public/2ea5/13b0/a68a4cd6a6d5/8083cb4a45ed/04470011406-p/04470011406-p.jpg?ts=1776416488733,JEANS TRF BOOTCUT 로우라이즈,"₩ 59,900",라이트 블루
https://static.zara.net/assets/public/6e7c/7d32/518d426eb698/3440230cf381/02893061712-a1/02893061712-a1.jpg?ts=1779966946108,카라멜 런던 X 자라 100% 린넨 니트 스웨터,"₩ 89,900",크림
https://static.zara.net/assets/public/63da/fb9c/82ea4200a86e/20e1b2cfc5b5/00751406505-a1/00751406505-a1.jpg?ts=1779966937740,카라멜 런던 X 자라 콜라보 트렌치 코트,"₩ 169,900",카키
https://static.zara.net/assets/public/1dbc/dee2/457f4b11b515/c1308e8c709e/03072703330-p/03072703330-p.jpg?ts=1780054529670,러스틱 페브릭 언밸런스 스커트,"₩ 79,900",크림
https://static.zara.net/assets/public/4dc9/3f97/49294e74ae38/0973e7448d7d/02515909717-a1/02515909717-a1.jpg?ts=1779966945719,CARAMEL LONDON X ZARA 100% 린넨 원피스,"₩ 149,900",초콜렛
https://static.zara.net/assets/public/f57e/7e6b/e7584ffab18e/e687fed7d5f0/00150159400-a1/00150159400-a1.jpg?ts=1779966935927,CREATED BY CARAMEL LONDON X ZARA 팬츠,"₩ 109,900",블루
https://static.zara.net/assets/public/90d5/a18a/595242afaefb/b51745bfde45/02893061505-a1/02893061505-a1.jpg?ts=1779966935780,카라멜 런던 X 자라 100% 린넨 니트 스웨터,"₩ 89,900",카키
https://static.zara.net/assets/public/66b4/4c82/f856413ab0c8/3d1bd3870654/12751810700-a1/12751810700-a1.jpg?ts=1779966945556,카라멜 런던 X 자라 레더 발레리나 플랫슈즈,"₩ 89,900",브라운
https://static.zara.net/assets/public/1ee8/6f4d/7caa43d99136/6dde52031382/07744454405-a1/07744454405-a1.jpg?ts=1779372754642,린넨 배럴 팬츠,"₩ 59,900",인디고
https://static.zara.net/assets/public/9223/ce24/75e24123a276/03411dcd7bae/07969045712-p/07969045712-p.jpg?ts=1779441946983,레이스 미디 캐미솔 원피스,"₩ 89,900",크림
https://static.zara.net/assets/public/0895/e67f/5ac0464aa538/65e6d597f2de/02516149104-p/02516149104-p.jpg?ts=1779966946143,CARAMEL LONDON X ZARA 스트라이프 원피스,"₩ 129,900",스트라이프
https://static.zara.net/assets/public/1018/de02/3f7f49c88c49/25c831475241/08741060800-p/08741060800-p.jpg?ts=1773414607111,스트랩 콤비 원피스,"₩ 59,900",블랙
https://static.zara.net/assets/public/8962/d122/2b0145678c3d/658ebe2c01c0/04770160712-p/04770160712-p.jpg?ts=1773826968603,플리츠 자카드 원피스,"₩ 55,900",크림
https://static.zara.net/assets/public/87e5/3930/fa8c4c08a9a1/53e105d2fcd3/02515909712-p/02515909712-p.jpg?ts=1779966945564,CREATED BY CARAMEL LONDON X ZARA 100% 린넨 원피스,"₩ 149,900",크림
https://static.zara.net/assets/public/3d1d/4f56/c317463dbb26/775807ca77d2/04772357714-a1/04772357714-a1.jpg?ts=1778500385419,오픈 백 루즈 미디 원피스,"₩ 59,900",베이지 / 그린
https://static.zara.net/assets/public/bc60/2563/5cd94d019ace/e53c91c2d34f/05644315081-p/05644315081-p.jpg?ts=1774017216266,레이스 콤비 탑 재킷,"₩ 39,900",샌드 / 그레이
https://static.zara.net/assets/public/69cc/58d7/3aac4df09f70/6e738e84dc47/02142519800-f1/02142519800-f1.jpg?ts=1779287312986,쇼트 슬리브 니트 폴로셔츠,"₩ 45,900",블랙
https://static.zara.net/assets/public/f198/50e4/77fb49ad9ac5/ff0003eadb33/06929424800-f1/06929424800-f1.jpg?ts=1779375483939,루즈 미디 스커트,"₩ 59,900",블랙
https://static.zara.net/assets/public/eb14/a80c/b7f749918bbb/89e19cbec149/02142133700-f1/02142133700-f1.jpg?ts=1774869740231,버튼 쇼트 슬리브 니트 스웨터,"₩ 55,900",브라운
https://static.zara.net/assets/public/7559/e7c4/8b0848e39268/f3ff93a1556a/08372231250-f1/08372231250-f1.jpg?ts=1778826262235,쇼트 와이드 슬리브 셔츠,"₩ 55,900",화이트
https://static.zara.net/assets/public/cbde/9203/3c134a68b7b7/3d17355b1bc2/08338404070-f1/08338404070-f1.jpg?ts=1774617414088,도트 새틴 미디 스커트,"₩ 49,900",크림 / 블랙
https://static.zara.net/assets/public/db43/99e6/b86941c2ba2d/78fada76da54/07223038250-f1/07223038250-f1.jpg?ts=1771515942355,SHORTS Z1975 MOM FIT,"₩ 49,900",화이트
https://static.zara.net/assets/public/2474/07d5/d11647d6bb95/b35a063de816/03641157717-f1/03641157717-f1.jpg?ts=1772722644219,페이크 더블 숏 슬리브 티셔츠,"₩ 21,900",초콜렛
https://static.zara.net/assets/public/83d9/1188/b2b54cefb2d5/fa73fd1dad19/01608045800-f1/01608045800-f1.jpg?ts=1777903348197,러스틱 배럴 팬츠,"₩ 55,900",블랙
https://static.zara.net/assets/public/3443/fcfd/a9c148f4be2a/d9b3cdae73c9/03646011401-a1/03646011401-a1.jpg?ts=1779718382779,레이스 폴로 니트 재킷,"₩ 49,900",네이비
